Date, Open, High, Low, Close, Volume
11/28/25, 72.00, 72.00, 72.00, 72.00, 1
11/26/25, 72.00, 72.00, 72.00, 72.00, 3
11/25/25, 72.00, 72.00, 72.00, 72.00, 4
11/21/25, 76.00, 79.00, 76.00, 72.00, 61
11/20/25, 76.00, 76.00, 62.50, 72.00, 204
11/19/25, 76.00, 76.00, 76.00, 69.25, 16
11/18/25, 76.00, 76.00, 75.50, 69.25, 47
11/14/25, 65.25, 71.75, 65.25, 69.25, 110
11/13/25, 65.25, 71.75, 65.25, 65.25, 8
11/10/25, 71.75, 71.75, 71.75, 65.25, 1
11/07/25, 65.00, 65.50, 65.00, 65.25, 290
11/06/25, 65.00, 65.00, 64.75, 59.75, 15
10/31/25, 71.50, 71.50, 58.75, 59.75, 226
10/30/25, 70.00, 71.50, 70.00, 65.00, 57
10/29/25, 58.50, 58.50, 58.50, 65.00, 8
10/28/25, 70.00, 70.00, 70.00, 65.00, 20
10/27/25, 70.00, 70.00, 70.00, 65.00, 2
10/23/25, 70.00, 70.00, 70.00, 65.00, 7
09/19/25, 65.00, 65.00, 65.00, 65.00, 1
09/17/25, 65.00, 65.00, 65.00, 65.00, 1084
09/16/25, 72.00, 72.00, 72.00, 72.00, 6
09/03/25, 68.00, 68.00, 68.00, 72.00, 4
09/01/25, 72.00, 72.00, 72.00, 72.00, 10
08/28/25, 72.00, 72.00, 72.00, 72.00, 100
08/22/25, 80.00, 80.00, 80.00, 80.00, 237
08/21/25, 80.00, 80.00, 80.00, 80.00, 158
08/20/25, 80.00, 80.00, 80.00, 80.00, 100
08/11/25, 74.00, 74.00, 74.00, 74.00, 100
08/08/25, 74.00, 74.00, 74.00, 74.00, 105
08/07/25, 74.00, 74.00, 74.00, 74.00, 100
08/04/25, 74.00, 74.00, 74.00, 74.00, 100
07/29/25, 67.50, 67.50, 67.50, 67.50, 200
07/24/25, 61.50, 67.50, 61.50, 63.50, 300
07/23/25, 61.50, 61.50, 61.50, 61.50, 100
06/09/25, 56.00, 56.00, 56.00, 56.00, 100
05/16/25, 56.00, 56.00, 56.00, 56.00, 500
04/14/25, 51.00, 51.00, 51.00, 51.00, 100
03/10/25, 51.00, 51.00, 51.00, 51.00, 400
03/06/25, 56.50, 56.50, 56.50, 56.50, 600
02/18/25, 56.50, 56.50, 56.50, 56.50, 100
02/11/25, 51.50, 51.50, 51.50, 51.50, 200
02/10/25, 56.75, 56.75, 51.50, 52.00, 1000
02/04/25, 56.75, 56.75, 56.75, 56.75, 100
01/31/25, 56.75, 56.75, 56.75, 56.75, 200
01/30/25, 63.00, 63.00, 63.00, 63.00, 200
01/24/25, 70.00, 70.00, 70.00, 70.00, 100
12/11/24, 70.00, 70.00, 70.00, 70.00, 100
10/30/24, 70.00, 70.00, 70.00, 70.00, 100
10/25/24, 75.00, 75.00, 75.00, 75.00, 200
10/23/24, 77.00, 77.00, 70.00, 71.50, 500
10/22/24, 77.00, 77.00, 70.00, 75.25, 800
10/18/24, 70.00, 70.00, 70.00, 70.00, 200
10/17/24, 63.75, 63.75, 63.75, 63.75, 1300
10/16/24, 58.00, 58.00, 58.00, 58.00, 100
10/15/24, 53.25, 53.25, 53.25, 53.25, 500
10/14/24, 48.45, 48.45, 48.45, 48.45, 100
10/11/24, 44.05, 44.05, 44.05, 44.05, 100
10/08/24, 40.05, 40.05, 40.05, 40.05, 1000
10/07/24, 36.45, 36.45, 36.45, 36.45, 300
10/04/24, 33.15, 33.15, 33.15, 33.15, 100
10/03/24, 30.25, 30.25, 30.00, 30.15, 200
10/02/24, 27.50, 27.50, 27.50, 27.50, 100
10/01/24, 25.00, 25.00, 25.00, 25.00, 100
09/30/24, 22.95, 22.95, 22.95, 22.95, 100
09/27/24, 20.90, 20.90, 20.90, 20.90, 100
09/20/24, 19.00, 19.00, 19.00, 19.00, 1828400
09/19/24, 19.80, 19.80, 19.80, 19.80, 600
08/08/24, 19.50, 19.50, 19.50, 19.50, 1500
05/20/24, 19.50, 19.50, 19.50, 19.50, 100
02/14/24, 19.50, 19.50, 19.50, 19.50, 100
01/25/24, 19.50, 19.50, 19.50, 19.50, 100
01/24/24, 19.50, 19.50, 19.50, 19.50, 300
12/15/23, 19.50, 19.50, 19.50, 19.50, 100
12/01/23, 19.50, 19.50, 19.50, 19.50, 200
09/11/23, 19.50, 19.50, 19.50, 19.50, 400
09/07/23, 18.00, 18.00, 18.00, 18.00, 500
08/17/23, 16.45, 16.45, 16.45, 16.45, 100
07/31/23, 15.00, 15.00, 15.00, 15.00, 1000
05/30/23, 15.00, 15.00, 15.00, 15.00, 1500
05/18/23, 15.00, 15.00, 15.00, 15.00, 100
02/06/23, 15.00, 15.00, 15.00, 15.00, 400
02/03/23, 15.00, 15.00, 15.00, 15.00, 600
02/02/23, 15.00, 15.00, 15.00, 15.00, 1000
01/25/23, 13.70, 13.70, 13.70, 13.70, 500
01/19/23, 12.50, 12.50, 12.50, 12.50, 200
01/13/23, 11.40, 11.40, 11.40, 11.40, 900
09/06/21, 10.40, 10.40, 10.40, 10.40, 100
01/15/21, 10.40, 10.40, 10.40, 10.40, 100
12/22/20, 10.50, 10.50, 10.50, 10.50, 600
12/18/20, 10.50, 10.50, 10.50, 10.50, 100
09/22/20, 11.05, 11.05, 11.05, 11.05, 300
08/27/20, 12.25, 12.25, 12.25, 12.25, 200
03/25/20, 12.25, 12.25, 12.25, 12.25, 200
10/17/19, 12.50, 12.50, 12.50, 12.50, 300
10/16/19, 12.60, 12.60, 12.60, 12.60, 200
10/14/19, 12.60, 12.60, 12.60, 12.60, 300
07/24/19, 12.60, 12.60, 12.60, 12.60, 100
07/17/19, 12.60, 12.60, 12.60, 12.60, 800
04/01/19, 12.60, 12.60, 12.60, 12.60, 400
03/20/19, 14.00, 14.00, 14.00, 14.00, 100
03/19/19, 14.00, 14.00, 14.00, 14.00, 100
03/15/19, 14.00, 14.00, 14.00, 14.00, 100
03/13/19, 14.00, 14.00, 14.00, 14.00, 300
10/15/18, 14.00, 14.00, 14.00, 14.00, 500
