Date, Open, High, Low, Close, Volume
11/28/25, 41.00, 41.80, 41.00, 41.80, 565
11/27/25, 44.00, 44.00, 36.00, 38.00, 22511
11/26/25, 46.00, 46.00, 39.35, 40.00, 3979173
11/25/25, 44.25, 45.00, 42.80, 43.15, 8344
11/24/25, 42.50, 45.00, 42.25, 44.25, 3268
11/21/25, 43.70, 46.90, 42.50, 44.95, 1969
11/20/25, 42.70, 46.00, 42.50, 43.70, 857
11/19/25, 43.00, 43.00, 42.50, 42.60, 1035
11/18/25, 42.80, 43.00, 42.80, 43.00, 232785
11/17/25, 42.80, 42.80, 40.50, 42.65, 12494
11/14/25, 42.50, 42.70, 42.00, 42.55, 4084
11/13/25, 41.00, 42.80, 41.00, 41.90, 2948
11/12/25, 42.80, 42.90, 40.00, 42.70, 19833
11/11/25, 42.70, 42.90, 42.00, 42.55, 4748
11/10/25, 42.90, 42.90, 42.50, 42.55, 7189
11/07/25, 42.80, 42.90, 42.70, 42.80, 8252
11/06/25, 42.90, 42.90, 42.50, 42.80, 9298
11/05/25, 42.85, 42.85, 42.75, 42.80, 5643
11/04/25, 42.20, 42.85, 39.00, 42.45, 18755
11/03/25, 42.90, 42.90, 42.25, 42.25, 207337
10/31/25, 42.70, 42.85, 40.20, 42.80, 7565
10/30/25, 42.95, 42.95, 40.30, 42.85, 3286
10/29/25, 42.00, 42.85, 38.70, 40.20, 2008
10/28/25, 42.95, 42.95, 40.00, 42.30, 1104
10/27/25, 43.00, 43.00, 42.00, 42.70, 1133
10/24/25, 40.50, 42.95, 40.50, 41.40, 1140
10/23/25, 43.50, 43.50, 40.50, 40.85, 2382
10/22/25, 40.05, 43.40, 40.05, 40.50, 16343
10/21/25, 42.45, 43.50, 40.25, 42.90, 13054
10/16/25, 42.45, 43.00, 42.45, 42.45, 23817
10/15/25, 42.15, 42.55, 41.75, 42.35, 31788
10/14/25, 40.00, 42.00, 39.80, 41.75, 45328
10/13/25, 38.50, 40.00, 38.00, 38.50, 372591
10/09/25, 38.15, 38.50, 38.15, 38.35, 15588
10/08/25, 38.35, 38.35, 38.00, 38.15, 7451
10/07/25, 38.50, 38.50, 38.00, 38.35, 354
10/06/25, 38.50, 38.50, 38.50, 38.50, 3988
10/03/25, 38.50, 38.50, 38.50, 38.50, 4578
10/02/25, 37.40, 38.50, 37.00, 37.25, 2371
10/01/25, 38.40, 38.60, 37.20, 37.40, 748
09/30/25, 38.75, 38.75, 37.20, 38.40, 2188
09/29/25, 38.60, 38.60, 37.25, 38.25, 1409
09/26/25, 38.95, 38.95, 38.50, 38.60, 494
09/25/25, 38.55, 38.55, 37.10, 37.95, 8580
09/24/25, 38.55, 38.55, 38.50, 38.55, 891
09/23/25, 38.55, 38.55, 38.55, 38.55, 23
09/22/25, 38.60, 38.60, 38.60, 38.55, 3
09/19/25, 39.00, 39.00, 37.05, 38.55, 3003
09/18/25, 38.00, 38.00, 37.20, 38.00, 105936
09/17/25, 39.00, 39.00, 38.00, 38.05, 7485
09/16/25, 36.75, 38.95, 36.75, 37.10, 320
09/15/25, 38.00, 39.00, 38.00, 38.00, 53791
09/12/25, 38.00, 38.00, 37.00, 37.70, 5124
09/11/25, 37.00, 38.00, 37.00, 37.35, 24454
09/10/25, 38.00, 38.00, 36.80, 37.00, 34239
09/09/25, 38.00, 38.00, 37.00, 37.50, 6379
09/08/25, 39.50, 39.50, 38.00, 38.65, 1691
09/05/25, 39.50, 39.50, 37.00, 39.30, 6902
09/04/25, 42.00, 42.00, 38.00, 39.55, 3687
09/03/25, 39.85, 39.90, 39.85, 39.90, 4825
09/02/25, 36.80, 41.00, 36.80, 37.55, 657
09/01/25, 40.00, 40.00, 39.50, 39.90, 1786
08/29/25, 41.00, 41.00, 40.00, 40.80, 1256
08/28/25, 41.30, 41.40, 39.50, 40.25, 507
08/27/25, 41.45, 41.45, 41.00, 41.30, 537
08/26/25, 42.00, 42.00, 41.00, 41.45, 2915
08/25/25, 43.00, 43.00, 41.00, 41.70, 1903
08/22/25, 38.90, 42.00, 38.90, 39.30, 9129
08/21/25, 38.00, 39.00, 38.00, 38.90, 1533
08/20/25, 38.95, 38.95, 37.00, 38.80, 1602
08/19/25, 37.00, 39.00, 36.00, 36.55, 159298
08/18/25, 36.50, 36.50, 36.50, 36.50, 331464
08/15/25, 36.00, 36.50, 36.00, 36.15, 60259
08/14/25, 36.00, 36.00, 36.00, 36.00, 530200
08/13/25, 35.55, 36.00, 35.55, 36.00, 73836
08/12/25, 36.00, 36.00, 35.90, 35.95, 37599
08/11/25, 35.95, 35.95, 35.75, 35.95, 8994
08/08/25, 35.95, 36.00, 35.95, 35.95, 10371
08/07/25, 35.00, 36.00, 34.50, 35.45, 5100
08/06/25, 35.40, 35.90, 34.00, 34.50, 23600
08/05/25, 35.00, 35.00, 34.30, 34.50, 19800
08/04/25, 35.50, 35.50, 34.40, 35.00, 10400
08/01/25, 35.50, 35.80, 35.00, 35.20, 900
07/31/25, 37.65, 37.65, 35.00, 35.50, 1300
07/30/25, 37.00, 37.00, 35.05, 35.90, 2700
07/29/25, 36.00, 37.45, 36.00, 37.10, 2600
07/28/25, 36.00, 36.00, 34.50, 34.55, 536300
07/25/25, 35.00, 36.00, 35.00, 35.50, 1400
07/24/25, 35.00, 35.00, 35.00, 35.00, 8600
07/23/25, 34.75, 34.95, 34.15, 34.50, 20900
07/22/25, 35.00, 35.00, 34.50, 34.75, 6000
07/21/25, 35.10, 35.10, 35.00, 35.05, 2400
07/18/25, 35.25, 35.25, 35.00, 35.05, 15200
07/17/25, 35.20, 35.50, 35.20, 35.30, 300
07/16/25, 35.10, 35.45, 35.00, 35.15, 22200
07/15/25, 35.10, 35.10, 35.05, 35.10, 2700
07/14/25, 35.10, 35.90, 35.05, 35.05, 30500
07/11/25, 35.05, 36.00, 35.05, 35.10, 7400
07/10/25, 36.00, 36.00, 35.05, 35.50, 1700
07/09/25, 35.00, 36.00, 35.00, 35.80, 7500
07/08/25, 36.00, 36.00, 35.00, 35.35, 4000
07/07/25, 37.00, 37.00, 34.15, 35.25, 23000
07/04/25, 34.00, 35.00, 34.00, 34.65, 23600
07/03/25, 37.00, 37.00, 33.50, 33.85, 20300
07/02/25, 33.50, 35.85, 33.50, 34.20, 10700
07/01/25, 33.50, 33.50, 33.05, 33.40, 11600
06/30/25, 35.50, 35.50, 33.20, 33.70, 1400
06/27/25, 33.40, 34.20, 33.40, 34.15, 1300
06/25/25, 33.20, 33.20, 32.05, 32.65, 200
06/24/25, 33.00, 34.00, 33.00, 33.20, 2700
06/23/25, 33.50, 33.50, 33.50, 33.50, 1800
06/20/25, 33.60, 34.90, 31.50, 34.30, 1500
06/19/25, 33.60, 33.60, 33.60, 33.60, 200
06/18/25, 30.55, 30.55, 30.55, 30.55, 1600
06/17/25, 31.00, 34.15, 28.75, 28.75, 1937000
06/16/25, 33.90, 34.00, 30.85, 31.05, 265400
06/13/25, 34.25, 36.60, 34.20, 34.25, 35100
06/11/25, 35.00, 35.25, 34.00, 34.90, 600
06/10/25, 35.50, 36.60, 32.00, 32.05, 250700
06/09/25, 34.00, 34.00, 34.00, 34.00, 900
06/05/25, 36.50, 36.50, 35.75, 36.20, 500
06/04/25, 35.35, 35.80, 35.35, 35.75, 2200
06/03/25, 35.00, 37.00, 33.05, 35.35, 12500
05/30/25, 35.00, 35.00, 35.00, 35.00, 500
05/28/25, 35.00, 35.00, 35.00, 35.00, 1000
05/27/25, 35.90, 35.90, 35.00, 35.45, 200
05/26/25, 31.50, 36.00, 31.50, 33.50, 2200
05/23/25, 34.85, 35.75, 34.60, 35.00, 2900
05/21/25, 34.60, 34.85, 34.60, 34.75, 1200
05/20/25, 34.85, 34.85, 34.50, 34.80, 1200
05/19/25, 34.50, 34.60, 34.50, 34.55, 2100
05/16/25, 34.50, 34.50, 34.50, 34.50, 700
05/15/25, 33.00, 34.50, 33.00, 34.40, 1600
05/14/25, 34.50, 34.50, 34.50, 34.50, 1700
05/13/25, 33.00, 34.50, 33.00, 33.05, 2200
05/12/25, 33.00, 33.00, 33.00, 33.00, 400
05/09/25, 33.00, 33.00, 33.00, 33.00, 700
05/08/25, 32.00, 33.00, 30.80, 31.50, 3012700
05/07/25, 32.85, 32.85, 32.85, 32.85, 500
05/06/25, 33.00, 33.00, 33.00, 33.00, 200
05/05/25, 33.00, 33.00, 31.50, 31.50, 1600400
05/02/25, 31.70, 31.70, 31.50, 31.50, 406400
04/30/25, 32.00, 32.00, 31.50, 31.70, 2300
