Date, Open, High, Low, Close, Volume
11/28/25, 121.50, 129.00, 120.75, 122.50, 255
11/27/25, 123.00, 123.00, 120.00, 120.75, 1249
11/26/25, 129.25, 129.75, 127.00, 129.00, 123
11/25/25, 129.75, 129.75, 127.00, 127.00, 108
11/24/25, 128.00, 129.75, 122.00, 124.00, 1329
11/21/25, 127.00, 127.00, 125.00, 125.50, 1103
11/20/25, 129.00, 129.00, 126.00, 127.00, 147
11/19/25, 129.00, 129.00, 126.00, 128.50, 117
11/18/25, 129.00, 129.00, 129.00, 125.50, 14
11/17/25, 127.00, 129.75, 125.00, 125.50, 347
11/14/25, 129.75, 129.75, 129.75, 128.75, 51
11/13/25, 125.00, 129.75, 125.00, 128.75, 723
11/12/25, 127.00, 129.75, 125.00, 129.75, 1313
11/11/25, 129.75, 129.75, 128.00, 129.25, 139
11/10/25, 126.00, 129.75, 126.00, 129.00, 197
11/07/25, 125.00, 140.00, 125.00, 129.75, 1027
11/06/25, 128.00, 129.00, 128.00, 128.25, 561
11/05/25, 129.00, 129.00, 128.00, 129.00, 35
11/04/25, 129.00, 129.00, 129.00, 129.00, 600
11/03/25, 130.00, 132.25, 126.00, 130.50, 896
10/31/25, 131.25, 131.25, 126.00, 130.75, 896
10/30/25, 131.00, 132.25, 131.00, 131.25, 323
10/29/25, 132.25, 132.25, 130.00, 130.25, 123
10/28/25, 132.25, 132.25, 129.00, 129.00, 46609
10/27/25, 132.00, 140.00, 120.00, 120.25, 320
10/24/25, 120.00, 132.00, 120.00, 131.50, 747
10/23/25, 130.00, 140.00, 120.00, 132.25, 1716
10/22/25, 133.75, 140.00, 129.00, 133.25, 1758
10/21/25, 129.00, 141.00, 129.00, 133.75, 2210
10/16/25, 128.00, 129.00, 127.00, 129.00, 418540
10/15/25, 128.00, 129.00, 128.00, 129.00, 135
10/14/25, 128.25, 129.00, 124.00, 126.75, 123
10/13/25, 129.00, 129.00, 125.00, 128.25, 1428
10/09/25, 129.00, 129.00, 127.00, 127.75, 276
10/08/25, 130.00, 130.00, 129.50, 130.00, 125
10/07/25, 124.00, 130.00, 124.00, 129.00, 360
10/06/25, 125.00, 125.25, 123.00, 124.75, 1439
10/03/25, 125.00, 125.00, 125.00, 125.00, 142
10/02/25, 124.00, 125.00, 120.00, 123.00, 1673
10/01/25, 120.00, 120.00, 120.00, 120.00, 763
09/30/25, 122.00, 122.00, 111.00, 121.00, 830
09/29/25, 123.75, 124.00, 120.00, 122.00, 357
09/26/25, 124.50, 124.50, 110.75, 123.75, 211
09/25/25, 124.50, 124.50, 124.50, 123.00, 3
09/24/25, 120.00, 125.00, 120.00, 123.00, 368
09/23/25, 120.75, 120.75, 120.00, 120.75, 6382
09/22/25, 120.00, 124.00, 112.00, 120.75, 4088
09/19/25, 125.00, 125.00, 121.50, 124.25, 3282
09/18/25, 128.00, 128.00, 124.00, 125.00, 296
09/17/25, 125.00, 127.50, 121.50, 125.25, 742
09/16/25, 127.75, 128.00, 121.25, 122.75, 6927
09/15/25, 128.25, 129.00, 125.00, 127.75, 1046
09/12/25, 129.00, 129.00, 121.00, 121.25, 6557
09/11/25, 128.00, 129.00, 128.00, 128.25, 1246
09/10/25, 129.50, 130.00, 129.50, 129.75, 265
09/09/25, 130.00, 130.00, 119.50, 129.50, 1557
09/08/25, 129.50, 130.00, 129.50, 129.50, 1645
09/05/25, 127.00, 129.75, 127.00, 129.50, 1118
09/04/25, 126.00, 129.00, 125.25, 126.25, 639
09/03/25, 127.00, 129.75, 125.25, 126.00, 586
09/02/25, 120.00, 129.75, 120.00, 126.50, 643
09/01/25, 126.00, 130.00, 119.50, 121.50, 1675
08/29/25, 126.50, 130.00, 123.00, 124.75, 2656
08/28/25, 131.25, 131.25, 120.75, 126.50, 4155
08/27/25, 120.00, 120.50, 111.00, 119.50, 1090
08/26/25, 109.00, 110.00, 109.00, 109.75, 2882
08/25/25, 99.75, 150.00, 99.50, 100.50, 6006
08/22/25, 90.75, 99.75, 90.75, 90.75, 201
08/21/25, 99.00, 99.00, 90.00, 90.75, 127
08/20/25, 100.00, 100.00, 98.00, 99.25, 200
08/19/25, 89.50, 95.00, 89.50, 93.00, 286
08/18/25, 89.25, 95.00, 89.25, 89.50, 1554
08/15/25, 90.00, 95.00, 89.00, 89.25, 2173
08/14/25, 90.00, 90.00, 89.50, 90.00, 2480
08/13/25, 89.75, 90.00, 89.00, 89.25, 1371
08/12/25, 90.00, 90.00, 90.00, 90.00, 600
08/11/25, 90.00, 90.00, 90.00, 90.00, 727
08/08/25, 89.75, 89.75, 89.75, 89.75, 500
08/07/25, 88.50, 89.75, 88.50, 89.50, 700
08/06/25, 90.00, 90.00, 89.75, 89.75, 600
08/05/25, 90.00, 90.00, 90.00, 90.00, 600
08/04/25, 90.00, 90.00, 88.50, 89.25, 2100
08/01/25, 90.00, 90.00, 90.00, 90.00, 100
07/31/25, 90.00, 90.00, 90.00, 90.00, 200
07/28/25, 89.50, 89.50, 89.50, 89.50, 200
07/24/25, 89.75, 89.75, 89.00, 89.50, 700
07/23/25, 90.00, 90.00, 88.50, 89.25, 1900
07/22/25, 90.00, 90.00, 90.00, 90.00, 1300
07/21/25, 90.00, 90.00, 90.00, 90.00, 100
07/18/25, 90.75, 90.75, 90.75, 90.75, 400
07/14/25, 89.00, 89.00, 89.00, 89.00, 100
07/09/25, 85.25, 91.00, 85.25, 89.00, 300
07/08/25, 91.25, 91.50, 91.25, 91.50, 1800
07/07/25, 90.00, 91.50, 90.00, 91.25, 500
07/03/25, 85.25, 85.25, 85.25, 85.25, 1000
06/27/25, 85.25, 85.25, 85.25, 85.25, 500
06/25/25, 92.00, 92.00, 92.00, 92.00, 200
06/24/25, 92.00, 92.00, 91.50, 92.00, 1600
06/23/25, 85.00, 85.00, 85.00, 85.00, 500
06/20/25, 90.00, 90.00, 90.00, 90.00, 100
06/19/25, 90.00, 90.00, 86.00, 89.50, 2100
06/17/25, 85.00, 86.00, 85.00, 85.00, 1100
06/16/25, 85.00, 90.00, 85.00, 86.75, 300
06/13/25, 85.50, 85.50, 85.50, 85.50, 100
06/12/25, 88.00, 88.00, 88.00, 88.00, 100
06/11/25, 87.00, 87.00, 87.00, 87.00, 300
06/10/25, 85.00, 86.00, 85.00, 85.50, 500
06/09/25, 86.00, 86.00, 84.00, 85.50, 500
06/05/25, 83.50, 85.00, 83.50, 84.00, 300
06/04/25, 83.50, 83.50, 83.50, 83.50, 400
06/03/25, 80.50, 81.00, 80.50, 80.75, 300
05/30/25, 90.00, 93.00, 81.00, 83.50, 1700
05/29/25, 90.00, 90.00, 90.00, 90.00, 300
05/28/25, 87.00, 88.00, 80.00, 83.75, 4200
05/27/25, 87.50, 87.50, 86.75, 87.00, 300
05/26/25, 87.50, 87.50, 87.50, 87.50, 700
05/23/25, 87.00, 87.00, 86.50, 86.75, 300
05/22/25, 87.00, 87.00, 86.00, 86.50, 200
05/19/25, 80.00, 87.00, 80.00, 80.50, 1800
05/16/25, 80.00, 80.00, 80.00, 80.00, 3600
05/14/25, 88.00, 88.00, 88.00, 88.00, 100
05/13/25, 80.00, 80.00, 80.00, 80.00, 300
05/08/25, 76.00, 76.00, 76.00, 76.00, 1100
04/30/25, 80.00, 80.00, 80.00, 80.00, 1000
04/28/25, 88.00, 88.00, 88.00, 88.00, 200
04/24/25, 88.00, 88.00, 88.00, 88.00, 600
04/23/25, 85.00, 85.00, 85.00, 85.00, 200
04/16/25, 80.00, 80.00, 80.00, 80.00, 100
04/14/25, 78.00, 80.00, 78.00, 79.50, 1300
04/10/25, 78.00, 78.00, 78.00, 78.00, 100
04/09/25, 78.00, 78.00, 78.00, 78.00, 300
04/08/25, 78.00, 78.00, 78.00, 78.00, 400
04/07/25, 80.00, 80.00, 80.00, 80.00, 2000
03/28/25, 82.00, 82.00, 79.00, 80.50, 200
03/27/25, 84.00, 84.00, 84.00, 84.00, 300
03/26/25, 84.00, 84.00, 84.00, 84.00, 600
03/25/25, 85.00, 85.00, 85.00, 85.00, 100
03/24/25, 90.00, 90.00, 90.00, 90.00, 100
03/14/25, 84.00, 84.00, 84.00, 84.00, 18400
03/12/25, 86.00, 86.00, 86.00, 86.00, 100
03/11/25, 86.00, 86.00, 86.00, 86.00, 100
03/10/25, 84.00, 84.00, 84.00, 84.00, 300
03/07/25, 84.00, 84.00, 84.00, 84.00, 13100
03/05/25, 88.00, 88.00, 84.00, 84.25, 13000
03/04/25, 88.00, 88.00, 88.00, 88.00, 1000
03/03/25, 88.00, 88.00, 88.00, 88.00, 500
02/27/25, 84.00, 84.00, 84.00, 84.00, 5000
02/26/25, 80.25, 80.25, 80.25, 80.25, 200
02/21/25, 81.00, 81.00, 81.00, 81.00, 200
02/19/25, 80.25, 81.00, 80.25, 80.75, 200
02/18/25, 81.00, 81.00, 80.25, 80.75, 400
02/06/25, 80.00, 80.00, 80.00, 80.00, 6000
02/04/25, 80.00, 80.25, 80.00, 80.00, 5700
02/03/25, 86.00, 86.00, 86.00, 86.00, 500
01/31/25, 86.00, 86.00, 86.00, 86.00, 200
01/30/25, 86.00, 86.00, 86.00, 86.00, 1000
01/23/25, 80.25, 86.50, 80.25, 80.50, 18300
01/22/25, 86.00, 86.00, 86.00, 86.00, 200
01/17/25, 86.00, 86.00, 86.00, 86.00, 900
01/08/25, 86.25, 86.25, 86.25, 86.25, 1000
01/06/25, 86.00, 86.00, 86.00, 86.00, 1600
12/30/24, 87.00, 89.00, 87.00, 88.75, 3300
12/27/24, 87.00, 87.00, 87.00, 87.00, 1300
12/20/24, 86.00, 87.00, 86.00, 86.00, 500900
