Date, Open, High, Low, Close, Volume
11/28/25, 8.70, 8.80, 8.52, 8.70, 96763
11/27/25, 8.80, 8.80, 8.50, 8.64, 89722
11/26/25, 8.50, 8.80, 8.50, 8.70, 579689
11/25/25, 8.80, 8.80, 8.60, 8.62, 72122
11/24/25, 8.72, 8.78, 8.62, 8.70, 8814
11/21/25, 8.98, 8.98, 8.64, 8.72, 20076
11/20/25, 8.70, 8.98, 8.70, 8.78, 44884
11/19/25, 8.70, 8.76, 8.68, 8.70, 1017173
11/18/25, 8.76, 8.76, 8.62, 8.70, 1012470
11/17/25, 8.76, 8.76, 8.62, 8.70, 981285
11/14/25, 8.70, 8.98, 8.70, 8.76, 51828
11/13/25, 8.90, 8.90, 8.62, 8.68, 76267
11/12/25, 8.60, 9.00, 8.60, 9.00, 2367884
11/11/25, 8.98, 9.00, 8.62, 8.70, 300786
11/10/25, 9.00, 9.10, 8.62, 8.98, 508010
11/07/25, 8.78, 8.98, 8.60, 8.80, 92973
11/06/25, 8.90, 8.96, 8.50, 8.56, 384716
11/05/25, 8.52, 8.96, 8.52, 8.60, 156592
11/04/25, 8.52, 8.68, 8.50, 8.52, 296744
11/03/25, 8.66, 8.68, 8.50, 8.54, 91256
10/31/25, 8.68, 8.68, 8.60, 8.66, 28042
10/30/25, 8.70, 8.80, 8.60, 8.70, 162206
10/29/25, 8.60, 8.80, 8.50, 8.58, 403514
10/28/25, 8.50, 8.70, 8.50, 8.52, 422046
10/27/25, 8.70, 8.70, 8.46, 8.50, 229768
10/24/25, 8.50, 8.70, 8.50, 8.50, 270221
10/23/25, 8.80, 8.80, 7.90, 8.52, 168849
10/22/25, 8.72, 8.80, 8.50, 8.56, 373320
10/21/25, 8.50, 8.80, 8.50, 8.70, 10373
10/16/25, 8.46, 8.80, 8.46, 8.56, 31911
10/15/25, 8.78, 8.78, 8.42, 8.46, 180968
10/14/25, 8.50, 8.78, 8.30, 8.46, 20456
10/13/25, 8.30, 8.78, 8.30, 8.46, 130257
10/09/25, 8.98, 8.98, 8.50, 8.50, 1229200
10/08/25, 9.00, 9.00, 8.52, 8.82, 8806
10/07/25, 9.00, 9.00, 8.50, 8.78, 99128
10/06/25, 8.96, 9.00, 8.80, 8.90, 100462
10/03/25, 8.96, 9.08, 8.80, 8.92, 45582
10/02/25, 9.00, 9.08, 8.80, 8.96, 163734
10/01/25, 8.90, 9.00, 8.80, 8.88, 71324
09/30/25, 8.86, 9.00, 8.84, 8.92, 360507
09/29/25, 8.94, 8.94, 8.80, 8.86, 39629
09/26/25, 8.94, 9.06, 8.70, 8.94, 137230
09/25/25, 9.00, 9.06, 8.70, 8.94, 1065949
09/24/25, 8.96, 9.06, 8.72, 9.00, 441665
09/23/25, 9.00, 9.00, 8.60, 8.96, 100529
09/22/25, 8.80, 9.00, 8.50, 8.94, 33714
09/19/25, 8.70, 9.00, 8.50, 8.80, 162915
09/18/25, 8.96, 9.00, 8.50, 8.66, 86055
09/17/25, 9.10, 9.10, 8.62, 8.94, 32996
09/16/25, 9.00, 9.10, 8.70, 8.88, 96449
09/15/25, 8.98, 9.28, 8.60, 8.80, 81706
09/12/25, 9.00, 9.28, 8.60, 8.88, 169040
09/11/25, 8.70, 8.98, 8.60, 8.70, 12294530
09/10/25, 8.52, 8.98, 8.52, 8.74, 398790
09/09/25, 8.68, 8.96, 8.50, 8.58, 346533
09/08/25, 9.00, 9.00, 8.60, 8.88, 188864
09/05/25, 8.70, 9.00, 8.20, 8.86, 266870
09/04/25, 8.76, 8.92, 8.50, 8.68, 345751
09/03/25, 8.40, 8.84, 8.00, 8.22, 196809
09/02/25, 8.90, 8.90, 8.10, 8.40, 441876
09/01/25, 9.00, 9.00, 8.12, 8.60, 52569
08/29/25, 9.40, 9.40, 9.00, 9.02, 138173
08/28/25, 9.00, 9.10, 8.80, 8.84, 59924
08/27/25, 9.10, 9.12, 8.72, 8.96, 379179
08/26/25, 8.78, 9.12, 8.78, 9.00, 95601
08/25/25, 8.56, 9.00, 8.56, 8.76, 286273
08/22/25, 9.00, 9.00, 8.40, 8.78, 133565
08/21/25, 8.60, 9.00, 8.50, 8.86, 134623
08/20/25, 8.50, 9.00, 8.32, 8.50, 84370
08/19/25, 8.26, 8.40, 8.22, 8.30, 228990
08/18/25, 8.30, 8.38, 8.20, 8.30, 441336
08/15/25, 8.32, 8.32, 8.20, 8.30, 367159
08/14/25, 8.30, 8.32, 8.30, 8.30, 389571
08/13/25, 8.02, 8.30, 8.00, 8.06, 80350
08/12/25, 8.30, 8.30, 8.00, 8.02, 32368
08/11/25, 8.00, 8.32, 8.00, 8.28, 123726
08/08/25, 8.00, 8.30, 7.70, 8.00, 16719
08/07/25, 8.32, 8.32, 7.50, 7.62, 12700
08/06/25, 7.80, 8.36, 7.20, 7.78, 42300
08/05/25, 7.64, 8.40, 6.88, 7.70, 2010900
