Date, Open, High, Low, Close, Volume
11/28/25, 57.25, 57.25, 57.00, 57.75, 21
11/27/25, 57.75, 57.75, 57.25, 57.75, 4987
11/26/25, 57.75, 58.50, 57.00, 57.50, 3243
11/25/25, 57.75, 58.75, 57.75, 57.75, 704
11/24/25, 59.25, 59.25, 58.00, 58.25, 6394
11/21/25, 58.75, 60.00, 58.75, 59.25, 966
11/20/25, 58.00, 60.00, 57.75, 58.75, 14403
11/19/25, 57.75, 59.50, 57.75, 58.00, 1239
11/18/25, 59.50, 59.50, 58.25, 59.50, 12370
11/17/25, 57.75, 59.50, 57.75, 58.25, 19032
11/14/25, 62.00, 62.00, 57.75, 58.50, 586
11/13/25, 62.00, 62.00, 59.00, 60.00, 146
11/12/25, 61.50, 63.00, 57.75, 61.50, 2284
11/11/25, 60.00, 62.00, 60.00, 61.50, 1277
11/10/25, 58.25, 61.00, 57.00, 57.75, 8653
11/07/25, 58.25, 58.25, 58.00, 58.25, 1163
11/06/25, 57.00, 58.25, 57.00, 57.00, 12527
11/05/25, 56.00, 56.50, 56.00, 56.25, 7751
11/04/25, 55.50, 56.50, 53.50, 55.50, 1245
11/03/25, 56.25, 56.25, 55.50, 55.50, 3790
10/31/25, 55.50, 56.00, 53.25, 54.25, 4586
10/30/25, 54.00, 55.50, 53.25, 55.50, 6703
10/29/25, 54.00, 54.00, 53.25, 53.25, 12320
10/28/25, 54.50, 54.50, 53.00, 53.00, 8289
10/27/25, 55.25, 55.50, 53.00, 54.50, 1376
10/24/25, 53.00, 55.75, 53.00, 55.25, 20563
10/23/25, 54.75, 54.75, 52.75, 52.75, 315
10/22/25, 56.50, 56.50, 52.50, 53.50, 17283
10/21/25, 54.25, 56.50, 52.50, 53.25, 12587
10/16/25, 52.00, 52.50, 52.00, 52.50, 22867
10/15/25, 56.75, 56.75, 52.00, 52.25, 8780
10/14/25, 52.00, 55.50, 52.00, 52.25, 21698
10/13/25, 51.25, 53.00, 51.25, 51.75, 28310
10/09/25, 50.50, 53.00, 50.50, 51.75, 17957
10/08/25, 51.00, 55.00, 49.80, 50.50, 8080
10/07/25, 53.75, 53.75, 49.90, 50.50, 37535
10/06/25, 46.00, 50.00, 46.00, 49.05, 2619
10/03/25, 45.00, 46.00, 43.50, 45.50, 9762
10/02/25, 42.40, 42.45, 41.00, 41.90, 10759
10/01/25, 40.00, 42.40, 39.00, 41.35, 6881
09/30/25, 38.50, 42.00, 38.50, 38.85, 21340
09/29/25, 35.50, 38.90, 35.50, 38.45, 9496
09/26/25, 37.00, 37.50, 35.00, 35.40, 1927
09/25/25, 37.45, 38.50, 37.45, 37.45, 5734
09/24/25, 37.45, 37.45, 35.00, 37.40, 656
09/23/25, 35.40, 36.95, 35.40, 35.50, 1074
09/22/25, 36.85, 36.85, 35.50, 35.60, 626
09/19/25, 37.20, 38.50, 35.50, 36.65, 840
09/18/25, 35.35, 38.95, 35.35, 37.20, 1835
09/17/25, 39.25, 39.50, 35.35, 37.75, 8114
09/16/25, 35.10, 39.40, 35.10, 39.25, 926
09/15/25, 38.00, 40.00, 35.00, 36.70, 901
09/12/25, 40.00, 40.80, 35.00, 38.85, 10073
09/11/25, 37.00, 40.00, 37.00, 38.60, 2866
09/10/25, 36.00, 38.00, 35.05, 36.45, 6730
09/09/25, 33.50, 35.50, 33.50, 34.60, 6457
09/08/25, 32.00, 34.25, 32.00, 33.50, 3347
09/05/25, 32.00, 33.75, 32.00, 32.90, 11877
09/04/25, 33.00, 34.00, 32.00, 32.45, 6667
09/03/25, 32.00, 33.00, 32.00, 32.50, 974
09/02/25, 32.50, 32.50, 32.50, 32.50, 557
09/01/25, 31.00, 32.50, 30.00, 31.10, 72302
08/29/25, 31.00, 31.75, 30.10, 31.40, 2618
08/28/25, 32.15, 32.15, 30.00, 30.40, 11692
08/27/25, 29.05, 31.40, 29.05, 29.25, 11116
08/26/25, 32.50, 32.50, 31.10, 31.40, 2540
08/25/25, 32.35, 32.50, 31.90, 32.05, 10415
08/22/25, 32.00, 32.00, 31.60, 32.00, 635
08/21/25, 33.05, 33.05, 31.20, 32.35, 2208
08/20/25, 33.00, 33.95, 33.00, 33.05, 32952
08/19/25, 32.50, 33.30, 31.90, 33.00, 7401
08/18/25, 29.00, 35.00, 29.00, 31.20, 7494
08/15/25, 31.90, 31.90, 30.00, 31.90, 17078
08/14/25, 29.00, 29.00, 29.00, 29.00, 348
08/13/25, 25.20, 29.00, 25.20, 26.40, 28908
08/12/25, 24.70, 24.80, 24.70, 24.75, 348
08/11/25, 24.70, 24.70, 24.50, 24.60, 182
08/08/25, 23.75, 24.80, 23.75, 24.60, 173
08/07/25, 24.75, 24.75, 23.70, 23.75, 1900
08/05/25, 24.80, 24.80, 24.80, 24.80, 500
08/01/25, 24.70, 24.70, 23.00, 23.70, 2200
07/31/25, 23.90, 23.90, 23.90, 23.90, 100
07/30/25, 24.05, 24.50, 24.00, 24.05, 1100
07/29/25, 24.80, 24.80, 23.75, 24.05, 1400
07/24/25, 24.80, 24.80, 24.80, 24.80, 200
07/22/25, 23.50, 23.50, 23.50, 23.50, 200
07/21/25, 23.35, 23.50, 23.35, 23.50, 1600
07/18/25, 23.35, 23.50, 23.35, 23.35, 4700
07/17/25, 23.35, 23.35, 23.35, 23.35, 200
