Date, Open, High, Low, Close, Volume
11/28/25, 4.40, 4.70, 4.40, 4.59, 180481
11/27/25, 4.50, 4.51, 4.25, 4.37, 161902
11/26/25, 4.58, 4.60, 4.50, 4.51, 270766
11/25/25, 4.52, 4.70, 4.52, 4.58, 32524
11/24/25, 4.50, 4.59, 4.32, 4.49, 124144
11/21/25, 4.60, 4.65, 4.50, 4.59, 492277
11/20/25, 4.61, 4.70, 4.61, 4.62, 460236
11/19/25, 4.60, 4.70, 4.50, 4.61, 615167
11/18/25, 4.80, 4.80, 4.60, 4.66, 454055
11/17/25, 4.80, 4.98, 4.53, 4.76, 158751
11/14/25, 4.70, 4.80, 4.20, 4.53, 633956
11/13/25, 4.80, 4.80, 4.50, 4.58, 571432
11/12/25, 4.79, 4.80, 4.65, 4.78, 195527
11/11/25, 4.80, 4.80, 4.75, 4.79, 1204465
11/10/25, 4.79, 4.80, 4.70, 4.79, 604350
11/07/25, 4.79, 4.80, 4.78, 4.79, 243082
11/06/25, 4.78, 4.79, 4.75, 4.76, 229109
11/05/25, 4.79, 4.80, 4.70, 4.78, 426207
11/04/25, 4.70, 4.80, 4.65, 4.69, 346197
11/03/25, 4.64, 4.70, 4.50, 4.53, 823037
10/31/25, 4.65, 4.75, 4.60, 4.64, 181448
10/30/25, 4.64, 4.80, 4.63, 4.70, 181011
10/29/25, 4.50, 4.78, 4.50, 4.64, 183771
10/28/25, 4.78, 4.78, 4.55, 4.61, 337986
10/27/25, 4.68, 4.80, 4.50, 4.78, 525698
10/24/25, 4.54, 4.79, 4.50, 4.58, 359400
10/23/25, 4.60, 4.70, 4.40, 4.54, 280400
10/22/25, 4.52, 4.60, 4.42, 4.50, 243242
10/21/25, 4.59, 4.59, 4.45, 4.51, 532829
10/16/25, 4.70, 4.70, 4.50, 4.59, 131017
10/15/25, 4.65, 4.80, 4.50, 4.65, 98263
10/14/25, 4.80, 4.80, 4.46, 4.48, 449609
10/13/25, 4.87, 4.87, 4.50, 4.68, 377030
10/09/25, 4.65, 4.73, 4.42, 4.56, 196474
