Date, Open, High, Low, Close, Volume
11/28/25, 53.00, 53.00, 52.50, 52.75, 1183
11/27/25, 53.00, 55.00, 50.50, 53.00, 1677
11/26/25, 55.50, 55.50, 55.00, 55.25, 24
11/25/25, 56.00, 56.00, 56.00, 56.00, 5505
11/24/25, 56.00, 56.00, 56.00, 56.00, 52
11/21/25, 56.00, 56.00, 50.50, 51.75, 9514
11/20/25, 56.00, 56.00, 55.00, 56.00, 10248
11/19/25, 56.00, 56.00, 50.75, 51.00, 6586
11/18/25, 56.00, 56.00, 50.75, 52.25, 2794
11/17/25, 58.00, 58.00, 56.00, 56.25, 4205
11/14/25, 60.00, 60.00, 57.50, 58.50, 607
11/13/25, 58.00, 61.25, 58.00, 60.00, 982
11/12/25, 58.00, 58.00, 56.00, 57.00, 141
11/11/25, 58.00, 58.00, 58.00, 58.00, 351
11/10/25, 55.50, 60.00, 55.50, 59.50, 1023
11/07/25, 60.00, 61.00, 59.50, 60.00, 1983
11/06/25, 59.75, 59.75, 55.50, 59.50, 3232
11/05/25, 58.00, 60.00, 58.00, 59.75, 2644
11/04/25, 59.50, 59.50, 50.50, 58.00, 7600
11/03/25, 54.00, 55.00, 50.00, 54.25, 3394
10/31/25, 53.50, 53.50, 48.60, 50.25, 1407
10/30/25, 51.00, 54.00, 51.00, 54.00, 285
10/29/25, 50.00, 54.00, 50.00, 50.25, 3232
10/28/25, 55.00, 55.00, 54.00, 54.50, 1703
10/27/25, 55.00, 55.00, 50.00, 54.75, 1063
10/24/25, 50.50, 55.50, 50.50, 54.50, 206
10/23/25, 54.00, 59.25, 50.00, 50.50, 314
10/22/25, 54.00, 54.00, 52.00, 54.00, 2995
10/21/25, 54.75, 54.75, 52.00, 54.00, 515
10/16/25, 59.75, 59.75, 52.75, 54.00, 8137
10/15/25, 58.00, 59.00, 58.00, 58.50, 845
10/14/25, 55.00, 59.00, 55.00, 56.50, 313
10/13/25, 55.50, 59.50, 55.50, 58.00, 406
10/09/25, 55.00, 60.00, 55.00, 55.50, 1023
10/08/25, 60.00, 60.00, 55.00, 56.50, 341
10/07/25, 61.00, 61.00, 58.00, 61.00, 3029
10/06/25, 61.00, 61.00, 58.00, 61.00, 3017
10/03/25, 61.25, 61.75, 58.00, 60.25, 374
10/02/25, 58.00, 62.00, 58.00, 61.25, 911
10/01/25, 60.00, 60.00, 58.00, 58.00, 3012
09/30/25, 62.00, 62.00, 57.00, 59.50, 2251
09/29/25, 59.50, 62.00, 53.50, 57.50, 660
09/26/25, 57.00, 58.75, 55.00, 57.00, 5420
09/25/25, 53.50, 56.00, 53.50, 54.25, 1099
09/24/25, 53.00, 55.00, 52.50, 53.50, 2779
