Date, Open, High, Low, Close, Volume
11/28/25, 14.80, 14.80, 13.50, 14.60, 26844
11/27/25, 15.10, 15.10, 14.80, 14.85, 37283
11/26/25, 15.10, 15.10, 14.90, 15.00, 87471
11/25/25, 15.25, 15.50, 15.00, 15.10, 36968
11/24/25, 15.30, 15.40, 14.85, 15.20, 35094
11/21/25, 15.05, 15.40, 15.00, 15.05, 33716
11/20/25, 15.00, 15.40, 14.95, 15.15, 164761
11/19/25, 15.00, 15.20, 15.00, 15.00, 130500
11/18/25, 15.00, 15.30, 14.85, 14.95, 293399
11/17/25, 15.10, 15.45, 15.00, 15.15, 34373
11/14/25, 15.35, 15.35, 15.00, 15.00, 34096
11/13/25, 15.35, 15.50, 15.05, 15.40, 12143
11/12/25, 15.40, 15.40, 15.00, 15.10, 47066
11/11/25, 16.40, 16.40, 15.00, 15.50, 32716
11/10/25, 16.40, 16.40, 15.35, 16.00, 24633
11/07/25, 16.75, 16.75, 15.85, 16.40, 53596
11/06/25, 15.25, 16.00, 15.25, 15.80, 315636
11/05/25, 14.65, 15.50, 14.65, 15.25, 74673
11/04/25, 14.65, 14.80, 14.60, 14.60, 46651
11/03/25, 14.55, 14.95, 14.55, 14.75, 82437
10/31/25, 14.95, 15.00, 14.50, 14.60, 55826
10/30/25, 14.50, 15.00, 14.50, 14.70, 101399
10/29/25, 14.65, 14.65, 14.50, 14.60, 9428
10/28/25, 15.00, 15.00, 14.55, 14.65, 29971
10/27/25, 14.50, 15.00, 14.50, 14.65, 28434
10/24/25, 14.85, 14.90, 14.40, 14.50, 56200
10/23/25, 14.00, 14.95, 13.80, 14.85, 181436
10/22/25, 14.00, 14.40, 13.70, 14.05, 37866
10/21/25, 14.35, 14.35, 13.60, 13.90, 18285
10/16/25, 15.20, 15.20, 14.00, 14.35, 12465
10/15/25, 13.95, 15.00, 13.65, 14.05, 48434
10/14/25, 15.20, 15.20, 13.55, 13.95, 52309
10/13/25, 15.35, 15.35, 14.80, 15.05, 111871
10/09/25, 15.50, 15.50, 14.75, 15.35, 74141
10/08/25, 15.80, 15.80, 15.50, 15.55, 30207
10/07/25, 15.80, 15.85, 15.50, 15.60, 241784
10/06/25, 15.70, 15.80, 15.50, 15.70, 22667
10/03/25, 15.75, 15.80, 15.15, 15.60, 52648
10/02/25, 15.50, 15.75, 15.00, 15.50, 83915
10/01/25, 15.85, 15.85, 15.30, 15.55, 17583
09/30/25, 15.40, 15.75, 14.95, 15.25, 61597
09/29/25, 15.50, 15.65, 15.00, 15.15, 37798
