Date, Open, High, Low, Close, Volume
11/28/25, 111.00, 112.75, 110.00, 110.50, 7806
11/27/25, 113.00, 113.00, 109.25, 110.25, 38123
11/26/25, 114.00, 114.00, 110.50, 113.25, 4763
11/25/25, 116.00, 116.00, 113.50, 115.00, 334449
11/24/25, 116.00, 116.00, 115.00, 115.00, 63858
11/21/25, 115.00, 116.00, 114.25, 115.00, 428595
11/20/25, 115.00, 116.00, 115.00, 115.00, 38374
11/19/25, 116.00, 118.00, 115.25, 116.00, 7847
11/18/25, 115.75, 116.00, 115.00, 115.00, 43642
11/17/25, 115.00, 116.00, 115.00, 115.25, 7884
11/14/25, 118.00, 118.00, 115.00, 116.00, 30959
11/13/25, 113.50, 115.50, 113.50, 115.25, 25928
11/12/25, 115.25, 115.25, 110.50, 113.50, 7980
11/11/25, 114.25, 115.25, 114.25, 115.00, 29906
11/10/25, 115.25, 115.50, 114.50, 115.00, 39135
11/07/25, 118.00, 118.00, 115.00, 115.25, 30719
11/06/25, 115.00, 117.00, 115.00, 115.50, 66404
11/05/25, 112.00, 117.00, 112.00, 115.00, 26883
11/04/25, 113.50, 113.50, 108.00, 112.00, 16394
11/03/25, 105.50, 115.50, 105.50, 112.75, 27004
10/31/25, 105.00, 105.00, 104.00, 105.00, 533154
10/30/25, 105.00, 105.00, 104.50, 105.00, 61681
10/29/25, 105.00, 105.00, 104.00, 104.00, 111159
10/28/25, 104.00, 106.00, 104.00, 105.00, 47224
10/27/25, 105.00, 105.00, 103.25, 104.00, 27508
10/24/25, 104.00, 105.00, 103.00, 104.00, 18307
10/23/25, 103.75, 105.00, 103.25, 103.75, 34384
10/22/25, 103.50, 104.00, 103.50, 103.75, 7619
10/21/25, 104.00, 104.00, 102.00, 103.75, 64974
10/16/25, 100.00, 104.75, 100.00, 103.75, 129202
10/15/25, 103.50, 105.00, 100.00, 104.00, 8280
10/14/25, 100.50, 103.50, 100.00, 100.50, 25506
10/13/25, 105.00, 105.00, 95.50, 100.50, 39674
10/09/25, 104.50, 105.00, 103.00, 103.25, 90449
10/08/25, 105.00, 105.00, 103.25, 104.75, 20036
10/07/25, 104.75, 105.00, 103.50, 104.75, 98355
10/06/25, 105.00, 105.00, 104.00, 104.75, 8917
10/03/25, 105.00, 105.00, 104.00, 105.00, 13825
10/02/25, 105.00, 105.00, 104.00, 105.00, 14528
10/01/25, 105.00, 105.00, 104.00, 104.75, 80644
09/30/25, 104.00, 105.00, 103.00, 104.50, 120709
09/29/25, 104.50, 105.00, 103.00, 104.25, 4963
09/26/25, 104.75, 105.00, 104.00, 104.50, 111316
09/25/25, 105.00, 105.00, 104.00, 105.00, 621303
09/24/25, 105.00, 105.00, 103.00, 105.00, 213560
09/23/25, 105.00, 105.00, 103.50, 104.75, 164611
09/22/25, 105.00, 105.00, 103.00, 104.75, 211417
09/19/25, 104.75, 105.00, 103.25, 104.75, 79072
09/18/25, 103.00, 105.00, 103.00, 104.75, 166143
09/17/25, 105.00, 105.00, 103.00, 104.50, 11349
09/16/25, 107.00, 107.00, 103.00, 105.00, 24845
09/15/25, 105.00, 106.00, 102.50, 105.00, 70310
09/12/25, 105.00, 106.00, 104.00, 105.25, 18972
09/11/25, 106.00, 106.00, 105.00, 105.00, 199403
09/10/25, 105.00, 108.50, 105.00, 106.00, 198472
09/09/25, 104.00, 107.00, 104.00, 105.00, 305274
09/08/25, 105.00, 105.00, 102.50, 104.75, 42033
09/05/25, 105.00, 105.00, 102.00, 104.00, 1149623
09/04/25, 109.25, 109.25, 100.00, 103.00, 633627
09/03/25, 90.25, 99.50, 90.00, 99.50, 679012
09/02/25, 90.75, 99.00, 89.00, 90.50, 97194
09/01/25, 90.00, 91.00, 89.00, 90.25, 16777
08/29/25, 91.00, 91.00, 89.00, 89.75, 118668
08/28/25, 90.00, 91.50, 88.00, 90.00, 69894
08/27/25, 89.00, 89.50, 88.00, 89.00, 48835
08/26/25, 89.00, 89.00, 87.00, 88.00, 29413
08/25/25, 88.75, 89.50, 87.50, 88.00, 69934
08/22/25, 90.00, 90.00, 87.50, 87.75, 30617
08/21/25, 88.00, 89.00, 87.50, 88.00, 97014
08/20/25, 88.00, 90.00, 85.00, 87.25, 15846
08/19/25, 87.00, 88.00, 86.00, 87.00, 1783
08/18/25, 82.00, 88.00, 81.50, 85.00, 249984
08/15/25, 82.50, 85.00, 81.00, 81.50, 24327
08/14/25, 85.00, 85.00, 80.00, 81.00, 39098
08/13/25, 79.75, 82.00, 79.75, 81.00, 32185
08/12/25, 80.00, 81.00, 80.00, 80.75, 23871
08/11/25, 79.50, 81.00, 78.50, 79.75, 93392
08/08/25, 79.75, 80.00, 79.00, 79.50, 45942
08/07/25, 77.00, 79.50, 77.00, 77.75, 9600
08/06/25, 76.50, 77.50, 76.50, 76.75, 56800
08/05/25, 77.00, 77.25, 76.00, 77.25, 22500
08/04/25, 77.00, 78.00, 76.50, 77.25, 6900
08/01/25, 85.00, 85.00, 76.00, 76.50, 34700
07/31/25, 80.00, 80.00, 77.50, 79.50, 29400
07/30/25, 76.50, 79.00, 75.00, 77.50, 16500
07/29/25, 80.00, 80.00, 75.50, 76.50, 18700
07/28/25, 80.00, 80.00, 77.00, 80.00, 10500
07/25/25, 78.00, 80.00, 75.00, 77.00, 12000
07/24/25, 78.00, 79.00, 77.00, 78.00, 10500
07/23/25, 78.25, 78.50, 77.25, 78.00, 94300
07/22/25, 78.00, 79.50, 78.00, 78.25, 3000
07/21/25, 78.00, 78.75, 78.00, 78.00, 38600
07/18/25, 78.00, 80.00, 78.00, 78.25, 70800
07/17/25, 79.50, 79.50, 78.00, 78.00, 55000
07/16/25, 78.50, 79.00, 78.00, 78.50, 57500
07/15/25, 78.25, 79.00, 78.25, 78.50, 8000
07/14/25, 79.50, 79.50, 78.50, 79.00, 16700
07/11/25, 79.50, 80.00, 78.50, 79.25, 35800
