Date, Open, High, Low, Close, Volume
11/28/25,20,20,20,19.8,1
11/27/25,20,20,19.75,19.8,505
11/26/25,19.75,20.3,19.75,20.2,964
11/25/25,20.35,20.35,19.6,19.75,1272
11/24/25,19.6,19.6,19.6,19.6,470
11/21/25,20.35,20.35,19.8,19.8,505
11/20/25,20.15,20.3,20.15,20.2,120
11/19/25,20.15,20.15,20.1,20.15,202
11/18/25,18.95,20.5,18.95,20.15,7660
11/17/25,20.4,20.4,18.15,18.95,2921
11/12/2025,20.4,20.4,18.15,19.8,308
11/11/2025,20.4,20.4,19.2,20.15,230
11/10/2025,20.5,20.5,19.5,19.65,290
11/07/2025,20.1,20.45,20.1,20.15,121
11/06/2025,20.5,20.5,20,20.2,3650
11/05/2025,20.5,20.5,20.45,20.5,1150
11/04/2025,20.5,20.5,20,20.35,2329
11/03/2025,20,20,20,20.4,5
10/31/25,20.4,20.4,20.4,20.4,20
10/30/25,20.4,20.4,20.35,20.4,167
10/29/25,20,20,20,20,435
10/28/25,20,20,19,19.75,2860
10/27/25,20.3,20.3,20.3,20.3,518
10/24/25,20.3,20.3,20.3,20.3,366
10/23/25,20,20.45,20,20,1401
10/22/25,20.55,20.55,20.55,20.55,14
10/21/25,20.5,20.6,20.5,20.55,492
10/16/25,20.4,20.5,20.4,20.4,74
10/15/25,20.7,20.7,20,20.4,4913
10/14/25,20.95,20.95,20.1,20.7,302
10/13/25,20.25,21,20.25,20.85,12513
10/09/2025,21.65,21.65,20.05,20.25,5988
10/08/2025,21.65,21.65,20,20.05,7413
10/07/2025,21.95,21.95,20.05,21.65,308
10/06/2025,21.5,22,21.5,21.65,5912
10/03/2025,21,22,20,20.9,5294
10/02/2025,20.5,21,20.5,20.85,12487
10/01/2025,20.55,20.55,20.4,20.4,356
09/30/25,18.2,21,18.2,20.55,9682
09/29/25,20,22,20,20.2,4570
09/26/25,20,20,20,20,206
09/25/25,18,18,18,19.85,16
09/24/25,20,20,19.6,19.85,703
09/23/25,20,20,20,20,1990
09/22/25,20,20,18,19.75,229
09/19/25,20.5,20.5,19.5,20,1942
09/18/25,19.05,19.05,18.8,19.05,510
09/17/25,20.5,20.5,19.5,19.75,15236
09/16/25,19.5,21,19.5,20.65,1538
09/15/25,20.35,22.35,20.35,20.8,1834
09/12/2025,18,20.5,18,20.35,555
09/11/2025,21,21,19,19.05,11742
09/10/2025,20.5,20.5,20.5,19.6,45
09/09/2025,20.5,20.5,19.55,19.6,5250
09/08/2025,19.55,19.55,19.55,19.55,1151
09/05/2025,22.5,22.5,19,19.55,10748
09/04/2025,20.95,20.95,20.8,20.85,600
09/03/2025,22.75,22.75,20.7,20.8,11295
09/02/2025,22.95,22.95,22.95,22.95,1620
09/01/2025,21.15,21.15,19.5,20.95,3421
08/29/25,23,23,21.1,21.4,3632
08/28/25,22.45,24.1,20.3,23.4,14130
08/27/25,22.6,22.6,22.5,22.55,376
08/26/25,22.75,23,22.75,22.8,2362
08/25/25,21.3,23.15,21,22.75,9257
08/22/25,21.4,21.4,18.55,21.1,1043
08/21/25,19.7,19.7,18.1,19.55,5976
08/20/25,16,18.15,16,17.95,12805
08/19/25,15.4,16.8,14,16.5,13555
08/18/25,15.4,15.4,14.15,15.3,2839
08/15/25,14.1,15.45,14,14,5044
08/14/25,15.85,15.85,14.1,14.15,71419
08/13/25,14,15.9,14,14.6,15306
08/12/2025,14.5,14.5,14.5,14.5,1881
08/11/2025,15,15,15,15,119
08/08/2025,14,14,13.5,14,13707
08/07/2025,13,13.5,13,13.45,6200
08/06/2025,13,13,13,13,1000
08/05/2025,13.5,13.5,13,13.1,5200
08/04/2025,12.5,12.75,12.5,12.55,5400
08/01/2025,12.5,12.6,12.5,12.5,7600
07/31/25,11.45,12.5,11.45,12.05,3700
07/30/25,11.7,11.7,11.7,11.7,100
07/29/25,12.75,12.75,12.3,12.4,4100
07/28/25,11.6,11.6,11.6,11.6,1500
07/25/25,11.6,11.6,11.6,11.6,1000
07/24/25,11.6,11.6,11.6,11.6,400
07/23/25,11.15,11.15,11.15,11.15,100
07/22/25,11.35,12.5,11,11,277900
07/21/25,11.35,12.5,11.35,11.95,900
07/18/25,11.5,11.5,11.5,11.5,2900
07/17/25,11.5,11.5,11.35,11.5,2900
07/16/25,11.85,11.85,11.4,11.65,5400
07/15/25,12.85,12.85,11.5,11.75,6400
07/11/2025,11.8,11.8,11.7,11.75,500
07/10/2025,13.15,13.15,11.85,12.95,4300
07/09/2025,12.45,13.6,11.45,13.1,1600
07/08/2025,12.45,12.45,12.45,12.45,6400
07/04/2025,11.35,11.35,11.35,11.35,25500
06/26/25,11.3,11.3,11.3,11.3,100
06/25/25,12.4,12.4,12.4,12.4,100
06/23/25,11.3,12.4,11.3,11.6,400
06/19/25,11.3,11.3,11.3,11.3,100
06/17/25,13.6,13.6,12.45,12.45,21600
06/16/25,12.4,12.4,12.4,12.4,200
06/13/25,12.45,12.45,12.45,12.45,400
06/10/2025,12.45,12.45,12.4,12.45,600
06/09/2025,12.45,12.45,12.4,12.45,1100
06/03/2025,12.45,12.45,12.45,12.45,300
05/30/25,12,12,12,12,16500
05/28/25,12,12,12,12,300
05/26/25,12,12,12,12,3400
05/22/25,12.45,12.45,12.45,12.45,2300
05/21/25,12.4,12.45,12.4,12.45,1900
05/16/25,11.1,12.75,11.1,11.35,700
05/15/25,11.5,12.95,11.5,12.25,800
05/14/25,13,13,11.85,12.6,300
05/12/2025,13,13,13,13,1900
05/09/2025,12,12,12,12,9500
05/08/2025,12.75,12.75,12.75,12.75,1400
05/07/2025,12,12,12,12,300
05/02/2025,13,13,11.5,12.75,600
04/25/25,12,12,12,12,1000
04/24/25,12.45,12.45,12.45,12.45,900
04/16/25,12,12.9,12,12.45,200
04/15/25,12.9,12.95,11.5,12.45,300
04/14/25,12,12,12,12,300
04/10/2025,11.5,11.5,11.5,11.5,100
04/04/2025,12,12.65,12,12.65,10200
03/28/25,11.5,11.5,11.5,11.5,2100
03/27/25,11.55,11.55,11.55,11.55,600
03/26/25,12.5,12.5,12.5,12.5,1600
03/25/25,12.5,12.5,12.5,12.5,300
03/20/25,13,13,13,13,2100
03/19/25,13,13,13,13,100
03/18/25,12.9,12.9,12.9,12.9,800
03/13/25,12.9,12.9,12.8,12.9,400
03/12/2025,12.8,12.9,12.8,12.85,200
03/11/2025,11.75,11.75,11.75,11.75,100
03/10/2025,11.75,11.75,11.75,11.75,2200
03/06/2025,12.9,12.95,12.9,12.95,200
03/05/2025,11.8,11.8,11.8,11.8,500
03/04/2025,11.75,11.8,11.75,11.8,800
03/03/2025,11.75,11.75,11.75,11.75,100
02/21/25,13,13,13,13,500
02/19/25,13,13,13,13,1900
02/18/25,14,14,14,14,700
02/17/25,14,14,14,14,100
02/13/25,13,13,13,13,200
02/12/2025,13,13,13,13,300
02/11/2025,13,13,13,13,1200
02/05/2025,11.7,13,11.7,12.55,300
02/04/2025,12.5,13,12.5,12.5,4200
