Date, Open, High, Low, Close, Volume
11/28/25, 63.00, 63.00, 62.25, 62.75, 213776
11/27/25, 62.75, 63.00, 62.00, 62.75, 194268
11/26/25, 63.00, 64.25, 61.00, 62.75, 2700595
11/25/25, 63.00, 63.75, 62.50, 63.00, 184673
11/24/25, 63.75, 64.00, 63.00, 63.25, 184170
11/21/25, 64.25, 64.25, 63.00, 63.75, 330435
11/20/25, 64.25, 64.25, 63.75, 64.00, 1251642
11/19/25, 64.00, 64.75, 63.75, 64.00, 2650059
11/18/25, 64.75, 65.00, 64.25, 65.00, 2489356
11/17/25, 64.25, 65.50, 63.50, 64.75, 1578116
11/14/25, 64.50, 65.00, 63.00, 64.00, 603322
11/13/25, 65.00, 65.00, 63.75, 64.50, 769911
11/12/25, 65.75, 66.75, 64.50, 65.00, 171601
11/11/25, 69.00, 69.00, 64.00, 67.25, 562653
11/10/25, 69.75, 70.00, 68.00, 68.75, 213116
11/07/25, 69.75, 70.75, 69.25, 69.75, 2088476
11/06/25, 71.00, 71.00, 68.50, 69.75, 909216
11/05/25, 69.00, 70.50, 68.00, 69.75, 2716514
11/04/25, 68.00, 69.00, 67.50, 68.00, 868522
11/03/25, 68.00, 68.00, 66.25, 67.50, 3720046
10/31/25, 64.25, 68.00, 64.25, 66.25, 4727964
10/30/25, 61.50, 65.00, 61.50, 63.50, 457518
10/29/25, 60.00, 61.25, 60.00, 60.50, 499408
10/28/25, 59.75, 60.75, 59.50, 60.00, 761032
10/27/25, 60.25, 60.25, 58.50, 59.75, 61726
10/24/25, 59.50, 60.00, 59.00, 59.50, 2363987
10/23/25, 60.00, 60.00, 59.00, 59.50, 44018
10/22/25, 60.00, 60.75, 59.50, 60.00, 8008213
10/21/25, 59.25, 60.25, 59.00, 60.00, 96439
10/16/25, 59.25, 59.75, 58.75, 59.25, 1575219
10/15/25, 59.00, 59.50, 58.00, 58.75, 182929
10/14/25, 59.25, 59.50, 58.75, 59.00, 232111
10/13/25, 59.00, 60.00, 59.00, 59.25, 50558
10/09/25, 59.25, 59.75, 58.50, 59.00, 205172
10/08/25, 58.75, 59.25, 58.00, 58.75, 86387
10/07/25, 58.00, 58.75, 58.00, 58.50, 683325
10/06/25, 59.00, 59.00, 58.00, 58.50, 348342
10/03/25, 58.50, 59.00, 58.00, 58.25, 673622
10/02/25, 58.00, 59.00, 58.00, 58.00, 525879
10/01/25, 58.25, 58.50, 58.00, 58.00, 1459867
09/30/25, 58.00, 58.50, 57.75, 58.00, 232003
09/29/25, 57.50, 58.50, 57.25, 57.75, 55873
09/26/25, 58.75, 58.75, 57.00, 58.00, 132610
09/25/25, 58.75, 58.75, 56.75, 57.00, 2298350
09/24/25, 56.00, 58.75, 55.75, 57.00, 479095
09/23/25, 54.50, 56.00, 54.25, 54.75, 550699
09/22/25, 54.50, 55.00, 54.00, 54.25, 1094384
09/19/25, 54.00, 54.50, 53.75, 54.00, 6216531
09/18/25, 54.00, 54.50, 53.50, 53.75, 821375
09/17/25, 54.00, 54.50, 53.50, 54.00, 19531141
09/16/25, 54.50, 54.50, 53.25, 54.00, 4205808
09/15/25, 55.00, 55.00, 53.75, 54.00, 819241
09/12/25, 55.00, 55.00, 54.00, 54.25, 298680
09/11/25, 55.00, 55.00, 54.25, 54.75, 475054
09/10/25, 55.75, 55.75, 54.00, 55.25, 2493167
09/09/25, 55.50, 56.00, 55.00, 55.25, 889908
09/08/25, 55.75, 55.75, 54.50, 55.00, 956521
09/05/25, 55.25, 55.75, 55.00, 55.50, 1283993
09/04/25, 56.00, 56.00, 54.00, 55.50, 1433762
09/03/25, 56.00, 56.25, 55.25, 56.00, 932598
09/02/25, 56.00, 56.00, 55.00, 56.00, 4440477
