Date, Open, High, Low, Close, Volume
11/28/25, 9.98, 10.00, 9.94, 9.98, 267145
11/27/25, 10.00, 10.00, 9.96, 10.00, 213324
11/26/25, 10.00, 10.05, 9.96, 10.00, 482568
11/25/25, 10.35, 10.35, 9.96, 10.05, 475312
11/24/25, 10.35, 10.70, 10.05, 10.15, 34786
11/21/25, 10.70, 10.70, 10.20, 10.35, 40669
11/20/25, 10.55, 10.70, 10.30, 10.35, 208604
11/19/25, 10.50, 10.50, 10.25, 10.40, 45631
11/18/25, 10.55, 10.75, 10.15, 10.50, 229324
11/17/25, 11.00, 11.00, 10.30, 10.40, 58113
11/14/25, 10.25, 10.50, 10.25, 10.45, 107444
11/13/25, 10.35, 10.40, 10.20, 10.25, 146517
11/12/25, 9.90, 10.80, 9.90, 10.00, 971098
11/11/25, 10.55, 10.55, 9.90, 10.05, 635923
11/10/25, 10.75, 10.95, 10.20, 10.55, 1777223
11/07/25, 10.95, 11.00, 10.70, 10.85, 342320
11/06/25, 10.80, 11.00, 10.75, 10.90, 270024
11/05/25, 11.00, 11.00, 10.75, 10.95, 249256
11/04/25, 11.00, 11.00, 10.65, 10.90, 345284
11/03/25, 10.90, 11.00, 10.65, 10.95, 539954
10/31/25, 10.60, 10.90, 10.60, 10.65, 94548
10/30/25, 10.65, 10.65, 10.60, 10.60, 625337
10/29/25, 10.65, 10.65, 10.60, 10.65, 195159
10/28/25, 10.65, 10.70, 10.50, 10.60, 102296
10/27/25, 10.60, 10.95, 10.40, 10.65, 26888
10/24/25, 10.95, 10.95, 10.10, 10.40, 48498
10/23/25, 11.00, 11.00, 10.00, 10.75, 91160
10/22/25, 10.50, 10.50, 10.00, 10.15, 114685
10/21/25, 10.80, 10.90, 10.00, 10.25, 134345
10/16/25, 10.05, 10.60, 10.05, 10.35, 61035
10/15/25, 10.10, 10.50, 10.00, 10.05, 622818
10/14/25, 10.25, 10.85, 10.10, 10.65, 208429
10/13/25, 10.15, 10.70, 10.00, 10.40, 147785
10/09/25, 10.40, 10.40, 9.98, 10.15, 147378
10/08/25, 10.30, 10.40, 10.00, 10.15, 121486
10/07/25, 10.70, 10.70, 10.05, 10.45, 201429
10/06/25, 10.50, 10.75, 10.50, 10.65, 96809
10/03/25, 10.75, 10.85, 10.35, 10.50, 3023932
10/02/25, 10.80, 10.80, 10.50, 10.65, 148344
10/01/25, 10.85, 10.85, 10.60, 10.70, 136314
09/30/25, 10.50, 10.90, 10.50, 10.65, 130390
09/29/25, 11.00, 11.00, 10.30, 10.45, 75127
09/26/25, 10.90, 10.90, 10.50, 10.80, 191217
09/25/25, 10.35, 10.90, 10.35, 10.75, 221016
09/24/25, 10.50, 10.50, 10.25, 10.35, 355379
09/23/25, 10.05, 10.50, 10.05, 10.30, 117207
09/22/25, 10.50, 10.50, 10.00, 10.05, 131222
09/19/25, 10.10, 10.15, 10.00, 10.10, 339323
09/18/25, 10.50, 10.50, 10.00, 10.20, 330836
09/17/25, 10.90, 11.00, 10.20, 10.75, 452459
09/16/25, 11.00, 11.00, 10.80, 10.90, 116799
09/15/25, 11.00, 11.20, 10.95, 11.00, 959806
09/12/25, 11.00, 11.15, 10.95, 11.00, 1284945
09/11/25, 11.15, 11.15, 10.90, 11.00, 1019372
09/10/25, 11.05, 11.30, 10.90, 10.95, 32921289
09/09/25, 11.10, 11.40, 10.80, 11.00, 2123262
09/08/25, 11.00, 11.40, 11.00, 11.00, 1439374
09/05/25, 10.95, 11.10, 10.90, 11.00, 4202889
09/04/25, 10.90, 11.00, 10.80, 11.00, 3335562
09/03/25, 10.40, 10.95, 10.40, 10.90, 829413
09/02/25, 9.60, 10.55, 9.60, 9.96, 4618335
09/01/25, 9.66, 9.98, 9.50, 9.60, 3044561
08/29/25, 9.50, 9.66, 9.48, 9.58, 382184
08/28/25, 10.00, 10.00, 9.46, 9.54, 527595
