Date, Open, High, Low, Close, Volume
11/28/25,45,45,43.5,43.9,115790
11/27/25,45.8,45.8,41.2,43.55,57144
11/26/25,45.75,45.8,43,45.2,57910
11/25/25,46,46,45.65,45.75,59204
11/24/25,46,46,45.5,45.75,62337
11/21/25,46,46,45.8,45.9,40536
11/20/25,46,47.5,45.85,46.05,595471
11/19/25,45.85,45.9,45.75,45.85,100450
11/18/25,45.9,45.95,45.85,45.9,151976
11/17/25,46,46,45,45.9,72409
11/14/25,46,46,45.5,45.75,156588
11/13/25,45.5,46.2,45.35,45.9,706874
11/12/2025,45.9,46,45.5,45.85,81277
11/11/2025,46,46,45.7,45.9,131038
11/10/2025,46,46,45.65,45.95,267657
11/07/2025,45.5,46,45.25,45.95,515817
11/06/2025,45.5,45.5,45,45.05,246654
11/05/2025,44.95,45.25,44.9,45.05,242576
11/04/2025,45,45,44.9,45,319469
11/03/2025,44,45,44,44.5,705477
10/31/25,43.9,44.5,43.8,43.9,4183247
10/30/25,43.9,43.95,43.7,43.8,580266
10/29/25,43.7,43.95,43.6,43.7,20899
10/28/25,43.9,44,43.65,43.75,98163
10/27/25,44,44.5,43.6,43.75,32871
10/24/25,43,44,43,43.75,77326
10/23/25,45,45,42.5,43.35,69607
10/22/25,42,43.5,41.95,42.3,266575
10/21/25,42,42,41.9,41.95,61914
10/16/25,42.4,42.5,41.6,42.1,90850
10/15/25,42.5,42.5,42,42.15,32120
10/14/25,42,42.5,41.5,42.25,18365
10/13/25,42.9,42.9,41.6,42.05,56848
10/09/2025,42.9,43,42.65,42.9,276286
10/08/2025,43,43,42.85,43,196927
10/07/2025,42.85,43,42.85,42.9,62154
10/06/2025,42.95,42.95,42.7,42.8,77760
10/03/2025,43,43,42.85,42.95,42623
10/02/2025,43,43,42.85,42.95,11180
10/01/2025,43.5,43.5,42.7,42.95,64740
09/30/25,42.95,43,42.9,43,112318
09/29/25,43,43,42.95,43,34687
09/26/25,43,43,42.9,42.95,22249
09/25/25,43,43,42.75,42.85,593611
09/24/25,43,43,42.25,42.8,48993
09/23/25,42.5,43.3,42,42.8,293519
09/22/25,43.2,43.2,42.5,42.9,80486
09/19/25,43.3,43.3,43,43,85067
09/18/25,43.25,43.45,43,43.25,136032
09/17/25,43.5,43.6,43.1,43.5,129307
09/16/25,43.7,43.75,43.1,43.55,66379
09/15/25,43.75,43.75,43,43.55,394760
09/12/2025,43.8,43.95,43.5,43.75,45822
09/11/2025,44.45,44.8,43.65,44.25,320663
09/10/2025,42.3,44.7,42.3,44,279209
09/09/2025,41.5,42.5,41,42.1,189264
09/08/2025,40.5,41.95,40.5,41.2,110949
09/05/2025,40.9,40.9,40,40.15,141473
09/04/2025,41,41,40,40.55,136536
09/03/2025,40,41.45,39.8,40,1401742
09/02/2025,39,40,39,39.95,1148358
09/01/2025,38.9,39.35,38.6,39.05,313044
08/29/25,38.5,39,38.4,38.65,103778
08/28/25,38.5,38.5,38.4,38.4,1106621
08/27/25,39,39,38.4,38.55,216108
08/26/25,39,39,38.5,38.7,20056
08/25/25,38.4,39,38.2,38.35,553187
08/22/25,38.45,38.5,38.1,38.2,45910
08/21/25,38.5,38.5,38.25,38.4,81144
08/20/25,38.2,38.6,38.2,38.45,38624
08/19/25,38.7,39,38.2,38.75,344052
08/18/25,38,39.35,38,38.7,612890
08/15/25,38,38,36.85,37.55,25803
08/14/25,38,38.45,37.5,38,77426
08/13/25,38.4,38.5,37,38.3,31646
08/12/2025,37.35,38.5,37.25,38.4,57642
08/11/2025,37.55,39,37.25,38.75,136139
08/08/2025,37.5,37.95,37.05,37.3,15333
08/07/2025,37,37.5,36.75,36.75,1030600
08/06/2025,36.75,37,36.7,36.75,3165500
08/05/2025,36.95,36.95,36.5,36.6,74000
08/04/2025,36.5,36.95,36.5,36.7,17500
08/01/2025,36.5,37,36.5,36.85,7100
07/31/25,37,37,36.5,36.65,176100
07/30/25,36.95,37,36.9,36.95,9200
07/29/25,37,37,36.9,36.9,24500
07/28/25,36.55,36.9,36.55,36.85,6800
07/25/25,36.5,37.4,36.5,36.9,51300
07/24/25,36.5,36.6,36.5,36.5,10900
07/23/25,36.2,37,36.05,36.15,113900
07/22/25,36.5,36.5,36.1,36.15,4100
07/21/25,36.5,36.5,36,36.15,3600
07/18/25,36.5,36.5,36,36.5,1020400
07/17/25,37,37,36.5,36.55,18500
07/16/25,37,37,36.5,36.7,4400
07/15/25,36.8,37,36.5,36.7,17100
07/14/25,37,37,36,36.8,10700
07/11/2025,36.7,36.7,36,36.15,37500
07/10/2025,37.15,37.15,36.6,36.8,39900
