Date, Open, High, Low, Close, Volume
11/28/25, 59.00, 59.25, 58.50, 58.75, 3735546
11/27/25, 59.75, 60.00, 59.00, 59.25, 806169
11/26/25, 59.25, 60.75, 58.00, 60.25, 3231252
11/25/25, 60.00, 61.00, 58.00, 59.50, 310305
11/24/25, 63.50, 63.50, 60.50, 61.00, 437945
11/21/25, 64.50, 65.00, 61.00, 64.25, 459125
11/20/25, 65.50, 66.00, 64.25, 65.00, 960543
11/19/25, 65.50, 67.75, 65.25, 65.50, 4957666
11/18/25, 65.25, 67.00, 64.75, 65.00, 1645442
11/17/25, 65.25, 65.25, 64.75, 65.00, 626869
11/14/25, 65.00, 65.50, 64.50, 65.00, 589051
11/13/25, 65.00, 65.50, 64.00, 65.00, 2222519
11/12/25, 67.00, 67.00, 65.00, 65.75, 2008275
11/11/25, 69.00, 69.00, 66.50, 67.75, 1978600
11/10/25, 68.25, 70.00, 67.00, 69.50, 1414202
11/07/25, 69.00, 72.50, 69.00, 70.00, 1042890
11/06/25, 65.00, 69.50, 65.00, 69.00, 3388377
11/05/25, 62.50, 65.50, 62.50, 63.25, 531394
11/04/25, 61.75, 62.75, 61.75, 62.00, 456242
11/03/25, 62.00, 62.00, 61.50, 61.75, 177345
10/31/25, 61.00, 62.00, 61.00, 61.50, 809545
10/30/25, 60.00, 61.25, 60.00, 60.75, 217941
10/29/25, 58.75, 60.75, 58.75, 59.75, 2242583
10/28/25, 58.00, 59.75, 58.00, 58.75, 446773
10/27/25, 58.25, 58.25, 57.50, 58.00, 150796
10/24/25, 58.50, 58.50, 57.75, 58.25, 2110423
10/23/25, 58.25, 58.50, 57.75, 58.25, 338448
10/22/25, 57.75, 58.50, 57.25, 58.25, 1314368
10/21/25, 57.25, 58.25, 56.75, 57.75, 779143
10/16/25, 57.00, 57.50, 56.75, 57.00, 2329152
10/15/25, 57.50, 57.50, 57.00, 57.00, 227308
10/14/25, 58.25, 58.25, 57.00, 57.50, 769777
10/13/25, 56.50, 58.00, 56.50, 57.25, 608364
10/09/25, 56.50, 57.00, 56.25, 56.50, 455354
10/08/25, 56.75, 57.00, 56.25, 56.50, 1343656
10/07/25, 57.00, 57.00, 56.50, 56.75, 1175747
