Date, Open, High, Low, Close, Volume
11/28/25, 10.00, 10.00, 9.80, 9.80, 1129583
11/27/25, 10.00, 10.00, 9.70, 10.00, 2369391
11/26/25, 10.15, 10.15, 9.96, 10.00, 3844352
11/25/25, 10.30, 10.30, 10.00, 10.15, 1627493
11/24/25, 10.30, 10.40, 10.15, 10.15, 1417950
11/21/25, 10.30, 10.35, 10.20, 10.30, 678807
11/20/25, 10.25, 10.30, 10.20, 10.30, 2911876
11/19/25, 10.35, 10.35, 10.15, 10.25, 1081793
11/18/25, 10.40, 10.40, 10.15, 10.30, 1748755
11/17/25, 10.45, 10.45, 10.25, 10.40, 698625
11/14/25, 10.40, 10.50, 10.25, 10.40, 7083600
11/13/25, 10.40, 10.40, 10.25, 10.30, 666531
11/12/25, 10.45, 10.50, 10.15, 10.35, 1458058
11/11/25, 10.50, 10.50, 10.35, 10.40, 2279869
11/10/25, 10.50, 10.55, 10.40, 10.45, 2840923
11/07/25, 10.50, 10.55, 10.35, 10.50, 1910997
11/06/25, 10.55, 10.75, 10.30, 10.50, 2118887
11/05/25, 10.50, 10.65, 10.40, 10.55, 1574860
11/04/25, 10.50, 10.65, 10.35, 10.50, 1943032
11/03/25, 10.40, 10.70, 10.25, 10.50, 3928132
10/31/25, 10.05, 10.40, 10.00, 10.35, 4300303
10/30/25, 10.00, 10.05, 9.96, 10.00, 1762698
10/29/25, 10.00, 10.10, 9.96, 10.10, 4168089
10/28/25, 10.00, 10.55, 9.96, 10.00, 2704505
10/27/25, 10.00, 10.40, 9.80, 10.00, 3358279
10/24/25, 10.05, 10.05, 9.62, 10.00, 6048579
10/22/25, 9.20, 9.22, 9.10, 9.20, 2528902
10/21/25, 9.12, 9.30, 9.10, 9.20, 2971401
10/16/25, 9.06, 9.28, 9.02, 9.16, 1077387
10/15/25, 9.20, 9.30, 9.10, 9.10, 3423896
10/14/25, 9.12, 9.28, 9.00, 9.20, 5108133
10/13/25, 9.28, 9.28, 9.00, 9.20, 3666294
10/09/25, 9.50, 9.50, 9.10, 9.30, 310751
10/08/25, 9.18, 9.50, 8.90, 9.40, 2537892
10/07/25, 9.60, 9.78, 8.82, 9.00, 6027507
10/06/25, 10.00, 10.00, 9.42, 9.48, 2366817
10/03/25, 9.90, 10.00, 9.54, 9.62, 4500220
10/02/25, 8.66, 9.52, 8.62, 9.52, 1915335
10/01/25, 8.62, 8.86, 8.52, 8.80, 1130394
09/30/25, 8.76, 8.84, 8.52, 8.62, 3609663
09/29/25, 9.00, 9.00, 8.40, 8.76, 1305837
09/26/25, 9.00, 9.00, 8.70, 8.90, 1231048
09/25/25, 9.04, 9.04, 8.70, 9.00, 2383825
09/24/25, 9.10, 9.10, 8.98, 9.04, 2574037
09/23/25, 9.18, 9.40, 9.00, 9.10, 678735
09/22/25, 9.16, 9.50, 9.16, 9.20, 2376349
09/19/25, 9.32, 9.32, 8.88, 9.20, 2160850
09/18/25, 9.30, 9.46, 9.20, 9.32, 1000349
09/17/25, 9.90, 9.90, 9.38, 9.38, 780887
09/16/25, 10.00, 10.00, 9.34, 9.68, 2170754
09/15/25, 9.70, 10.00, 9.70, 9.92, 864702
09/12/25, 9.52, 9.88, 9.50, 9.80, 1505594
09/11/25, 10.00, 10.00, 9.52, 9.52, 1147653
09/10/25, 10.15, 10.20, 9.94, 9.96, 666528
09/09/25, 10.05, 10.25, 10.00, 10.10, 1858024
09/08/25, 9.96, 10.20, 9.80, 10.05, 11898873
09/05/25, 9.70, 9.90, 9.70, 9.90, 3276227
09/04/25, 9.46, 9.92, 9.40, 9.60, 3165833
09/03/25, 10.30, 10.30, 9.18, 9.46, 2342047
09/02/25, 9.60, 10.40, 9.60, 10.00, 4388030
09/01/25, 9.10, 9.62, 9.00, 9.62, 4653693
08/29/25, 8.50, 9.02, 8.34, 9.00, 4725762
08/28/25, 8.26, 8.40, 8.02, 8.34, 1510920
08/27/25, 7.90, 8.16, 7.88, 8.16, 3898877
08/26/25, 7.60, 8.00, 7.60, 7.98, 1512635
08/25/25, 7.60, 7.84, 7.52, 7.60, 1874774
08/22/25, 7.52, 7.60, 7.50, 7.60, 1088924
08/21/25, 7.48, 7.58, 7.48, 7.52, 921128
08/20/25, 7.50, 7.50, 7.46, 7.48, 852440
08/19/25, 7.46, 7.50, 7.40, 7.46, 1544784
08/18/25, 7.42, 7.46, 7.40, 7.42, 495684
08/15/25, 7.46, 7.50, 7.36, 7.40, 2276011
08/14/25, 7.38, 7.50, 7.38, 7.46, 1687265
08/13/25, 7.44, 7.44, 7.34, 7.42, 423637
08/12/25, 7.46, 7.46, 7.32, 7.40, 467672
08/11/25, 7.50, 7.60, 7.32, 7.38, 571707
08/08/25, 7.44, 7.80, 7.38, 7.48, 302213
08/07/25, 7.30, 7.50, 7.22, 7.44, 2295000
08/06/25, 7.36, 7.38, 7.16, 7.30, 878100
08/05/25, 7.26, 7.40, 7.12, 7.38, 618600
08/04/25, 7.30, 7.38, 7.18, 7.26, 789600
08/01/25, 7.30, 7.48, 7.16, 7.30, 624600
07/31/25, 7.46, 7.46, 7.26, 7.30, 1976500
07/30/25, 7.40, 7.46, 7.30, 7.42, 592000
07/29/25, 7.36, 7.40, 7.28, 7.30, 841900
07/28/25, 7.24, 7.40, 7.20, 7.36, 1098000
07/25/25, 7.24, 7.38, 7.20, 7.24, 781200
07/24/25, 7.24, 7.38, 7.20, 7.36, 1423100
07/23/25, 7.12, 7.24, 7.10, 7.20, 542900
07/22/25, 7.10, 7.18, 7.08, 7.18, 590100
07/21/25, 7.16, 7.16, 7.02, 7.10, 711100
07/18/25, 7.12, 7.40, 7.04, 7.16, 813000
07/17/25, 7.04, 7.20, 7.00, 7.20, 433000
07/16/25, 7.10, 7.20, 7.00, 7.08, 1910600
07/15/25, 7.10, 7.20, 7.00, 7.02, 1412700
07/14/25, 7.08, 7.20, 6.98, 7.00, 1493900
07/11/25, 7.16, 7.20, 7.00, 7.02, 4601800
07/10/25, 7.26, 7.30, 7.00, 7.12, 2974000
07/09/25, 7.30, 7.36, 7.10, 7.26, 1734000
07/08/25, 7.48, 7.48, 7.30, 7.38, 2834100
07/07/25, 7.20, 7.48, 7.12, 7.40, 2024100
07/04/25, 7.38, 7.44, 7.10, 7.26, 3135400
07/03/25, 6.74, 7.40, 6.70, 7.30, 1071700
07/02/25, 6.72, 7.00, 6.70, 6.74, 1918500
07/01/25, 6.72, 6.72, 6.72, 6.72, 643100
06/30/25, 7.24, 7.52, 7.24, 7.46, 3727100
06/27/25, 6.38, 6.98, 6.32, 6.98, 9415200
06/26/25, 6.00, 6.48, 6.00, 6.48, 3711600
06/25/25, 5.70, 6.00, 5.70, 5.94, 2849000
06/24/25, 5.68, 5.80, 5.54, 5.78, 1040300
06/23/25, 5.58, 5.76, 5.56, 5.70, 974300
06/20/25, 5.58, 5.58, 5.50, 5.58, 876600
06/19/25, 5.44, 5.58, 5.44, 5.56, 1805000
06/18/25, 5.50, 5.50, 5.40, 5.48, 1133900
06/17/25, 5.50, 5.58, 5.30, 5.40, 795700
06/16/25, 5.50, 5.82, 5.42, 5.60, 3216500
06/13/25, 5.42, 5.80, 5.38, 5.70, 4633900
06/12/25, 5.50, 5.60, 5.16, 5.36, 2804700
06/11/25, 5.10, 5.30, 5.06, 5.30, 2918000
06/10/25, 5.00, 5.10, 4.98, 5.06, 6819800
06/09/25, 5.00, 5.16, 4.98, 5.10, 15942100
06/05/25, 5.02, 5.10, 4.98, 5.00, 6878700
06/04/25, 5.00, 5.26, 4.98, 5.00, 4625200
06/03/25, 4.96, 5.20, 4.93, 5.00, 3359000
05/30/25, 4.93, 5.00, 4.90, 4.93, 844700
05/29/25, 4.90, 4.95, 4.89, 4.93, 1431000
05/28/25, 4.95, 4.95, 4.89, 4.90, 1128400
05/27/25, 4.95, 4.95, 4.88, 4.91, 689400
05/26/25, 4.95, 5.00, 4.88, 4.97, 334800
05/23/25, 4.94, 4.99, 4.90, 4.95, 560000
