Date, Open, High, Low, Close, Volume
11/28/25, 3.70, 3.90, 3.50, 3.62, 264167
11/27/25, 3.70, 3.86, 3.20, 3.70, 151228
11/26/25, 3.70, 3.79, 3.50, 3.55, 101557
11/25/25, 3.50, 3.70, 3.20, 3.49, 105652
11/24/25, 3.76, 3.80, 3.30, 3.45, 280215
11/21/25, 3.70, 3.75, 3.50, 3.66, 385013
11/20/25, 3.50, 3.76, 3.50, 3.69, 215542
11/19/25, 3.78, 3.78, 3.60, 3.68, 290098
11/18/25, 3.80, 3.80, 3.73, 3.76, 123583
11/17/25, 3.80, 3.84, 3.78, 3.80, 207157
11/14/25, 3.83, 3.83, 3.76, 3.80, 576024
11/13/25, 3.83, 3.83, 3.79, 3.82, 144491
11/12/25, 3.80, 3.84, 3.75, 3.80, 102521
11/11/25, 3.90, 3.90, 3.76, 3.80, 83131
11/10/25, 3.78, 3.84, 3.77, 3.80, 705695
11/07/25, 3.82, 3.82, 3.75, 3.77, 356873
11/06/25, 3.90, 3.90, 3.76, 3.82, 225820
11/05/25, 3.89, 3.90, 3.76, 3.83, 342854
11/04/25, 3.85, 3.85, 3.75, 3.83, 324246
11/03/25, 3.75, 3.77, 3.70, 3.75, 211045
10/31/25, 3.75, 3.75, 3.70, 3.74, 111254
10/30/25, 3.79, 3.79, 3.74, 3.76, 115833
10/29/25, 3.79, 3.79, 3.74, 3.76, 255148
10/28/25, 3.80, 3.80, 3.72, 3.76, 200320
10/27/25, 3.70, 3.83, 3.70, 3.77, 83208
10/24/25, 3.81, 3.81, 3.72, 3.73, 274508
10/23/25, 3.84, 3.84, 3.78, 3.81, 128572
10/22/25, 3.86, 3.86, 3.83, 3.85, 124493
10/21/25, 3.90, 3.90, 3.82, 3.85, 160514
10/16/25, 3.97, 3.97, 3.80, 3.85, 358630
10/15/25, 3.90, 3.90, 3.72, 3.78, 184238
10/14/25, 4.00, 4.00, 3.80, 3.89, 786712
10/13/25, 3.88, 4.00, 3.88, 3.93, 38095
10/09/25, 3.90, 3.95, 3.80, 3.87, 577042
10/08/25, 3.86, 4.00, 3.82, 3.86, 261382
10/07/25, 3.85, 3.89, 3.82, 3.86, 232867
10/06/25, 3.91, 4.10, 3.85, 3.89, 186841
10/03/25, 3.94, 3.94, 3.85, 3.91, 173781
10/02/25, 3.97, 4.20, 3.90, 3.94, 718280
10/01/25, 3.94, 3.97, 3.90, 3.94, 371958
09/30/25, 3.98, 3.98, 3.81, 3.91, 543350
09/29/25, 4.00, 4.00, 3.95, 3.97, 195093
09/26/25, 4.00, 4.04, 3.96, 3.99, 544078
09/25/25, 4.20, 4.20, 3.99, 4.04, 523889
09/24/25, 4.00, 4.20, 3.99, 4.01, 222315
09/23/25, 4.28, 4.28, 4.00, 4.01, 424490
09/22/25, 4.06, 4.06, 3.98, 4.00, 71478
09/19/25, 4.00, 4.36, 3.98, 4.06, 212991
09/18/25, 4.20, 4.20, 3.90, 3.99, 412700
09/17/25, 4.23, 4.25, 3.95, 4.06, 357552
09/16/25, 4.35, 4.35, 4.02, 4.23, 394015
09/15/25, 4.37, 4.37, 4.15, 4.29, 160679
09/12/25, 4.37, 4.37, 4.30, 4.34, 249247
09/11/25, 4.37, 4.37, 4.29, 4.37, 169502
09/10/25, 4.36, 4.40, 4.29, 4.36, 619641
09/09/25, 4.40, 4.42, 4.29, 4.38, 1076827
09/08/25, 4.42, 4.42, 4.11, 4.40, 345811
09/05/25, 3.75, 4.10, 3.75, 4.02, 737839
09/04/25, 3.69, 3.80, 3.69, 3.73, 881488
09/03/25, 3.69, 3.75, 3.60, 3.69, 929186
09/02/25, 3.75, 3.75, 3.65, 3.69, 543899
09/01/25, 3.76, 3.80, 3.69, 3.75, 341030
08/29/25, 3.75, 3.84, 3.68, 3.74, 889310
08/28/25, 4.00, 4.00, 3.65, 3.84, 2159103
08/27/25, 3.90, 4.45, 1.56, 4.00, 1290193
08/26/25, 4.99, 5.00, 4.80, 4.99, 558080
08/25/25, 4.70, 5.00, 4.66, 4.76, 812461
08/22/25, 4.70, 4.70, 4.68, 4.69, 444498
08/21/25, 4.72, 4.72, 4.68, 4.69, 725848
08/20/25, 4.70, 4.72, 4.68, 4.70, 910387
08/19/25, 4.70, 4.72, 4.69, 4.70, 513902
08/18/25, 4.72, 4.72, 4.69, 4.71, 913442
08/15/25, 4.72, 4.72, 4.67, 4.70, 710373
08/14/25, 4.84, 4.84, 4.68, 4.72, 1253382
08/13/25, 4.80, 4.80, 4.65, 4.76, 321704
08/12/25, 4.85, 4.85, 4.70, 4.78, 510499
08/11/25, 4.90, 4.90, 4.82, 4.88, 259058
08/08/25, 4.96, 4.98, 4.84, 4.90, 73547
08/07/25, 4.99, 4.99, 4.88, 4.91, 135300
08/06/25, 5.00, 5.04, 4.80, 4.90, 288700
08/05/25, 5.00, 5.00, 4.90, 4.99, 274000
08/04/25, 5.02, 5.06, 4.99, 5.00, 268000
08/01/25, 5.02, 5.06, 5.00, 5.02, 265800
07/31/25, 5.10, 5.10, 4.90, 5.02, 566200
07/30/25, 5.20, 5.20, 5.08, 5.10, 222600
07/29/25, 5.12, 5.20, 5.10, 5.14, 149700
07/28/25, 5.20, 5.30, 5.12, 5.22, 30400
07/25/25, 5.20, 5.20, 5.12, 5.20, 229900
07/24/25, 5.20, 5.26, 5.10, 5.18, 225200
07/23/25, 5.22, 5.30, 5.12, 5.20, 174800
07/22/25, 5.40, 5.46, 5.22, 5.36, 70700
07/21/25, 5.20, 5.40, 5.18, 5.22, 408300
07/18/25, 5.36, 5.36, 5.20, 5.30, 108000
07/17/25, 5.28, 5.36, 5.20, 5.28, 242000
07/16/25, 5.70, 5.70, 5.20, 5.28, 89400
07/15/25, 5.44, 5.50, 5.24, 5.34, 395100
07/14/25, 5.30, 5.72, 5.24, 5.42, 73600
07/11/25, 5.34, 5.48, 5.20, 5.32, 212400
07/10/25, 5.20, 5.50, 5.20, 5.34, 149800
07/09/25, 5.20, 5.20, 5.14, 5.20, 314500
07/08/25, 5.20, 5.20, 5.14, 5.20, 218900
07/07/25, 5.14, 5.20, 5.14, 5.20, 69900
07/04/25, 5.44, 5.44, 5.00, 5.14, 542700
