Date, Open, High, Low, Close, Volume
11/28/25, 10.20, 10.30, 10.10, 10.25, 4400
11/27/25, 10.30, 10.30, 10.10, 10.20, 11440
11/26/25, 10.35, 10.40, 10.30, 10.30, 3423
11/25/25, 10.35, 10.40, 10.30, 10.35, 4702
11/24/25, 10.30, 10.45, 10.00, 10.40, 10880
11/21/25, 10.35, 10.45, 10.25, 10.35, 84491
11/20/25, 10.35, 10.45, 10.35, 10.40, 4904
11/19/25, 10.45, 10.45, 10.40, 10.40, 14520
11/18/25, 10.35, 10.45, 10.30, 10.35, 5109
11/17/25, 10.45, 10.45, 10.35, 10.40, 34140
11/14/25, 10.45, 10.45, 10.40, 10.45, 3154
11/13/25, 10.40, 10.45, 10.35, 10.40, 6228
11/12/25, 10.45, 10.45, 10.40, 10.45, 3329
11/11/25, 10.45, 10.45, 10.35, 10.45, 16530
11/10/25, 10.50, 10.50, 10.35, 10.45, 24519
11/07/25, 10.30, 10.50, 10.30, 10.45, 40604
11/06/25, 10.80, 10.80, 10.30, 10.45, 64271
11/05/25, 10.35, 10.50, 10.35, 10.40, 57537
11/04/25, 10.25, 10.50, 10.25, 10.35, 7655
11/03/25, 10.75, 10.85, 10.05, 10.35, 12252
10/31/25, 10.85, 10.85, 10.50, 10.75, 4976
10/30/25, 10.85, 10.85, 10.85, 10.85, 6013
10/29/25, 10.90, 10.90, 10.50, 10.50, 1004815
10/28/25, 10.90, 10.90, 10.70, 10.85, 10548
10/27/25, 10.05, 10.85, 10.00, 10.65, 3035
10/24/25, 10.90, 10.90, 10.00, 10.65, 17811
10/23/25, 11.00, 11.00, 9.86, 10.90, 275467
10/22/25, 10.90, 10.95, 10.80, 10.95, 2214
10/21/25, 10.75, 10.95, 9.72, 10.90, 62239
10/16/25, 10.95, 11.00, 10.00, 10.80, 5702
10/15/25, 11.00, 11.00, 10.95, 10.95, 2361
10/14/25, 11.00, 11.00, 10.95, 11.00, 121343
10/13/25, 10.85, 11.00, 10.75, 10.90, 93735
10/09/25, 10.90, 10.90, 10.75, 10.85, 7548
10/08/25, 10.75, 10.75, 10.20, 10.65, 2796
10/07/25, 10.85, 10.85, 10.20, 10.75, 4850
10/06/25, 11.00, 11.00, 10.80, 10.85, 5501
10/03/25, 11.00, 11.00, 10.80, 10.90, 5430
10/02/25, 10.95, 11.00, 10.95, 10.95, 4880
10/01/25, 11.00, 11.00, 10.80, 11.00, 12825
09/30/25, 10.70, 11.00, 10.70, 10.95, 11005
09/29/25, 11.25, 11.25, 10.40, 10.95, 3717
09/26/25, 10.50, 11.00, 10.30, 10.85, 13199
09/25/25, 10.95, 10.95, 10.50, 10.50, 1009244
09/24/25, 10.95, 10.95, 10.50, 10.55, 15682
09/23/25, 11.00, 11.00, 10.35, 10.50, 1608
09/22/25, 10.25, 10.35, 10.20, 10.25, 9356
09/19/25, 10.25, 10.25, 10.20, 10.25, 17651
09/18/25, 10.50, 11.00, 10.10, 10.20, 316336
09/17/25, 11.00, 11.00, 10.00, 10.50, 16898
09/16/25, 10.90, 11.00, 10.90, 11.00, 4515
09/15/25, 11.05, 11.45, 10.90, 11.00, 12915
09/12/25, 11.00, 11.10, 10.80, 11.00, 34667
09/11/25, 11.10, 11.10, 11.00, 11.05, 7606
09/10/25, 11.50, 11.50, 11.00, 11.10, 20070
09/09/25, 11.45, 11.50, 11.00, 11.20, 14296
09/08/25, 11.05, 11.85, 11.00, 11.40, 70944
09/05/25, 11.05, 11.05, 10.95, 11.00, 62429
09/04/25, 10.95, 11.05, 10.80, 10.95, 10695
09/03/25, 10.95, 10.95, 10.60, 10.80, 13355
09/02/25, 10.95, 11.00, 10.50, 10.70, 11420
09/01/25, 10.90, 11.00, 10.40, 10.95, 16056
08/29/25, 10.95, 10.95, 10.60, 10.90, 13658
08/28/25, 11.10, 11.10, 10.30, 10.40, 22864
08/27/25, 12.10, 12.10, 10.45, 10.95, 25221
08/26/25, 11.10, 11.10, 11.00, 11.05, 43453
08/25/25, 11.00, 11.45, 11.00, 11.10, 39423
08/22/25, 11.30, 11.40, 11.00, 11.05, 10245
08/21/25, 11.00, 11.10, 10.80, 11.05, 51305
08/20/25, 10.45, 11.00, 10.35, 10.50, 40779
08/19/25, 11.35, 11.50, 10.50, 11.00, 33542
08/18/25, 11.50, 11.50, 11.10, 11.45, 6299
08/15/25, 11.50, 11.50, 11.10, 11.35, 12705
08/14/25, 11.90, 11.90, 11.30, 11.50, 49153
08/13/25, 11.50, 11.80, 11.10, 11.35, 10730
08/12/25, 10.90, 11.50, 10.90, 11.15, 2494
08/11/25, 10.60, 11.00, 10.60, 10.90, 8247
08/08/25, 10.35, 10.60, 10.00, 10.00, 124843
08/07/25, 10.35, 10.90, 10.35, 10.60, 2800
08/06/25, 11.20, 11.20, 10.00, 10.35, 22400
08/05/25, 10.70, 10.70, 10.60, 10.65, 19500
08/04/25, 10.90, 11.00, 10.80, 10.85, 5500
08/01/25, 10.60, 10.90, 10.50, 10.70, 13200
07/31/25, 10.90, 10.90, 10.90, 10.90, 2600
07/30/25, 10.95, 10.95, 10.90, 10.90, 8500
07/29/25, 11.00, 11.00, 10.55, 10.95, 1300
07/28/25, 10.50, 11.00, 10.50, 10.90, 4900
07/25/25, 11.00, 11.00, 11.00, 11.00, 5000
07/24/25, 10.50, 11.00, 10.50, 11.00, 11200
07/23/25, 10.50, 11.00, 10.50, 11.00, 143900
07/22/25, 10.00, 10.90, 10.00, 10.40, 4400
07/21/25, 10.80, 10.90, 10.50, 10.65, 4700
07/18/25, 10.85, 10.90, 10.85, 10.85, 9500
07/17/25, 10.50, 10.85, 10.50, 10.80, 3400
07/16/25, 10.50, 10.85, 10.50, 10.70, 4700
07/15/25, 11.00, 11.00, 10.80, 10.85, 11700
07/14/25, 10.70, 10.90, 10.05, 10.80, 16300
07/11/25, 11.20, 11.20, 10.70, 10.90, 4900
07/10/25, 10.80, 10.90, 10.80, 10.85, 13600
07/09/25, 10.80, 10.90, 10.70, 10.90, 18800
07/08/25, 10.90, 10.90, 10.20, 10.65, 8100
07/07/25, 10.20, 10.90, 10.20, 10.70, 4700
07/04/25, 10.00, 10.55, 9.56, 9.92, 9900
07/03/25, 9.50, 10.95, 9.50, 9.62, 59700
07/02/25, 10.00, 10.55, 9.64, 10.05, 3600
07/01/25, 10.10, 10.90, 10.00, 10.50, 3500
06/30/25, 10.30, 11.00, 10.30, 10.35, 14600
06/27/25, 10.20, 10.30, 10.20, 10.20, 6300
06/26/25, 10.35, 10.90, 10.30, 10.40, 15800
06/25/25, 10.35, 10.35, 10.00, 10.20, 3200
06/24/25, 10.20, 10.20, 10.00, 10.10, 2500
06/23/25, 10.30, 10.30, 10.10, 10.20, 600
06/20/25, 9.50, 10.35, 9.50, 10.25, 11200
06/19/25, 10.35, 10.35, 9.50, 9.52, 353000
06/18/25, 10.40, 10.40, 10.35, 10.40, 3800
06/17/25, 9.50, 10.55, 9.30, 9.50, 10599300
06/16/25, 11.40, 11.40, 9.50, 10.15, 78100
06/13/25, 11.35, 11.40, 10.50, 10.55, 591600
06/12/25, 11.40, 11.50, 10.70, 11.25, 46800
06/11/25, 11.00, 11.45, 10.50, 10.50, 12373100
06/10/25, 11.50, 11.50, 10.50, 10.55, 6363600
06/09/25, 12.00, 12.00, 10.50, 10.85, 409500
06/05/25, 11.40, 11.55, 11.00, 11.40, 34800
06/04/25, 11.10, 11.45, 10.50, 10.50, 14850400
06/03/25, 11.25, 11.55, 11.00, 11.10, 153200
05/30/25, 11.80, 11.95, 11.20, 11.55, 45700
05/29/25, 11.50, 11.50, 11.00, 11.15, 32000
05/28/25, 11.40, 11.50, 11.30, 11.35, 13900
05/27/25, 11.50, 11.50, 11.40, 11.45, 19400
05/26/25, 11.50, 11.80, 11.30, 11.50, 18900
05/23/25, 12.00, 12.00, 11.35, 11.80, 12500
05/22/25, 11.80, 11.80, 11.35, 11.75, 22100
05/21/25, 10.75, 11.80, 10.75, 11.70, 3800
05/20/25, 11.20, 11.75, 10.75, 10.75, 11319600
05/19/25, 11.95, 11.95, 11.20, 11.50, 56400
05/16/25, 11.90, 11.95, 11.50, 11.50, 713400
05/15/25, 11.50, 12.00, 11.50, 11.50, 100200
05/14/25, 11.50, 11.50, 11.30, 11.50, 25500
05/13/25, 11.50, 11.95, 11.00, 11.40, 14186400
05/12/25, 11.45, 11.50, 11.00, 11.45, 2278900
05/09/25, 11.45, 11.45, 11.40, 11.45, 2500
05/08/25, 11.40, 11.45, 10.80, 11.40, 9200
05/07/25, 11.60, 11.60, 11.10, 11.40, 24500
05/06/25, 11.00, 11.70, 10.80, 11.45, 19400
05/05/25, 11.50, 12.00, 11.50, 11.75, 2500
05/02/25, 11.75, 11.75, 11.00, 11.40, 1300
04/30/25, 11.75, 11.75, 11.00, 11.70, 3000
04/29/25, 11.95, 11.95, 11.85, 11.90, 300
