Date, Open, High, Low, Close, Volume
11/28/25, 460.00, 460.00, 460.00, 460.00, 20
11/26/25, 460.00, 460.00, 460.00, 460.00, 36
11/25/25, 460.00, 460.00, 460.00, 460.00, 1540
11/24/25, 465.75, 465.75, 460.00, 463.00, 6
11/20/25, 465.75, 465.75, 465.75, 423.50, 3
11/18/25, 465.75, 465.75, 465.75, 423.50, 10
11/06/25, 423.50, 423.50, 423.50, 423.50, 100
11/05/25, 423.50, 423.50, 423.50, 385.00, 5
10/30/25, 385.00, 385.00, 385.00, 385.00, 100
10/24/25, 375.00, 375.00, 375.00, 375.00, 200
10/21/25, 380.00, 380.00, 380.00, 376.75, 9
10/16/25, 380.00, 380.00, 380.00, 376.75, 1
10/14/25, 380.00, 380.00, 380.00, 376.75, 10
10/13/25, 339.25, 340.00, 339.25, 376.75, 25
10/09/25, 380.00, 380.00, 380.00, 376.75, 7
10/08/25, 350.00, 380.00, 350.00, 376.75, 139
10/07/25, 380.00, 380.00, 375.00, 380.00, 787
10/06/25, 380.00, 380.00, 380.00, 380.00, 157
10/03/25, 375.00, 380.00, 375.00, 380.00, 56
10/02/25, 380.00, 380.00, 380.00, 380.00, 1609
10/01/25, 379.00, 380.00, 379.00, 380.00, 257
09/30/25, 380.00, 380.00, 380.00, 380.00, 714
09/29/25, 380.00, 380.00, 380.00, 380.00, 244
09/26/25, 380.00, 380.00, 350.00, 376.00, 588
09/25/25, 380.00, 380.00, 380.00, 374.75, 29
09/22/25, 374.75, 374.75, 374.75, 374.75, 300
09/19/25, 341.00, 341.00, 340.00, 340.75, 599
09/18/25, 341.00, 341.00, 341.00, 310.00, 1
09/16/25, 320.00, 320.00, 320.00, 320.00, 10
09/03/25, 311.00, 311.00, 310.00, 310.00, 400
08/20/25, 310.25, 310.25, 310.25, 310.25, 21
08/12/25, 311.00, 311.00, 310.00, 310.25, 300
08/06/25, 310.00, 310.00, 310.00, 310.00, 600
07/28/25, 310.00, 310.00, 310.00, 310.00, 200
07/15/25, 310.00, 310.00, 310.00, 310.00, 100
06/30/25, 310.00, 310.00, 310.00, 310.00, 100
06/20/25, 295.00, 295.00, 295.00, 295.00, 200
05/30/25, 320.00, 320.00, 320.00, 320.00, 100
04/09/25, 320.00, 320.00, 320.00, 320.00, 100
04/04/25, 310.00, 310.00, 310.00, 310.00, 100
04/02/25, 300.00, 300.00, 300.00, 300.00, 1200
03/11/25, 320.00, 320.00, 320.00, 320.00, 100
02/28/25, 300.00, 300.00, 300.00, 300.00, 100
02/19/25, 299.00, 320.00, 299.00, 309.50, 1000
02/12/25, 299.00, 299.00, 299.00, 299.00, 100
02/10/25, 301.00, 301.00, 301.00, 301.00, 600
02/07/25, 301.00, 301.00, 301.00, 301.00, 200
01/30/25, 330.00, 330.00, 330.00, 330.00, 100
01/17/25, 314.00, 314.00, 314.00, 314.00, 1700
01/15/25, 332.00, 332.00, 332.00, 332.00, 300
01/14/25, 332.00, 332.00, 332.00, 332.00, 2800
12/03/24, 350.00, 350.00, 350.00, 350.00, 100
08/02/24, 365.00, 365.00, 365.00, 365.00, 100
07/24/24, 380.00, 380.00, 379.00, 379.75, 300
04/19/24, 380.00, 380.00, 380.00, 380.00, 200
04/16/24, 380.00, 380.00, 380.00, 380.00, 100
03/01/24, 380.00, 380.00, 380.00, 380.00, 100
01/11/24, 380.00, 380.00, 380.00, 380.00, 100
10/26/23, 380.00, 380.00, 380.00, 380.00, 100
10/25/23, 380.00, 380.00, 380.00, 380.00, 100
10/23/23, 380.00, 380.00, 380.00, 380.00, 41500
