Date, Open, High, Low, Close, Volume
11/28/25, 2.90, 2.90, 2.59, 2.89, 2157
11/27/25, 2.85, 2.90, 2.85, 2.87, 3570
11/26/25, 2.80, 2.90, 2.71, 2.85, 2147
11/25/25, 2.90, 2.90, 2.80, 2.87, 737
11/24/25, 2.70, 2.90, 2.70, 2.88, 16560
11/21/25, 2.90, 2.90, 2.70, 2.71, 6579
11/20/25, 2.89, 2.90, 2.89, 2.90, 9979
11/19/25, 2.80, 2.90, 2.72, 2.88, 9678
11/18/25, 2.80, 2.80, 2.70, 2.70, 41338
11/17/25, 2.98, 2.98, 2.90, 2.98, 5817
11/14/25, 2.98, 2.98, 2.85, 2.88, 3377
11/13/25, 2.90, 2.98, 2.85, 2.94, 10200
11/12/25, 2.80, 2.98, 2.80, 2.90, 145
11/11/25, 2.90, 2.90, 2.80, 2.85, 1727
11/10/25, 2.98, 2.98, 2.69, 2.87, 1942
11/07/25, 2.95, 2.95, 2.90, 2.92, 121
11/06/25, 2.85, 2.95, 2.76, 2.86, 7680
11/05/25, 3.00, 3.00, 2.86, 2.95, 669
11/04/25, 3.00, 3.00, 2.95, 2.98, 2408
11/03/25, 2.90, 3.00, 2.85, 2.94, 2523
10/31/25, 3.00, 3.00, 2.71, 2.90, 5224
10/30/25, 3.00, 3.00, 2.90, 2.98, 3398
10/29/25, 2.98, 3.00, 2.98, 3.00, 4714
10/28/25, 2.99, 3.00, 2.87, 2.98, 14480
10/27/25, 2.90, 3.10, 2.90, 2.99, 4230
10/24/25, 3.10, 3.10, 2.87, 2.89, 1439
10/23/25, 2.86, 3.14, 2.79, 2.87, 8984
10/22/25, 3.02, 3.26, 2.79, 2.86, 11355
10/21/25, 3.04, 3.04, 3.02, 3.02, 22156
10/16/25, 3.24, 3.24, 2.98, 3.04, 10659
10/15/25, 3.15, 3.25, 2.96, 3.17, 600
10/14/25, 3.00, 3.00, 2.96, 3.00, 2595
10/13/25, 3.00, 3.20, 2.95, 3.00, 5412
10/09/25, 3.25, 3.25, 2.79, 2.94, 32494
10/08/25, 3.25, 3.25, 2.94, 3.09, 8149
10/07/25, 3.25, 3.25, 3.20, 3.25, 30318
10/06/25, 3.30, 3.30, 3.20, 3.25, 5843
10/03/25, 3.30, 3.30, 3.20, 3.22, 13007
10/02/25, 3.30, 3.33, 3.10, 3.30, 10786
10/01/25, 3.04, 3.04, 3.03, 3.03, 835
09/30/25, 3.02, 3.03, 2.86, 3.02, 18435
09/29/25, 3.03, 3.03, 2.90, 2.99, 10015
09/26/25, 2.95, 3.04, 2.80, 3.01, 738
09/25/25, 3.02, 3.04, 3.02, 3.03, 7803
09/24/25, 3.01, 3.04, 3.00, 3.02, 6389
09/23/25, 3.00, 3.02, 2.89, 3.02, 5900
09/22/25, 2.80, 3.08, 2.80, 3.02, 12953
09/19/25, 2.98, 3.04, 2.85, 3.00, 6272
09/18/25, 2.98, 3.00, 2.97, 2.98, 8424
09/17/25, 2.90, 2.98, 2.90, 2.96, 11871
09/16/25, 2.66, 2.85, 2.66, 2.82, 43682
09/15/25, 3.00, 3.00, 2.80, 2.94, 19756
09/12/25, 2.76, 2.90, 2.71, 2.86, 17993
09/11/25, 2.75, 2.98, 2.75, 2.94, 20777
09/10/25, 2.96, 3.00, 2.90, 3.00, 49268
09/09/25, 2.95, 3.00, 2.80, 2.96, 48970
09/08/25, 2.97, 3.00, 2.80, 2.82, 39318
09/05/25, 3.00, 3.00, 2.85, 2.99, 11831
09/04/25, 3.00, 3.00, 2.85, 2.95, 70056
09/03/25, 3.00, 3.20, 2.85, 3.02, 9335
09/02/25, 3.00, 3.30, 2.85, 2.97, 29676
09/01/25, 3.00, 3.00, 2.99, 3.00, 4008
08/29/25, 3.02, 3.02, 2.98, 2.99, 13671
08/28/25, 2.85, 3.00, 2.85, 2.96, 47400
08/27/25, 3.00, 3.00, 2.80, 2.80, 29208
08/26/25, 2.80, 2.80, 2.72, 2.73, 14717
08/25/25, 2.80, 2.80, 2.80, 2.80, 3813
08/22/25, 3.02, 3.02, 2.72, 2.80, 2798
08/21/25, 3.00, 3.02, 2.82, 2.95, 2336
08/20/25, 3.02, 3.05, 3.02, 3.02, 12193
08/19/25, 2.84, 3.02, 2.65, 2.82, 12236
08/18/25, 3.00, 3.00, 2.81, 2.84, 4807
08/15/25, 2.95, 3.00, 2.82, 2.87, 6981
08/14/25, 2.85, 2.95, 2.80, 2.82, 6703
08/13/25, 3.00, 3.00, 2.81, 2.85, 4237
08/12/25, 2.80, 3.00, 2.78, 2.94, 2602
08/11/25, 2.80, 3.00, 2.80, 2.95, 8749
08/08/25, 2.68, 2.80, 2.62, 2.75, 77502
08/07/25, 2.65, 2.69, 2.59, 2.61, 17900
08/06/25, 2.69, 2.69, 2.62, 2.68, 2300
08/05/25, 2.64, 2.64, 2.59, 2.62, 400
08/04/25, 2.59, 2.59, 2.59, 2.59, 200
08/01/25, 2.60, 2.69, 2.58, 2.59, 2900
07/31/25, 2.68, 2.68, 2.50, 2.58, 3800
07/30/25, 2.46, 2.46, 2.46, 2.46, 1900
07/29/25, 2.69, 2.69, 2.60, 2.68, 1100
07/28/25, 2.69, 2.69, 2.69, 2.69, 4400
07/25/25, 2.68, 2.69, 2.68, 2.69, 5400
07/24/25, 2.69, 2.69, 2.68, 2.68, 900
07/23/25, 2.65, 2.65, 2.60, 2.65, 97600
07/22/25, 2.62, 2.65, 2.60, 2.60, 4200
07/21/25, 2.54, 2.65, 2.53, 2.60, 6000
07/18/25, 2.51, 2.58, 2.51, 2.53, 12100
07/17/25, 2.69, 2.69, 2.52, 2.54, 8500
07/16/25, 2.68, 2.69, 2.68, 2.69, 16100
07/15/25, 2.52, 2.72, 2.51, 2.70, 12800
07/14/25, 2.74, 2.74, 2.51, 2.52, 15600
07/11/25, 2.50, 2.74, 2.50, 2.58, 3700
07/10/25, 2.78, 2.83, 2.50, 2.54, 37500
07/09/25, 2.60, 2.75, 2.60, 2.73, 700
07/08/25, 2.84, 2.84, 2.62, 2.78, 1300
07/07/25, 2.84, 2.84, 2.80, 2.81, 2000
07/04/25, 2.85, 2.85, 2.63, 2.81, 2000
07/03/25, 2.85, 2.85, 2.85, 2.85, 1700
07/02/25, 2.70, 2.90, 2.70, 2.85, 2000
07/01/25, 2.90, 2.90, 2.70, 2.89, 2400
06/27/25, 2.90, 2.90, 2.90, 2.90, 1200
06/26/25, 2.90, 2.90, 2.90, 2.90, 100
06/25/25, 2.89, 2.89, 2.89, 2.89, 200
06/23/25, 2.65, 2.65, 2.65, 2.65, 200
06/20/25, 2.65, 2.65, 2.65, 2.65, 3300
06/19/25, 2.83, 2.83, 2.56, 2.65, 300
06/18/25, 2.95, 2.95, 2.70, 2.83, 200
06/17/25, 2.70, 2.70, 2.70, 2.70, 1800
06/16/25, 2.70, 2.70, 2.70, 2.70, 800
06/13/25, 2.70, 2.70, 2.70, 2.70, 5600
06/12/25, 2.50, 2.60, 2.50, 2.56, 500
06/11/25, 2.70, 2.70, 2.70, 2.70, 100
06/10/25, 2.66, 2.66, 2.66, 2.66, 100
06/09/25, 2.45, 2.45, 2.38, 2.42, 5000
06/04/25, 2.42, 2.42, 2.42, 2.42, 100
06/03/25, 2.56, 2.56, 2.56, 2.56, 500
05/30/25, 2.56, 2.56, 2.56, 2.56, 100
05/29/25, 2.84, 2.84, 2.84, 2.84, 300
05/28/25, 2.84, 2.84, 2.84, 2.84, 100
05/27/25, 2.84, 2.84, 2.83, 2.83, 700
05/26/25, 2.84, 2.84, 2.50, 2.61, 6200
05/23/25, 2.64, 2.84, 2.64, 2.68, 1100
05/22/25, 2.64, 2.64, 2.64, 2.64, 300
05/21/25, 2.85, 2.85, 2.85, 2.85, 100
05/20/25, 2.85, 2.85, 2.64, 2.66, 3400
05/19/25, 2.64, 2.64, 2.64, 2.64, 100
05/16/25, 2.64, 2.90, 2.64, 2.86, 600
05/15/25, 2.64, 2.64, 2.64, 2.64, 300
05/14/25, 2.64, 2.64, 2.64, 2.64, 100
05/13/25, 2.64, 2.64, 2.64, 2.64, 1200
05/12/25, 2.40, 2.40, 2.40, 2.40, 100
05/09/25, 2.40, 2.41, 2.40, 2.40, 500800
05/07/25, 2.42, 2.50, 2.40, 2.40, 1000500
05/06/25, 2.50, 2.50, 2.50, 2.50, 600
05/05/25, 2.41, 2.90, 2.41, 2.66, 200
05/02/25, 2.60, 2.66, 2.60, 2.66, 1600
04/30/25, 2.70, 3.00, 2.50, 2.53, 7400
04/29/25, 2.76, 3.00, 2.76, 2.76, 12500
04/28/25, 2.99, 3.00, 2.99, 3.00, 13100
04/25/25, 2.95, 2.99, 2.95, 2.97, 700
04/24/25, 2.80, 2.99, 2.76, 2.95, 1000
04/23/25, 2.76, 2.90, 2.76, 2.83, 400
04/17/25, 2.70, 2.76, 2.70, 2.74, 1900
04/16/25, 2.70, 2.70, 2.35, 2.51, 1800
04/15/25, 2.70, 2.70, 2.50, 2.59, 900
04/14/25, 2.75, 3.00, 2.70, 2.73, 5700
04/11/25, 3.00, 3.00, 3.00, 3.00, 100
04/10/25, 2.78, 2.78, 2.78, 2.78, 2100
04/09/25, 2.97, 2.97, 2.75, 2.78, 7700
04/08/25, 3.00, 3.00, 3.00, 3.00, 6500
04/07/25, 3.00, 3.10, 3.00, 3.01, 1100
04/04/25, 3.30, 3.30, 3.30, 3.30, 3000
04/03/25, 3.02, 3.02, 3.02, 3.02, 1200
04/02/25, 3.02, 3.10, 3.00, 3.02, 2200
04/01/25, 3.02, 3.02, 3.02, 3.02, 1300
03/28/25, 3.35, 3.35, 3.01, 3.02, 5200
03/27/25, 3.34, 3.34, 3.34, 3.34, 2200
03/26/25, 3.10, 3.10, 2.82, 3.04, 4400
03/25/25, 3.08, 3.08, 3.08, 3.08, 400
03/24/25, 3.35, 3.35, 3.20, 3.35, 10100
03/20/25, 3.35, 3.35, 3.35, 3.35, 93700
03/19/25, 3.00, 3.40, 3.00, 3.35, 10700
03/18/25, 3.20, 3.30, 3.00, 3.13, 2100
03/17/25, 3.05, 3.30, 3.05, 3.27, 6800
03/14/25, 3.00, 3.04, 3.00, 3.04, 1800
03/13/25, 3.00, 3.00, 3.00, 3.00, 300
03/12/25, 3.05, 3.05, 3.05, 3.05, 400
03/11/25, 2.80, 3.05, 2.80, 2.80, 25900
03/10/25, 2.80, 2.80, 2.80, 2.80, 8400
03/07/25, 2.88, 2.90, 2.88, 2.88, 3800
03/06/25, 2.90, 2.90, 2.88, 2.89, 10200
03/05/25, 3.00, 3.44, 2.90, 2.98, 2200
03/04/25, 3.20, 3.20, 3.20, 3.20, 100
03/03/25, 3.20, 3.20, 3.12, 3.18, 1300
02/28/25, 3.10, 3.20, 3.10, 3.16, 700
02/27/25, 3.08, 3.20, 3.08, 3.08, 23100
02/26/25, 3.42, 3.42, 3.42, 3.42, 400
02/25/25, 3.42, 3.42, 3.42, 3.42, 300
02/24/25, 3.12, 3.43, 3.12, 3.43, 211700
02/20/25, 3.12, 3.12, 3.12, 3.12, 2000
02/19/25, 3.46, 3.46, 3.46, 3.46, 200
02/18/25, 3.00, 3.40, 3.00, 3.15, 500
02/17/25, 3.30, 3.30, 3.30, 3.30, 10000
02/14/25, 3.00, 3.30, 3.00, 3.06, 3000
02/13/25, 3.20, 3.20, 3.20, 3.20, 6500
02/12/25, 3.29, 3.29, 3.25, 3.25, 15700
02/11/25, 3.00, 3.30, 3.00, 3.03, 2300
02/10/25, 3.10, 3.10, 3.09, 3.09, 11100
02/07/25, 3.12, 3.20, 3.12, 3.20, 7700
02/06/25, 3.17, 3.47, 3.10, 3.12, 9800
02/05/25, 3.19, 3.19, 3.09, 3.17, 2100
02/04/25, 3.02, 3.19, 3.02, 3.09, 8500
02/03/25, 2.90, 2.90, 2.90, 2.90, 12800
01/31/25, 2.75, 2.75, 2.75, 2.75, 100
01/30/25, 2.70, 2.80, 2.70, 2.80, 12900
01/29/25, 2.78, 2.80, 2.78, 2.80, 26600
01/28/25, 2.70, 2.80, 2.70, 2.74, 15800
01/27/25, 2.70, 2.70, 2.70, 2.70, 8200
01/24/25, 2.60, 2.70, 2.60, 2.60, 8800
01/23/25, 2.60, 2.60, 2.50, 2.52, 12600
01/22/25, 2.60, 2.75, 2.60, 2.65, 16400
01/21/25, 2.50, 2.75, 2.50, 2.61, 63100
01/20/25, 2.50, 2.50, 2.45, 2.50, 4300
01/17/25, 2.30, 2.34, 2.30, 2.32, 2300
01/16/25, 2.50, 2.50, 2.50, 2.50, 4000
01/15/25, 2.50, 2.50, 2.50, 2.50, 5900
01/14/25, 2.50, 2.50, 2.30, 2.31, 4700
01/13/25, 2.50, 2.50, 2.50, 2.50, 6900
01/10/25, 2.40, 2.50, 2.40, 2.45, 4000
01/09/25, 2.35, 2.35, 2.35, 2.35, 31700
01/08/25, 2.30, 2.30, 2.30, 2.30, 40000
01/07/25, 2.30, 2.30, 2.30, 2.30, 31500
01/03/25, 2.21, 2.30, 2.21, 2.30, 11200
01/02/25, 2.30, 2.30, 2.20, 2.30, 26800
12/24/24, 2.30, 2.30, 2.30, 2.30, 1900
12/23/24, 2.30, 2.30, 2.30, 2.30, 300
