Date, Open, High, Low, Close, Volume
11/28/25, 83.00, 83.00, 82.00, 83.00, 52943
11/27/25, 84.00, 84.25, 83.00, 83.00, 204427
11/26/25, 86.00, 86.00, 83.75, 84.25, 786608
11/25/25, 85.00, 87.25, 84.00, 84.75, 102196
11/24/25, 84.00, 84.25, 83.75, 83.75, 64180
11/21/25, 85.00, 85.00, 83.25, 84.25, 80724
11/20/25, 83.50, 84.25, 83.00, 83.25, 131298
11/19/25, 83.75, 84.25, 82.50, 83.50, 1189121
11/18/25, 84.00, 84.25, 83.00, 83.75, 38192
11/17/25, 83.75, 84.25, 83.25, 84.00, 15823
11/14/25, 83.25, 84.00, 82.25, 83.00, 206295
11/13/25, 84.50, 84.50, 83.00, 83.25, 110142
11/12/25, 85.00, 85.00, 84.00, 84.50, 104025
11/11/25, 86.50, 86.50, 84.50, 85.50, 426274
11/10/25, 86.00, 87.00, 85.25, 86.00, 15907
11/07/25, 87.00, 87.00, 83.25, 85.00, 19941
11/06/25, 83.25, 88.00, 81.25, 83.50, 448461
11/05/25, 89.50, 89.75, 80.00, 83.25, 435181
11/04/25, 88.00, 90.00, 87.00, 88.50, 84414
11/03/25, 89.00, 90.00, 85.00, 87.50, 57772
10/31/25, 84.00, 89.50, 82.50, 88.00, 170759
10/30/25, 82.00, 84.00, 79.00, 81.50, 350304
10/29/25, 84.50, 84.50, 80.00, 82.00, 70969
10/28/25, 88.75, 88.75, 80.25, 85.50, 150904
10/27/25, 91.75, 91.75, 87.00, 89.00, 83592
10/24/25, 92.50, 92.50, 90.00, 91.00, 274975
10/23/25, 95.50, 95.50, 90.00, 91.75, 375211
10/22/25, 90.00, 100.00, 90.00, 96.25, 200535
10/21/25, 91.50, 91.50, 89.00, 91.25, 308387
10/16/25, 82.50, 88.50, 81.50, 83.25, 270305
10/15/25, 76.75, 82.75, 76.75, 81.25, 592261
10/14/25, 72.00, 76.25, 72.00, 75.25, 341475
10/13/25, 70.00, 70.00, 69.00, 69.50, 34264
10/09/25, 70.00, 70.00, 68.75, 69.00, 38840
10/08/25, 70.00, 70.00, 69.00, 69.75, 70671
10/07/25, 70.50, 71.00, 69.50, 70.00, 158161
10/06/25, 70.25, 70.25, 69.75, 70.00, 21867
10/03/25, 71.00, 71.00, 70.00, 70.75, 67728
10/02/25, 70.00, 70.00, 69.50, 70.00, 11277
