Date, Open, High, Low, Close, Volume
11/28/25, 7.00, 7.10, 7.00, 7.00, 3244
11/27/25, 7.72, 7.72, 6.98, 7.10, 1300
11/26/25, 7.76, 7.76, 7.72, 7.72, 381
11/25/25, 7.48, 7.90, 7.48, 7.76, 14324
11/24/25, 7.50, 7.74, 6.98, 7.48, 21516
11/21/25, 7.80, 7.80, 7.62, 7.74, 11336
11/20/25, 7.80, 7.90, 7.80, 7.80, 4621
11/19/25, 7.26, 7.90, 7.26, 7.50, 8947
11/18/25, 7.20, 7.26, 7.20, 7.26, 14319
11/17/25, 7.20, 7.50, 7.20, 7.20, 21431
11/14/25, 7.10, 7.20, 7.10, 7.20, 25967
11/13/25, 7.10, 7.20, 7.02, 7.14, 8307
11/12/25, 7.12, 7.40, 7.00, 7.08, 9355
11/11/25, 7.10, 7.50, 7.10, 7.14, 6038
11/10/25, 7.50, 7.50, 7.00, 7.12, 5238
11/07/25, 7.52, 7.60, 7.50, 7.50, 7618
11/06/25, 7.92, 7.92, 7.52, 7.52, 4187
11/05/25, 7.80, 7.90, 7.52, 7.78, 1768
11/04/25, 7.98, 8.00, 7.50, 7.92, 2909
11/03/25, 8.00, 8.00, 7.82, 7.98, 9015
10/31/25, 7.80, 7.90, 7.70, 7.82, 2494
10/30/25, 7.10, 7.60, 7.10, 7.60, 185071
10/29/25, 7.50, 7.50, 7.10, 7.24, 12245
10/28/25, 7.50, 7.50, 7.40, 7.40, 1004
10/27/25, 7.50, 7.50, 7.10, 7.50, 800
10/24/25, 8.22, 8.22, 7.50, 7.82, 17264
10/23/25, 7.00, 7.70, 7.00, 7.48, 15650
10/22/25, 6.98, 7.10, 6.50, 7.00, 37185
10/21/25, 6.78, 7.06, 6.78, 6.98, 48124
10/16/25, 6.42, 6.42, 6.42, 6.42, 500
10/15/25, 7.00, 7.10, 7.00, 7.04, 20412
10/14/25, 6.12, 7.00, 6.12, 6.80, 9664
10/13/25, 6.40, 7.00, 6.00, 6.78, 11508
10/09/25, 6.96, 7.00, 6.40, 6.60, 109292
10/08/25, 7.04, 7.04, 6.70, 6.96, 25650
10/07/25, 7.00, 7.46, 7.00, 7.04, 67500
10/06/25, 7.08, 7.50, 7.00, 7.04, 19679
10/03/25, 6.52, 7.08, 6.52, 7.04, 34480
10/02/25, 6.52, 6.52, 6.30, 6.44, 84021
10/01/25, 5.96, 6.54, 5.80, 6.52, 3118051
09/30/25, 5.82, 6.00, 5.82, 5.96, 11900
09/29/25, 5.68, 5.98, 5.68, 5.82, 898
09/26/25, 5.40, 5.94, 5.40, 5.68, 9915
09/25/25, 5.40, 5.40, 5.40, 5.40, 13898
09/24/25, 5.50, 5.56, 5.40, 5.46, 71017
09/23/25, 5.50, 5.58, 5.30, 5.50, 34730
09/22/25, 5.40, 5.50, 5.30, 5.46, 43546
09/19/25, 5.50, 5.54, 5.30, 5.50, 5561
09/18/25, 5.30, 5.54, 5.04, 5.50, 23895
09/17/25, 5.00, 5.52, 5.00, 5.04, 30900
09/16/25, 5.18, 5.50, 5.00, 5.08, 31320
09/15/25, 5.30, 5.50, 5.00, 5.08, 41814
09/12/25, 5.62, 5.62, 5.00, 5.08, 25320
09/11/25, 5.20, 5.20, 5.00, 5.12, 53666
09/10/25, 5.60, 5.60, 5.10, 5.40, 11354
09/09/25, 5.60, 5.60, 5.20, 5.42, 2567
09/08/25, 5.18, 5.60, 5.18, 5.54, 24417
