Date, Open, High, Low, Close, Volume
11/28/25, 19.80, 19.80, 17.05, 19.45, 1309
11/27/25, 18.00, 19.50, 17.50, 18.10, 1787
11/26/25, 18.20, 18.20, 17.50, 18.00, 30287
11/25/25, 18.30, 18.40, 18.20, 18.30, 7075
11/24/25, 18.40, 18.40, 18.20, 18.25, 7013
11/21/25, 18.40, 18.40, 18.20, 18.30, 13883
11/20/25, 18.25, 18.40, 18.25, 18.35, 8490
11/19/25, 19.00, 19.00, 18.20, 18.45, 25647
11/18/25, 18.60, 19.00, 18.60, 18.65, 1132
11/17/25, 18.70, 19.00, 18.50, 18.60, 7840
11/14/25, 18.80, 18.80, 18.55, 18.75, 3531
11/13/25, 18.55, 18.90, 18.50, 18.55, 11877
11/12/25, 18.80, 18.90, 18.50, 18.55, 30340
11/11/25, 18.80, 19.00, 18.80, 18.85, 8004
11/10/25, 18.80, 19.00, 18.80, 18.90, 5346
11/07/25, 19.00, 19.00, 18.90, 19.00, 2234
11/06/25, 18.60, 19.00, 18.60, 18.80, 8274
11/05/25, 18.70, 19.00, 18.70, 18.90, 17747
11/04/25, 18.70, 18.70, 18.65, 18.70, 11421
11/03/25, 18.55, 18.70, 18.50, 18.65, 15500
10/31/25, 18.70, 18.70, 18.50, 18.55, 12552
10/30/25, 18.70, 18.70, 18.50, 18.60, 1856
10/29/25, 18.70, 19.00, 18.50, 18.70, 19366
10/28/25, 18.60, 18.70, 18.50, 18.60, 10484
10/27/25, 18.60, 18.70, 18.50, 18.65, 63094
10/24/25, 18.55, 18.70, 18.55, 18.70, 562
10/23/25, 18.70, 18.70, 18.50, 18.65, 1812
10/22/25, 18.50, 18.70, 18.20, 18.50, 9449
10/21/25, 18.15, 18.40, 18.10, 18.15, 2489
10/16/25, 18.00, 18.50, 18.00, 18.15, 2801
10/15/25, 18.50, 18.50, 18.25, 18.45, 8696
10/14/25, 18.50, 18.70, 18.25, 18.45, 401
10/13/25, 18.50, 18.80, 18.00, 18.05, 15509
10/09/25, 18.50, 18.50, 18.40, 18.50, 91037
10/08/25, 18.50, 18.80, 18.50, 18.50, 2090
10/07/25, 19.00, 19.00, 18.50, 18.90, 13655
10/06/25, 18.80, 19.00, 18.50, 18.90, 14048
10/03/25, 18.80, 19.00, 18.60, 18.85, 21472
10/02/25, 18.95, 18.95, 18.40, 18.75, 6368
10/01/25, 18.50, 18.80, 18.40, 18.50, 16783
09/30/25, 18.80, 18.80, 18.40, 18.55, 8806
09/29/25, 19.00, 19.00, 18.50, 18.80, 3653
09/26/25, 18.50, 18.95, 18.00, 18.90, 30319
09/25/25, 18.80, 19.00, 18.50, 18.70, 7120
09/24/25, 18.75, 18.95, 18.50, 18.65, 50366
09/23/25, 19.00, 19.00, 18.50, 18.75, 10961
09/22/25, 19.00, 19.70, 18.90, 19.00, 3462
09/19/25, 19.00, 19.70, 18.90, 19.00, 21667
09/18/25, 20.40, 20.40, 18.65, 19.45, 36825
09/17/25, 19.00, 19.00, 18.50, 18.60, 5899
09/16/25, 19.00, 20.00, 18.95, 19.00, 68796
09/15/25, 18.60, 19.00, 18.00, 18.55, 35698
09/12/25, 18.90, 18.90, 17.70, 18.10, 11336
09/11/25, 18.50, 18.90, 18.20, 18.60, 7801
09/10/25, 18.50, 18.90, 18.20, 18.45, 63430
09/09/25, 18.00, 18.50, 17.95, 18.10, 74393
09/08/25, 17.65, 18.20, 17.65, 18.00, 4155
09/05/25, 17.40, 18.00, 15.70, 17.65, 140395
09/04/25, 17.50, 17.50, 17.10, 17.40, 18071
09/03/25, 17.20, 17.50, 15.50, 16.70, 82492
09/02/25, 16.90, 17.50, 16.90, 17.20, 125092
09/01/25, 17.00, 17.45, 16.80, 17.00, 5062
08/29/25, 17.80, 17.80, 16.20, 17.05, 14340
08/28/25, 18.00, 18.00, 17.10, 17.70, 8028
08/27/25, 18.10, 18.90, 16.50, 17.85, 22447
08/26/25, 18.50, 18.50, 18.00, 18.15, 19308
08/25/25, 18.00, 18.70, 18.00, 18.30, 20741
08/22/25, 17.10, 18.70, 17.10, 18.00, 7780
08/21/25, 16.50, 17.75, 16.00, 17.00, 20833
