Date, Open, High, Low, Close, Volume
11/28/25, 288.00, 288.75, 287.00, 287.50, 100019
11/27/25, 288.00, 299.00, 286.50, 287.00, 165010
11/26/25, 287.75, 288.00, 284.00, 286.50, 44979
11/25/25, 298.00, 298.00, 286.00, 288.75, 18880
11/24/25, 300.00, 300.00, 297.00, 298.25, 10539
11/21/25, 301.00, 301.00, 296.00, 298.75, 8111
11/20/25, 302.00, 302.00, 300.00, 300.00, 31579
11/19/25, 304.00, 304.00, 300.00, 301.25, 5835
11/18/25, 304.00, 305.00, 300.00, 303.25, 81195
11/17/25, 302.00, 306.00, 295.00, 305.75, 216459
11/14/25, 303.00, 304.00, 299.50, 302.50, 8844
11/13/25, 305.00, 306.00, 300.00, 302.50, 10300
11/12/25, 306.00, 307.00, 300.00, 303.25, 16336
11/11/25, 311.00, 312.00, 304.00, 307.50, 24844
11/10/25, 311.50, 311.50, 309.00, 310.25, 8440
11/07/25, 314.00, 314.00, 310.00, 311.50, 27093
11/06/25, 314.00, 315.00, 310.00, 312.50, 57121
11/05/25, 309.75, 314.75, 309.00, 311.00, 13529
11/04/25, 311.00, 311.00, 308.00, 309.75, 7531
11/03/25, 308.00, 315.00, 307.00, 310.00, 37736
10/31/25, 308.00, 308.00, 298.00, 303.00, 20237
10/30/25, 308.00, 308.00, 304.25, 308.00, 7385
10/29/25, 310.00, 310.00, 302.00, 303.75, 10684
10/28/25, 305.00, 305.00, 300.00, 302.00, 16974
10/27/25, 298.00, 310.00, 295.00, 298.00, 4787
10/24/25, 295.00, 299.00, 292.00, 295.00, 9339
10/23/25, 293.00, 299.00, 293.00, 295.00, 18729
10/22/25, 289.00, 293.00, 289.00, 290.00, 53187
10/21/25, 293.00, 293.00, 285.00, 285.50, 578127
10/16/25, 289.00, 300.00, 289.00, 290.75, 19542
10/15/25, 290.00, 291.00, 288.00, 289.50, 33100
10/14/25, 283.00, 290.00, 281.00, 282.25, 12879
10/13/25, 283.00, 283.00, 280.50, 282.00, 19455
10/09/25, 283.00, 283.00, 279.75, 280.50, 39469
10/08/25, 282.50, 283.00, 279.50, 280.50, 45920
10/07/25, 284.00, 285.00, 280.00, 283.00, 36192
10/06/25, 284.00, 285.00, 283.00, 283.75, 20188
10/03/25, 284.50, 285.00, 283.75, 284.00, 114781
10/02/25, 284.50, 285.00, 283.25, 284.00, 20974
10/01/25, 284.50, 284.50, 283.50, 284.25, 14263
09/30/25, 284.00, 285.00, 283.00, 284.00, 50828
09/29/25, 290.00, 290.00, 283.50, 284.75, 43472
09/26/25, 285.00, 285.00, 283.25, 285.00, 548514
09/25/25, 285.00, 285.50, 284.00, 285.00, 554679
09/24/25, 286.75, 286.75, 282.25, 285.00, 544645
09/23/25, 287.00, 287.75, 284.25, 285.25, 438345
09/22/25, 283.00, 290.00, 282.00, 287.00, 36930
09/19/25, 285.25, 289.00, 282.00, 284.00, 15548
09/18/25, 290.00, 290.00, 282.00, 285.25, 32586
09/17/25, 294.00, 294.00, 286.00, 289.75, 241621
09/16/25, 300.00, 300.00, 288.00, 291.25, 144129
09/15/25, 307.00, 310.00, 300.00, 306.25, 63466
09/12/25, 307.00, 308.00, 300.00, 304.50, 90011
09/11/25, 315.00, 320.00, 306.00, 311.25, 134678
09/10/25, 312.00, 322.00, 301.00, 310.25, 124139
09/09/25, 292.50, 320.00, 288.00, 299.25, 265522
09/08/25, 314.00, 314.00, 292.50, 292.75, 82216
09/05/25, 332.75, 332.75, 320.00, 325.00, 490658
09/04/25, 335.00, 340.00, 326.00, 334.00, 10509
09/03/25, 321.00, 335.00, 321.00, 325.75, 16299
09/02/25, 319.50, 321.00, 319.00, 320.00, 186949
09/01/25, 320.00, 320.00, 318.00, 319.25, 7572
08/29/25, 320.00, 322.00, 318.00, 320.00, 336594
08/28/25, 325.00, 325.00, 316.00, 318.00, 17462
08/27/25, 321.00, 323.00, 315.00, 319.50, 84919
08/26/25, 320.00, 325.00, 318.00, 320.00, 56612
08/25/25, 317.00, 320.00, 317.00, 317.25, 27071
08/22/25, 314.00, 320.00, 312.25, 315.25, 12683
08/21/25, 320.25, 325.00, 301.50, 312.25, 26802
08/20/25, 341.00, 345.00, 325.00, 335.00, 32344
08/19/25, 340.00, 347.50, 339.75, 341.50, 23579
08/18/25, 335.00, 339.75, 334.00, 336.00, 11127
08/15/25, 333.00, 337.00, 333.00, 335.25, 4884
08/14/25, 333.00, 339.00, 332.00, 333.00, 10306
08/13/25, 332.00, 339.50, 329.00, 333.50, 6532
08/12/25, 333.00, 334.00, 323.00, 330.00, 10632
08/11/25, 325.00, 333.00, 325.00, 329.50, 45887
08/08/25, 316.00, 324.50, 316.00, 321.00, 18750
08/07/25, 318.00, 322.00, 315.00, 319.00, 17300
08/06/25, 315.00, 320.00, 315.00, 317.75, 128700
08/05/25, 315.00, 316.00, 310.00, 313.25, 24600
08/04/25, 315.50, 315.50, 310.00, 311.50, 17600
08/01/25, 315.00, 316.25, 315.00, 315.00, 5000
07/31/25, 315.00, 320.00, 314.00, 316.25, 8400
07/30/25, 320.00, 320.00, 315.00, 315.00, 192700
07/29/25, 310.75, 315.00, 310.00, 310.25, 12700
07/28/25, 310.00, 315.00, 309.00, 310.75, 10700
07/25/25, 307.00, 310.00, 307.00, 309.00, 8000
07/24/25, 306.00, 310.00, 306.00, 309.25, 60600
07/23/25, 304.50, 308.00, 304.50, 307.00, 31400
