Date, Open, High, Low, Close, Volume
11/28/25, 6.32, 6.40, 5.80, 6.06, 670
11/27/25, 5.80, 6.40, 5.80, 6.32, 5409
11/26/25, 6.40, 6.42, 5.80, 6.04, 833
11/25/25, 6.40, 6.40, 5.76, 5.98, 3020
11/24/25, 6.40, 6.40, 6.40, 6.40, 4716
11/21/25, 6.38, 6.42, 6.20, 6.40, 2426
11/20/25, 6.42, 6.42, 6.00, 6.02, 5296
11/19/25, 6.00, 6.42, 5.90, 6.26, 786
11/18/25, 6.40, 6.42, 6.36, 6.38, 460
11/17/25, 6.30, 6.40, 5.92, 6.22, 1360
11/14/25, 6.40, 6.40, 6.22, 6.34, 276
11/13/25, 6.42, 6.42, 5.90, 6.22, 2291
11/12/25, 5.90, 6.54, 5.90, 6.12, 704
11/11/25, 6.42, 6.42, 6.10, 6.42, 308
11/10/25, 5.44, 6.50, 5.44, 6.42, 22809
11/07/25, 6.20, 6.36, 5.90, 6.02, 8131
11/06/25, 6.40, 6.40, 6.10, 6.24, 2896
11/05/25, 6.14, 6.20, 6.14, 6.18, 2646
11/04/25, 6.00, 6.46, 6.00, 6.14, 2592
11/03/25, 6.08, 6.40, 6.00, 6.28, 7250
10/31/25, 6.00, 6.40, 6.00, 6.08, 7157
10/29/25, 6.00, 6.00, 5.90, 6.00, 6315
10/28/25, 6.38, 6.38, 5.90, 6.30, 7450
10/27/25, 5.90, 6.50, 5.40, 6.38, 4121
10/24/25, 6.20, 6.20, 5.92, 6.00, 8577
10/23/25, 5.56, 6.10, 5.56, 5.76, 3557
10/22/25, 6.40, 6.40, 6.10, 6.16, 307
10/21/25, 6.38, 6.40, 6.00, 6.38, 4038
10/16/25, 6.40, 6.46, 6.00, 6.38, 3580
10/15/25, 6.48, 6.48, 6.00, 6.40, 2752
10/14/25, 6.12, 6.48, 6.00, 6.26, 1326
10/13/25, 5.56, 6.10, 5.56, 6.04, 6245
10/09/25, 6.00, 6.08, 5.54, 5.96, 5680
10/08/25, 6.00, 6.00, 5.60, 5.88, 805
10/07/25, 5.58, 5.90, 5.58, 5.64, 2278
10/06/25, 5.90, 5.90, 5.60, 5.82, 7100
10/03/25, 5.90, 5.90, 5.90, 5.90, 1102
10/02/25, 5.90, 6.00, 5.56, 5.90, 4706
09/30/25, 5.98, 6.02, 5.56, 5.90, 1888
09/29/25, 6.00, 6.00, 5.58, 5.98, 1190
09/26/25, 5.56, 6.08, 5.40, 5.54, 27462
09/25/25, 6.00, 6.00, 5.54, 5.58, 5380
09/24/25, 5.98, 5.98, 5.96, 5.98, 6500
09/23/25, 5.82, 5.82, 5.40, 5.44, 10813
09/22/25, 5.70, 5.90, 5.70, 5.82, 1824
09/19/25, 6.00, 6.00, 5.80, 6.00, 463
09/17/25, 6.10, 6.10, 6.10, 6.10, 1208
09/16/25, 6.00, 6.00, 6.00, 6.00, 31
09/15/25, 6.00, 6.08, 5.80, 6.00, 1209
09/12/25, 6.10, 6.10, 6.00, 6.08, 12635
09/11/25, 6.60, 6.60, 6.00, 6.16, 13321
09/10/25, 6.00, 6.00, 5.70, 6.00, 19924
09/09/25, 5.58, 6.00, 5.58, 5.76, 3662
09/08/25, 6.00, 6.00, 6.00, 6.20, 98
09/05/25, 6.18, 6.50, 6.00, 6.20, 1707
09/04/25, 6.00, 6.00, 5.86, 5.92, 1733
09/03/25, 6.00, 6.00, 6.00, 6.00, 5062
09/02/25, 5.44, 6.04, 5.44, 5.92, 5659
09/01/25, 6.04, 6.04, 6.04, 6.04, 2101
08/29/25, 6.12, 6.44, 6.12, 6.32, 190
08/28/25, 5.94, 6.44, 5.94, 6.28, 2072
08/27/25, 6.76, 6.76, 6.50, 6.60, 250
08/26/25, 6.78, 6.78, 6.12, 6.78, 1291
08/25/25, 6.82, 6.82, 6.80, 6.80, 1984
