Date, Open, High, Low, Close, Volume
11/28/25, 8.46, 8.46, 8.00, 8.04, 9129
11/27/25, 8.14, 8.68, 8.08, 8.46, 35102
11/26/25, 8.02, 8.02, 8.02, 8.02, 1010
11/25/25, 8.14, 8.20, 7.94, 8.02, 9823
11/24/25, 8.46, 8.46, 8.10, 8.14, 53436
11/21/25, 9.00, 9.00, 8.22, 8.74, 8391
11/20/25, 8.70, 9.00, 8.70, 8.98, 9510
11/19/25, 9.00, 9.00, 8.60, 8.66, 2475
11/18/25, 8.60, 8.72, 8.40, 8.54, 31494
11/17/25, 8.68, 8.72, 8.60, 8.68, 13631
11/14/25, 8.60, 8.60, 8.50, 8.60, 20330
11/13/25, 8.78, 9.00, 8.50, 8.66, 10534
11/12/25, 8.88, 8.88, 8.50, 8.54, 9482
11/11/25, 8.80, 8.86, 8.50, 8.78, 25499
11/10/25, 8.88, 8.88, 8.50, 8.68, 2008
11/07/25, 8.86, 8.88, 8.84, 8.86, 5325
11/06/25, 8.86, 8.86, 8.60, 8.82, 16010
11/05/25, 8.88, 8.88, 8.60, 8.86, 4859
11/04/25, 8.30, 8.98, 8.20, 8.30, 73500
11/03/25, 8.78, 9.00, 8.20, 8.74, 48629
10/31/25, 9.00, 9.00, 8.92, 9.00, 27364
10/30/25, 8.98, 9.00, 8.98, 9.00, 12258
10/29/25, 8.80, 9.00, 8.50, 8.72, 28288
10/28/25, 9.00, 9.00, 8.60, 8.88, 21364
10/27/25, 9.00, 9.00, 8.78, 8.98, 5759
10/24/25, 8.60, 9.00, 8.60, 8.96, 904
10/23/25, 9.00, 9.00, 9.00, 9.00, 43342
10/22/25, 9.00, 9.00, 8.50, 9.00, 31848
10/21/25, 9.00, 9.40, 8.90, 9.06, 98149
10/16/25, 9.00, 9.46, 8.90, 9.00, 19105
10/15/25, 8.92, 9.00, 8.90, 8.90, 16153
10/14/25, 9.00, 9.00, 8.28, 8.92, 6678
10/13/25, 8.20, 8.98, 7.90, 8.24, 8109
10/09/25, 9.00, 9.00, 8.40, 8.74, 42556
10/08/25, 9.00, 9.00, 8.94, 8.98, 7216
10/07/25, 9.00, 9.00, 9.00, 9.00, 6603
10/06/25, 9.00, 9.00, 8.90, 9.00, 20353
10/03/25, 9.36, 9.36, 8.90, 9.00, 7984
10/02/25, 9.38, 9.38, 9.00, 9.14, 5902
10/01/25, 9.42, 9.42, 8.90, 9.22, 534
09/30/25, 8.94, 9.10, 8.90, 9.00, 10205
09/29/25, 9.00, 9.10, 8.92, 8.94, 5613
09/26/25, 9.02, 9.10, 8.92, 8.92, 70830
09/25/25, 9.20, 9.20, 9.00, 9.02, 6423
09/24/25, 9.20, 9.20, 8.54, 8.96, 17109
09/23/25, 9.20, 9.20, 9.00, 9.04, 23194
09/22/25, 9.00, 9.30, 9.00, 9.16, 6100
09/19/25, 9.32, 9.40, 9.00, 9.10, 32678
09/18/25, 9.46, 9.50, 9.40, 9.46, 7639
09/17/25, 9.40, 9.46, 9.14, 9.40, 16809
09/16/25, 9.48, 9.48, 9.00, 9.46, 11856
09/15/25, 9.20, 9.48, 9.00, 9.14, 72735
09/12/25, 9.20, 9.26, 9.02, 9.18, 46912
09/11/25, 9.46, 9.50, 9.00, 9.26, 37277
09/10/25, 8.70, 9.00, 8.70, 8.90, 34254
09/09/25, 8.70, 8.80, 8.60, 8.68, 15031
09/08/25, 8.54, 8.70, 8.50, 8.52, 63610
09/05/25, 8.70, 8.70, 8.50, 8.58, 20243
09/04/25, 8.42, 8.50, 8.00, 8.16, 51906
09/03/25, 8.42, 8.46, 7.28, 7.92, 24658
09/02/25, 8.04, 8.50, 7.80, 8.08, 15050
09/01/25, 8.20, 8.90, 7.68, 8.04, 26898
08/29/25, 8.50, 8.50, 8.00, 8.20, 16549
08/28/25, 8.74, 8.74, 8.18, 8.52, 15315
08/27/25, 8.14, 8.20, 8.14, 8.18, 3729
08/26/25, 8.40, 8.42, 8.00, 8.14, 188215
08/25/25, 7.80, 8.48, 7.50, 7.66, 24419
08/22/25, 8.20, 8.20, 7.50, 7.72, 52889
08/21/25, 8.98, 8.98, 8.00, 8.20, 362776
08/20/25, 9.24, 9.24, 8.60, 9.10, 28325
08/19/25, 8.40, 8.48, 8.30, 8.40, 9878
08/18/25, 8.20, 8.40, 8.20, 8.30, 36486
08/15/25, 8.30, 8.30, 8.20, 8.30, 16366
08/14/25, 8.40, 8.40, 8.30, 8.30, 7731
08/13/25, 8.08, 8.30, 8.02, 8.28, 14637
08/12/25, 8.00, 8.30, 8.00, 8.10, 65420
08/11/25, 8.38, 8.38, 8.00, 8.26, 40536
08/08/25, 8.92, 8.92, 8.38, 8.38, 22526
08/07/25, 8.26, 8.40, 8.00, 8.12, 33100
08/06/25, 8.40, 8.40, 8.32, 8.38, 3200
08/05/25, 8.40, 8.40, 8.40, 8.40, 8400
08/04/25, 8.22, 8.38, 8.00, 8.02, 78400
08/01/25, 8.28, 8.28, 8.16, 8.22, 55000
07/31/25, 7.96, 8.32, 7.96, 8.10, 2600
07/30/25, 8.26, 8.26, 7.80, 7.98, 3800
07/29/25, 8.00, 8.40, 7.80, 7.96, 5600
07/28/25, 7.80, 8.10, 7.80, 7.80, 27500
07/25/25, 8.00, 8.46, 8.00, 8.10, 10600
07/24/25, 8.00, 8.44, 8.00, 8.00, 18700
07/23/25, 7.80, 8.48, 7.80, 8.02, 30600
07/22/25, 7.76, 8.50, 7.60, 8.02, 15100
07/21/25, 8.00, 8.00, 7.60, 7.76, 63700
07/18/25, 8.30, 8.46, 8.00, 8.16, 25000
07/17/25, 8.14, 8.48, 8.00, 8.34, 73200
07/16/25, 8.00, 8.48, 8.00, 8.14, 29300
07/15/25, 8.00, 8.12, 8.00, 8.04, 11200
07/14/25, 8.12, 8.12, 8.00, 8.00, 10300
07/11/25, 7.98, 8.00, 7.98, 8.00, 21900
07/10/25, 7.52, 8.10, 7.32, 7.78, 13800
07/09/25, 8.06, 8.12, 7.90, 7.94, 50700
07/08/25, 8.06, 8.10, 8.04, 8.06, 21400
07/07/25, 7.60, 8.12, 7.60, 7.90, 8200
