Date, Open, High, Low, Close, Volume
11/28/25, 13.95, 13.95, 13.50, 13.60, 5070
11/27/25, 14.00, 14.00, 13.50, 13.65, 6474
11/26/25, 14.00, 14.00, 13.50, 13.70, 10865
11/25/25, 14.00, 14.80, 13.80, 13.90, 9466
11/24/25, 14.75, 14.75, 13.85, 14.00, 2446
11/21/25, 14.45, 14.55, 13.80, 14.15, 2137
11/20/25, 14.80, 14.80, 13.80, 14.50, 3891
11/19/25, 13.60, 14.80, 13.60, 14.50, 7499
11/18/25, 14.80, 14.80, 13.60, 13.70, 13499
11/17/25, 14.35, 14.80, 13.80, 14.10, 1906
11/14/25, 13.75, 14.75, 13.60, 13.85, 8887
11/13/25, 14.80, 14.80, 13.65, 14.35, 10851
11/12/25, 14.85, 14.90, 13.65, 14.30, 17475
11/11/25, 14.80, 14.90, 13.10, 14.30, 39589
11/10/25, 14.80, 14.90, 13.55, 14.15, 21871
11/07/25, 14.80, 15.00, 14.80, 14.95, 6611
11/06/25, 14.95, 15.00, 13.75, 14.90, 94588
11/05/25, 14.95, 14.95, 14.90, 14.95, 5702
11/04/25, 15.00, 15.00, 14.95, 15.00, 139099
11/03/25, 15.00, 15.00, 14.20, 14.95, 115264
10/31/25, 15.00, 15.00, 14.70, 15.00, 3588
10/30/25, 14.75, 15.55, 14.50, 15.25, 42082
10/29/25, 14.75, 15.00, 14.00, 14.20, 90038
10/28/25, 13.45, 14.75, 13.45, 14.15, 46722
10/27/25, 13.75, 13.85, 13.00, 13.45, 2482
10/24/25, 12.50, 14.00, 12.50, 13.70, 22571
10/23/25, 13.75, 14.00, 12.50, 13.30, 7846
10/22/25, 13.75, 13.85, 13.50, 13.75, 14582
10/21/25, 14.00, 14.00, 13.50, 13.75, 12472
10/16/25, 15.00, 15.00, 13.55, 14.20, 12530
10/15/25, 14.00, 14.90, 14.00, 14.10, 3684
10/14/25, 14.00, 14.10, 12.80, 13.55, 8824
10/13/25, 15.15, 15.20, 13.65, 14.10, 31410
10/09/25, 15.20, 15.45, 14.70, 15.15, 50351
10/08/25, 15.00, 15.40, 15.00, 15.10, 5489
10/07/25, 15.00, 15.45, 14.70, 15.00, 24761
10/06/25, 15.50, 15.50, 15.00, 15.05, 17307
10/03/25, 15.50, 15.50, 14.70, 15.15, 4732
10/02/25, 14.90, 15.75, 14.70, 15.60, 54367
10/01/25, 15.00, 15.00, 14.15, 14.80, 3074
09/30/25, 15.75, 15.75, 14.15, 15.00, 54372
09/29/25, 15.75, 15.75, 14.50, 15.70, 224081
09/26/25, 15.50, 15.75, 15.00, 15.70, 224651
09/25/25, 15.50, 15.90, 14.95, 15.55, 6090
09/24/25, 15.50, 15.50, 15.00, 15.50, 99757
09/23/25, 14.00, 15.60, 13.75, 15.40, 63870
09/22/25, 14.90, 16.00, 14.00, 15.20, 28354
09/19/25, 14.50, 15.60, 14.50, 14.90, 51542
09/18/25, 13.10, 15.10, 13.10, 14.50, 117612
09/17/25, 15.00, 15.00, 13.10, 13.75, 133285
09/16/25, 14.95, 15.00, 13.50, 14.15, 18629
09/15/25, 15.00, 15.00, 13.00, 14.95, 259966
09/12/25, 14.50, 15.00, 13.95, 14.10, 66063
09/11/25, 16.50, 16.80, 15.00, 15.45, 27824
09/10/25, 15.85, 16.45, 15.00, 15.95, 32160
09/09/25, 16.50, 16.50, 14.20, 15.85, 36406
09/08/25, 16.50, 16.95, 15.10, 15.75, 33442
09/05/25, 17.00, 17.00, 15.00, 16.60, 102315
09/04/25, 16.45, 17.00, 14.85, 16.30, 47466
09/03/25, 16.20, 16.80, 15.75, 16.45, 50465
09/02/25, 15.50, 17.00, 15.00, 16.80, 241226
09/01/25, 15.00, 16.20, 14.10, 16.05, 111140
08/29/25, 14.10, 16.20, 13.85, 15.65, 47237
08/28/25, 15.25, 15.30, 13.70, 15.05, 282299
08/27/25, 16.00, 16.50, 15.25, 15.75, 281078
08/26/25, 13.95, 15.25, 13.95, 15.20, 152404
08/25/25, 13.00, 14.15, 13.00, 13.90, 33445
