Date, Open, High, Low, Close, Volume
11/28/25, 38.10, 41.90, 38.10, 39.90, 3308
11/27/25, 38.50, 39.00, 37.80, 38.10, 4919
11/26/25, 40.20, 40.20, 38.50, 38.90, 13720
11/25/25, 41.00, 42.80, 39.50, 40.10, 4193
11/24/25, 42.90, 42.90, 41.50, 41.95, 1417
11/21/25, 40.00, 42.80, 40.00, 41.80, 562
11/20/25, 39.00, 40.00, 39.00, 39.15, 28248
11/19/25, 43.00, 43.00, 40.00, 40.10, 105260
11/18/25, 41.50, 43.30, 41.50, 42.35, 7984
11/17/25, 41.00, 41.50, 39.00, 40.70, 4769
11/14/25, 39.00, 41.00, 39.00, 39.40, 15463
11/13/25, 41.00, 41.00, 39.50, 40.20, 7054
11/12/25, 42.00, 42.00, 41.00, 41.40, 5203
11/11/25, 44.85, 44.85, 41.50, 42.40, 8594
11/10/25, 45.00, 45.00, 43.50, 44.00, 6491
11/07/25, 45.00, 45.00, 44.50, 44.85, 4369
11/06/25, 44.00, 45.00, 43.80, 44.00, 48958
11/05/25, 44.00, 45.25, 43.00, 43.95, 5465
11/04/25, 46.40, 46.40, 44.00, 45.25, 68306
11/03/25, 46.40, 46.40, 44.05, 45.90, 30494
10/31/25, 46.75, 47.00, 44.05, 46.40, 185379
10/30/25, 46.00, 47.00, 44.00, 46.25, 147669
10/29/25, 45.00, 47.00, 44.00, 45.95, 228501
10/28/25, 44.05, 44.05, 42.00, 44.00, 143638
10/27/25, 37.95, 40.30, 37.95, 40.05, 90776
10/24/25, 34.25, 37.60, 34.25, 36.65, 117261
10/23/25, 35.00, 35.00, 33.75, 34.20, 8645
10/22/25, 34.80, 35.00, 34.00, 34.50, 1724
10/21/25, 35.00, 35.00, 32.10, 33.75, 1751
10/16/25, 35.75, 36.75, 34.90, 35.10, 1223
10/15/25, 35.00, 35.75, 35.00, 35.00, 9321
10/14/25, 35.00, 35.75, 34.00, 34.90, 16518
10/13/25, 35.00, 35.30, 34.70, 35.00, 17750
10/09/25, 34.70, 34.75, 34.50, 34.70, 6022
10/08/25, 34.00, 35.75, 32.00, 34.20, 8837
10/07/25, 34.50, 34.50, 34.00, 34.00, 7097
10/06/25, 35.75, 35.75, 33.80, 34.50, 4164
10/03/25, 32.00, 34.15, 32.00, 33.80, 4974
10/02/25, 34.00, 34.00, 32.00, 33.85, 56518
10/01/25, 34.00, 34.20, 33.95, 34.05, 22653
09/30/25, 34.20, 34.20, 33.95, 34.00, 261
09/29/25, 32.15, 34.75, 32.00, 34.40, 1526
09/26/25, 34.50, 34.50, 31.40, 32.15, 999
09/25/25, 35.75, 35.75, 34.00, 34.80, 2375
09/24/25, 34.50, 35.50, 34.00, 35.00, 32457
09/23/25, 34.50, 35.00, 34.50, 34.70, 4215
09/22/25, 34.50, 35.00, 34.50, 34.60, 2231
09/19/25, 35.25, 35.25, 34.00, 34.15, 3599
09/18/25, 37.50, 37.50, 35.00, 35.35, 5574
09/17/25, 37.10, 37.10, 34.00, 35.45, 78452
09/16/25, 38.00, 38.00, 35.00, 37.10, 3271
09/15/25, 37.55, 38.80, 35.20, 38.00, 76814
09/12/25, 37.75, 38.80, 37.00, 37.55, 13917
09/11/25, 36.50, 39.90, 35.20, 37.75, 106489
09/10/25, 37.95, 38.00, 35.00, 37.95, 53661
09/09/25, 35.35, 38.00, 34.30, 37.60, 10943
09/08/25, 35.35, 35.40, 34.00, 35.35, 8844
09/05/25, 38.00, 38.00, 32.00, 35.15, 19788
09/04/25, 35.00, 36.45, 32.00, 35.30, 7993
09/03/25, 35.00, 35.30, 35.00, 35.05, 7948
09/02/25, 35.00, 35.50, 35.00, 35.05, 29389
09/01/25, 35.00, 35.20, 31.55, 34.85, 36720
08/29/25, 34.90, 35.00, 34.00, 34.95, 25994
08/28/25, 34.90, 34.90, 30.55, 33.50, 3621
08/27/25, 34.40, 34.90, 30.00, 33.85, 9900
08/26/25, 30.00, 34.40, 30.00, 31.75, 3586
08/25/25, 33.85, 34.40, 30.00, 33.15, 112167
08/22/25, 31.25, 33.50, 29.50, 31.35, 15311
08/21/25, 30.50, 31.25, 30.50, 30.80, 38218
08/20/25, 29.55, 31.00, 29.25, 30.30, 16148
08/19/25, 30.00, 30.00, 29.00, 29.25, 2150
08/18/25, 29.55, 29.55, 28.25, 28.45, 12687
08/15/25, 28.90, 30.00, 27.00, 29.55, 61623
08/14/25, 27.00, 30.00, 27.00, 29.30, 33093
08/13/25, 28.00, 28.50, 27.90, 28.00, 14510
08/12/25, 28.05, 29.70, 26.50, 27.90, 25839
08/11/25, 26.90, 28.00, 26.00, 27.75, 14407
08/08/25, 27.00, 28.00, 26.00, 26.95, 3530
08/07/25, 26.25, 27.00, 26.25, 26.90, 12300
08/06/25, 27.25, 28.00, 27.00, 27.40, 19200
08/05/25, 27.00, 27.00, 27.00, 27.00, 3100
08/04/25, 23.50, 27.85, 23.50, 27.25, 9300
08/01/25, 25.50, 26.10, 22.95, 25.50, 17600
07/31/25, 25.50, 25.60, 25.50, 25.50, 10100
07/30/25, 25.35, 25.50, 25.00, 25.45, 65600
07/29/25, 25.50, 25.50, 25.00, 25.35, 24400
07/28/25, 25.50, 25.65, 24.00, 25.40, 25900
07/25/25, 24.50, 25.65, 24.20, 25.45, 75700
07/24/25, 24.00, 25.50, 24.00, 24.95, 38300
07/23/25, 24.00, 24.50, 24.00, 24.10, 2100
07/22/25, 24.50, 24.95, 24.00, 24.00, 104100
07/21/25, 24.00, 24.50, 24.00, 24.10, 12300
07/18/25, 23.85, 24.05, 23.85, 24.00, 13700
07/17/25, 23.90, 24.00, 23.20, 23.85, 1200
07/16/25, 24.00, 24.00, 22.95, 23.45, 2000
07/15/25, 24.00, 24.00, 23.00, 23.40, 2400
