Date, Open, High, Low, Close, Volume
11/28/25, 15.30, 15.30, 15.00, 15.00, 1061
11/27/25, 15.20, 15.90, 15.20, 15.20, 10941
11/26/25, 16.85, 16.85, 15.30, 16.60, 2686
11/25/25, 16.85, 16.90, 16.75, 16.85, 164
11/21/25, 16.65, 16.65, 15.50, 15.65, 1481
11/20/25, 15.50, 16.30, 15.50, 15.75, 3063
11/19/25, 17.00, 17.00, 15.50, 15.85, 265
11/18/25, 17.00, 17.00, 17.00, 17.00, 6000
11/17/25, 16.65, 17.00, 16.65, 16.90, 6020
11/14/25, 16.00, 16.90, 15.35, 16.00, 709
11/13/25, 16.50, 16.95, 15.50, 16.65, 594
11/12/25, 16.70, 17.00, 15.30, 16.65, 6057
11/11/25, 17.00, 17.00, 16.70, 16.95, 4443
11/10/25, 17.00, 17.00, 17.00, 17.00, 536
11/07/25, 17.00, 17.00, 17.00, 17.00, 207
11/06/25, 16.50, 17.90, 15.00, 15.60, 18071
11/05/25, 16.25, 16.50, 16.25, 16.45, 2142
11/04/25, 16.30, 16.30, 15.00, 16.20, 6083
11/03/25, 16.30, 16.50, 16.30, 16.30, 2630
10/31/25, 16.50, 16.50, 16.20, 16.30, 28020
10/30/25, 16.20, 17.80, 16.20, 16.25, 2136
10/29/25, 17.60, 17.60, 16.10, 16.20, 2122
10/28/25, 17.60, 18.20, 17.60, 17.85, 26994
10/27/25, 17.50, 17.60, 15.50, 17.20, 8241
10/24/25, 17.00, 17.00, 16.40, 16.80, 426
10/23/25, 16.50, 16.50, 16.50, 16.50, 16800
10/22/25, 17.00, 17.00, 17.00, 17.00, 2600
10/21/25, 16.40, 16.40, 16.40, 16.40, 2045
10/16/25, 16.00, 16.00, 16.00, 16.00, 1076
10/15/25, 15.50, 16.00, 15.50, 15.55, 900
10/14/25, 16.00, 16.00, 15.90, 16.00, 3133
10/13/25, 15.00, 16.00, 15.00, 15.90, 3069
10/09/25, 15.55, 16.00, 15.55, 15.70, 1606
10/08/25, 16.00, 16.00, 16.00, 16.00, 890
10/07/25, 16.00, 16.00, 15.50, 16.00, 10338
10/06/25, 16.00, 17.00, 16.00, 16.05, 7020
10/03/25, 17.00, 17.10, 16.00, 16.70, 1320
10/02/25, 16.40, 18.00, 16.00, 16.60, 4002
10/01/25, 16.00, 16.50, 16.00, 16.40, 1312
09/30/25, 15.00, 15.00, 15.00, 15.00, 504
09/29/25, 16.00, 16.60, 15.10, 15.35, 3108
09/26/25, 15.05, 16.00, 15.05, 15.45, 729
09/25/25, 15.45, 15.45, 15.45, 15.45, 1274
09/24/25, 16.00, 16.00, 15.00, 15.45, 30505
