Date, Open, High, Low, Close, Volume
11/28/25, 6.98, 7.50, 6.40, 6.90, 37904
11/27/25, 7.30, 7.50, 6.90, 6.98, 423095
11/26/25, 7.00, 7.52, 6.80, 6.94, 140801
11/25/25, 7.00, 7.52, 6.80, 6.98, 200898
11/24/25, 6.84, 6.84, 6.22, 6.84, 141033
11/21/25, 6.40, 6.40, 5.80, 6.22, 182142
11/20/25, 6.80, 6.80, 6.12, 6.38, 124324
11/19/25, 6.88, 6.90, 6.58, 6.80, 41810
11/18/25, 6.94, 6.94, 6.68, 6.88, 43624
11/17/25, 7.00, 7.00, 6.86, 6.96, 189264
11/14/25, 7.00, 7.00, 6.96, 6.98, 96108
11/13/25, 7.20, 7.20, 6.98, 7.00, 449336
11/12/25, 7.20, 7.20, 6.92, 7.00, 260177
11/11/25, 7.50, 7.58, 7.20, 7.42, 272467
11/10/25, 7.60, 7.80, 7.60, 7.68, 38334
11/07/25, 7.32, 7.88, 7.20, 7.56, 89806
11/06/25, 7.90, 7.90, 7.50, 7.76, 148708
11/05/25, 7.90, 7.90, 7.50, 7.72, 123684
11/04/25, 8.40, 8.40, 7.86, 7.94, 75044
11/03/25, 7.96, 8.00, 7.90, 8.00, 73466
10/31/25, 8.00, 8.22, 7.80, 7.94, 63563
10/30/25, 8.10, 8.10, 7.50, 7.88, 67987
10/29/25, 8.04, 8.22, 7.92, 8.02, 47871
10/28/25, 8.10, 8.10, 7.90, 8.04, 103574
10/27/25, 8.30, 8.30, 8.00, 8.12, 57267
10/24/25, 7.96, 8.20, 7.70, 8.00, 272074
10/23/25, 8.00, 8.00, 7.20, 7.96, 94098
10/22/25, 8.00, 8.00, 7.80, 7.88, 61491
10/21/25, 8.10, 8.22, 7.90, 8.00, 64178
10/16/25, 8.24, 8.36, 8.00, 8.10, 83542
10/15/25, 8.52, 8.52, 8.00, 8.24, 47189
10/14/25, 8.50, 8.56, 8.46, 8.50, 73672
10/13/25, 7.96, 8.48, 7.96, 8.26, 166376
10/09/25, 8.70, 8.70, 7.90, 8.04, 34882
10/08/25, 8.64, 8.64, 8.02, 8.18, 115174
10/07/25, 8.88, 8.88, 8.20, 8.62, 139413
10/06/25, 8.92, 8.98, 8.50, 8.74, 265610
10/03/25, 8.90, 9.20, 8.40, 8.92, 255317
10/02/25, 8.82, 9.66, 8.80, 8.88, 620994
10/01/25, 8.30, 8.82, 8.30, 8.82, 271274
09/30/25, 8.00, 8.72, 7.94, 8.02, 1735243
09/29/25, 7.70, 8.34, 7.50, 7.94, 212250
09/26/25, 7.50, 7.74, 7.30, 7.62, 467602
09/25/25, 7.00, 7.50, 6.90, 7.04, 282454
09/24/25, 7.20, 7.20, 6.94, 6.98, 3640414
09/23/25, 7.52, 7.52, 6.86, 6.94, 282548
09/22/25, 8.34, 8.44, 7.52, 7.62, 159025
09/19/25, 8.50, 8.50, 8.20, 8.34, 223649
09/18/25, 8.58, 8.58, 8.30, 8.34, 305714
09/17/25, 8.62, 8.70, 8.30, 8.42, 387034
09/16/25, 8.94, 8.94, 8.50, 8.62, 465075
09/15/25, 9.46, 9.50, 8.80, 8.98, 492790
09/12/25, 10.05, 10.05, 9.46, 9.54, 351443
09/11/25, 10.20, 10.20, 9.70, 9.82, 353492
09/10/25, 10.25, 10.25, 10.00, 10.05, 437360
09/09/25, 10.30, 10.30, 10.00, 10.10, 214293
09/08/25, 10.25, 10.30, 10.00, 10.20, 1771752
09/05/25, 10.00, 10.20, 9.56, 10.00, 297134
09/04/25, 10.00, 10.00, 9.76, 9.92, 1443507
09/03/25, 9.60, 10.00, 9.46, 9.54, 179051
09/02/25, 9.60, 9.60, 9.40, 9.52, 234028
09/01/25, 9.60, 9.60, 9.30, 9.46, 128176
08/29/25, 10.00, 10.00, 9.34, 9.50, 783617
08/28/25, 10.00, 10.00, 9.50, 9.56, 3103992
08/27/25, 10.30, 10.30, 9.80, 9.94, 303184
08/26/25, 10.30, 10.30, 9.70, 10.05, 305179
08/25/25, 9.50, 10.00, 9.50, 9.70, 188412
08/22/25, 9.46, 9.50, 9.20, 9.38, 286515
08/21/25, 9.46, 9.46, 9.22, 9.30, 289900
08/20/25, 9.50, 9.50, 9.24, 9.30, 1094440
08/19/25, 9.30, 9.36, 9.26, 9.30, 1142478
08/18/25, 9.28, 9.30, 9.20, 9.30, 312029
08/15/25, 9.90, 9.90, 9.26, 9.30, 574216
08/14/25, 9.50, 9.98, 9.22, 9.36, 694788
08/13/25, 9.50, 9.50, 9.26, 9.32, 188056
08/12/25, 9.50, 9.50, 9.32, 9.46, 54735
08/11/25, 9.50, 9.50, 9.20, 9.34, 336166
08/08/25, 9.48, 9.50, 9.40, 9.46, 204231
08/07/25, 10.00, 10.00, 9.40, 9.48, 428700
08/06/25, 9.50, 9.50, 9.40, 9.50, 180500
08/05/25, 9.70, 9.70, 9.40, 9.50, 356300
08/04/25, 9.00, 9.90, 9.00, 9.50, 589900
08/01/25, 10.00, 10.45, 9.22, 9.50, 618300
07/31/25, 9.60, 10.00, 9.50, 9.60, 504400
07/30/25, 9.58, 10.00, 9.20, 9.58, 1079400
07/29/25, 9.56, 9.70, 9.50, 9.52, 894300
07/28/25, 9.94, 10.00, 9.04, 9.56, 1067000
07/25/25, 10.95, 10.95, 9.60, 9.94, 1462500
07/24/25, 11.95, 11.95, 10.40, 10.65, 784300
07/23/25, 12.05, 12.20, 11.05, 11.55, 472700
07/22/25, 13.35, 13.35, 12.05, 12.25, 273800
07/21/25, 13.00, 13.70, 12.60, 13.35, 60300
07/18/25, 13.95, 13.95, 13.40, 13.65, 103300
07/17/25, 14.05, 14.50, 12.85, 14.00, 339900
07/16/25, 14.80, 15.00, 14.20, 14.25, 77800
07/15/25, 16.90, 16.90, 11.00, 15.75, 100000
07/14/25, 21.00, 21.00, 20.00, 20.60, 144900
07/11/25, 22.95, 22.95, 20.60, 21.25, 170900
07/10/25, 21.80, 22.00, 20.00, 21.30, 255300
07/09/25, 23.00, 23.00, 21.35, 22.10, 270100
07/08/25, 22.95, 24.75, 22.80, 23.70, 361200
07/07/25, 21.20, 22.95, 21.20, 22.50, 499000
07/04/25, 21.60, 21.60, 20.00, 20.90, 483100
07/03/25, 19.75, 19.80, 19.30, 19.65, 112300
07/02/25, 18.00, 19.50, 17.95, 18.00, 312000
07/01/25, 17.85, 18.20, 17.80, 17.95, 551000
06/30/25, 19.00, 19.00, 17.25, 17.85, 298400
06/27/25, 19.45, 19.45, 18.95, 19.15, 96400
06/26/25, 19.70, 19.70, 19.00, 19.35, 213100
06/25/25, 19.00, 20.00, 19.00, 19.75, 561500
06/24/25, 13.60, 24.70, 13.60, 19.25, 775200
06/23/25, 12.20, 12.50, 12.15, 12.35, 5800
06/20/25, 12.25, 13.00, 12.20, 12.40, 24600
06/19/25, 10.75, 12.20, 10.75, 11.90, 53200
06/18/25, 12.20, 12.20, 11.60, 11.90, 23100
06/17/25, 13.50, 13.55, 12.20, 12.85, 71500
06/16/25, 13.55, 13.55, 13.55, 13.55, 22700
06/13/25, 15.00, 16.00, 14.40, 15.05, 35000
03/28/25, 16.80, 17.00, 15.60, 16.00, 93400
03/27/25, 17.00, 17.00, 16.55, 16.80, 4600
03/26/25, 17.00, 17.00, 16.00, 16.60, 3800
03/25/25, 16.95, 17.00, 16.05, 17.00, 38100
03/24/25, 17.00, 17.00, 16.80, 16.95, 3300
03/21/25, 17.00, 17.00, 17.00, 17.00, 7800
03/20/25, 17.00, 17.00, 17.00, 17.00, 65100
03/19/25, 16.50, 16.65, 16.00, 16.05, 49100
03/18/25, 17.00, 17.00, 16.30, 16.65, 18300
03/17/25, 17.00, 17.00, 16.85, 16.90, 28300
03/14/25, 16.50, 17.00, 16.50, 17.00, 161800
03/13/25, 17.50, 17.50, 16.90, 17.00, 42100
03/12/25, 16.30, 17.50, 16.05, 17.00, 16800
03/11/25, 16.65, 16.95, 16.05, 16.30, 5700
03/10/25, 17.50, 17.50, 16.10, 16.65, 30800
03/07/25, 17.00, 17.45, 16.50, 17.00, 4700
03/06/25, 16.50, 17.00, 16.50, 16.60, 7700
03/05/25, 17.00, 17.00, 16.00, 16.45, 21000
03/04/25, 17.00, 17.00, 15.80, 16.00, 32700
03/03/25, 16.00, 17.00, 16.00, 16.20, 19800
02/28/25, 16.65, 17.00, 16.00, 16.00, 306000
02/27/25, 16.50, 16.50, 16.00, 16.00, 71200
02/26/25, 16.00, 16.65, 16.00, 16.05, 419900
02/25/25, 16.65, 16.65, 15.00, 16.10, 27700
02/24/25, 16.65, 16.65, 16.25, 16.35, 292400
02/21/25, 16.65, 16.65, 16.60, 16.65, 4800
02/20/25, 16.65, 16.65, 16.50, 16.65, 12400
02/19/25, 16.65, 16.65, 16.50, 16.65, 107200
02/18/25, 16.70, 16.70, 16.65, 16.65, 21200
02/17/25, 16.70, 16.70, 16.30, 16.65, 101700
02/14/25, 16.95, 16.95, 16.50, 16.70, 59400
02/13/25, 17.00, 17.00, 16.60, 16.80, 8100
02/12/25, 17.00, 17.00, 16.60, 16.65, 7400
02/11/25, 16.60, 16.65, 16.50, 16.60, 55100
02/10/25, 17.00, 17.00, 15.40, 16.60, 40900
02/07/25, 16.90, 17.00, 16.90, 17.00, 2000
02/06/25, 17.00, 17.00, 16.50, 16.90, 4100
02/05/25, 16.80, 17.00, 16.50, 16.80, 11700
02/04/25, 17.00, 17.00, 16.50, 16.90, 24400
02/03/25, 16.95, 16.95, 16.80, 16.80, 43100
01/31/25, 16.90, 16.90, 16.85, 16.90, 11200
01/30/25, 17.00, 17.00, 16.80, 16.90, 9800
01/29/25, 16.90, 16.95, 16.90, 16.90, 9400
01/28/25, 17.20, 17.50, 17.00, 17.05, 137700
01/27/25, 16.95, 17.20, 16.95, 17.00, 26600
01/24/25, 16.80, 16.90, 16.75, 16.80, 26800
01/23/25, 16.95, 16.95, 16.75, 16.85, 14300
01/22/25, 17.00, 17.00, 16.95, 17.00, 3100
01/21/25, 17.10, 17.10, 16.90, 16.95, 14100
01/20/25, 17.10, 17.10, 16.80, 17.00, 93900
01/17/25, 17.30, 17.30, 17.10, 17.10, 72800
01/16/25, 16.75, 17.45, 16.75, 17.35, 7700
01/15/25, 17.00, 17.50, 16.95, 17.25, 3200
01/14/25, 16.50, 17.00, 16.50, 17.00, 59200
01/13/25, 17.00, 17.00, 16.75, 16.85, 39000
01/10/25, 17.45, 17.45, 17.00, 17.05, 15300
01/09/25, 17.50, 17.60, 16.60, 17.40, 15500
01/08/25, 17.20, 17.60, 16.70, 17.45, 29800
01/07/25, 17.00, 17.60, 17.00, 17.35, 59000
01/06/25, 16.75, 17.25, 16.70, 17.00, 10600
01/03/25, 16.70, 16.95, 16.70, 16.75, 37000
01/02/25, 16.70, 16.75, 16.70, 16.70, 5700
12/31/24, 17.65, 17.65, 16.60, 16.75, 69200
12/30/24, 16.70, 17.00, 16.70, 16.85, 25200
12/27/24, 16.70, 16.75, 16.70, 16.70, 10400
12/24/24, 16.75, 16.75, 16.75, 16.75, 2900
12/23/24, 16.75, 16.75, 16.20, 16.60, 3700
12/20/24, 17.00, 17.00, 16.50, 16.80, 1500
12/19/24, 16.70, 16.70, 16.70, 16.70, 8600
12/18/24, 16.70, 16.70, 16.60, 16.65, 900
12/17/24, 16.20, 17.00, 16.00, 16.65, 14700
12/16/24, 16.55, 16.75, 16.55, 16.70, 1700
12/13/24, 16.35, 16.70, 16.35, 16.55, 2400
12/11/24, 16.50, 16.70, 16.50, 16.50, 126300
12/10/24, 16.50, 16.50, 16.15, 16.35, 6300
12/09/24, 17.55, 17.55, 16.50, 17.00, 1800
12/06/24, 17.45, 17.45, 16.00, 16.05, 25000
12/05/24, 16.50, 17.65, 16.50, 17.20, 6900
12/04/24, 16.30, 16.30, 16.00, 16.15, 1300
12/03/24, 16.60, 16.70, 15.90, 16.40, 1900
12/02/24, 16.60, 16.60, 16.00, 16.05, 5700
11/29/24, 16.60, 16.60, 16.50, 16.60, 3900
11/28/24, 16.65, 16.65, 16.50, 16.55, 1300
11/27/24, 17.65, 17.65, 16.50, 16.70, 3700
11/26/24, 16.75, 16.75, 15.90, 16.05, 26500
11/25/24, 16.50, 16.50, 16.50, 16.50, 2300
11/22/24, 16.50, 16.50, 16.10, 16.50, 3700
11/21/24, 16.50, 16.50, 16.50, 16.50, 200
11/20/24, 16.60, 16.60, 16.60, 16.60, 1300
11/19/24, 16.10, 16.70, 16.00, 16.15, 35100
11/18/24, 16.70, 16.70, 16.00, 16.10, 43300
11/15/24, 16.05, 16.75, 16.05, 16.65, 800
11/14/24, 16.05, 16.85, 16.05, 16.85, 15600
11/13/24, 16.50, 17.10, 16.50, 16.70, 33500
11/12/24, 16.50, 16.50, 16.10, 16.25, 6600
11/11/24, 16.55, 16.60, 16.00, 16.10, 11700
11/08/24, 16.65, 16.65, 16.50, 16.55, 4900
11/07/24, 16.65, 16.65, 16.20, 16.45, 14000
11/06/24, 16.00, 16.70, 16.00, 16.30, 26700
11/05/24, 16.10, 16.50, 16.00, 16.05, 12900
11/04/24, 15.00, 16.50, 15.00, 16.10, 31500
10/31/24, 16.05, 16.30, 16.00, 16.00, 66600
10/30/24, 16.50, 16.50, 16.00, 16.05, 51900
10/29/24, 16.30, 16.50, 16.00, 16.15, 52600
10/28/24, 16.30, 16.95, 16.00, 16.30, 3000
10/25/24, 15.60, 16.45, 15.60, 16.30, 7400
10/24/24, 16.50, 16.50, 15.10, 15.60, 14900
10/23/24, 16.50, 16.50, 16.30, 16.45, 8100
10/22/24, 16.05, 16.50, 16.00, 16.45, 5100
10/18/24, 16.45, 16.45, 15.50, 16.05, 27400
10/17/24, 16.45, 16.50, 15.00, 15.10, 143600
10/16/24, 16.50, 16.50, 16.15, 16.50, 10700
10/15/24, 16.00, 16.50, 16.00, 16.05, 5900
10/14/24, 16.10, 16.10, 16.10, 16.10, 3200
10/11/24, 16.00, 16.50, 16.00, 16.10, 6100
10/09/24, 16.50, 16.50, 16.00, 16.15, 60600
10/08/24, 16.40, 16.50, 16.40, 16.50, 3600
10/07/24, 16.50, 16.50, 16.40, 16.40, 101700
10/04/24, 16.50, 16.50, 16.40, 16.50, 3100
10/03/24, 16.50, 16.50, 16.50, 16.50, 198800
10/02/24, 16.50, 17.90, 16.50, 16.65, 120800
10/01/24, 16.00, 16.50, 16.00, 16.50, 7500
09/30/24, 16.30, 16.50, 16.00, 16.40, 31200
09/27/24, 16.30, 16.30, 16.30, 16.30, 3100
09/26/24, 16.50, 16.50, 16.00, 16.25, 3400
09/25/24, 16.50, 16.50, 16.00, 16.35, 47700
09/24/24, 16.50, 16.50, 16.50, 16.50, 4600
09/23/24, 17.00, 17.00, 15.95, 16.60, 22500
09/20/24, 16.00, 16.95, 16.00, 16.55, 2900
09/19/24, 16.95, 16.95, 16.95, 16.95, 700
09/18/24, 16.45, 17.00, 16.00, 16.40, 1600
09/17/24, 16.00, 16.45, 16.00, 16.35, 23000
09/16/24, 16.00, 16.00, 15.95, 16.00, 40800
09/13/24, 16.30, 16.30, 16.00, 16.00, 50100
09/12/24, 16.30, 16.55, 16.05, 16.35, 171600
09/11/24, 16.30, 16.30, 16.00, 16.15, 44100
09/10/24, 16.20, 16.30, 15.00, 15.25, 85300
09/09/24, 16.30, 16.30, 16.20, 16.25, 2200
09/06/24, 16.30, 16.45, 15.00, 16.05, 56400
09/05/24, 17.30, 17.30, 16.10, 16.45, 2400
09/04/24, 16.25, 16.55, 16.25, 16.50, 4200
09/03/24, 16.25, 16.35, 16.20, 16.30, 5600
09/02/24, 16.45, 16.45, 16.25, 16.25, 51700
08/30/24, 16.45, 16.45, 16.15, 16.25, 2700
08/29/24, 16.30, 16.45, 16.00, 16.25, 2200
08/28/24, 16.45, 16.45, 16.00, 16.40, 6800
08/27/24, 16.45, 16.45, 16.05, 16.40, 4700
08/26/24, 16.45, 16.45, 16.05, 16.30, 1500
08/23/24, 16.70, 16.70, 16.20, 16.45, 10500
08/22/24, 16.80, 16.80, 16.00, 16.05, 4000
08/21/24, 15.85, 17.30, 15.85, 16.05, 25800
08/20/24, 16.30, 16.50, 16.30, 16.50, 23500
