Date, Open, High, Low, Close, Volume
11/28/25, 22.65, 22.65, 21.70, 22.65, 41
11/27/25, 22.70, 22.70, 22.50, 22.65, 3638
11/26/25, 22.50, 22.70, 22.50, 22.70, 3669
11/25/25, 22.50, 23.50, 22.50, 22.70, 520
11/24/25, 24.00, 24.00, 23.30, 23.50, 665
11/21/25, 23.50, 24.50, 23.30, 24.00, 1790
11/20/25, 25.00, 25.00, 23.50, 23.60, 320
11/19/25, 23.50, 24.75, 23.50, 23.85, 603
11/18/25, 25.00, 25.00, 23.50, 24.45, 583
11/17/25, 23.65, 25.00, 23.65, 24.95, 9554
11/14/25, 24.00, 24.00, 24.00, 24.00, 11139
11/13/25, 24.00, 24.00, 24.00, 24.00, 863
11/12/25, 24.50, 24.50, 23.00, 23.65, 1871
11/11/25, 22.75, 24.45, 22.75, 24.10, 1101
11/10/25, 23.00, 24.45, 22.50, 22.75, 4903
11/07/25, 24.50, 24.50, 23.00, 24.45, 344
11/06/25, 24.45, 24.45, 23.70, 24.20, 2229
11/05/25, 24.50, 24.50, 24.05, 24.45, 366
11/04/25, 25.00, 25.00, 24.00, 24.45, 874
11/03/25, 23.05, 25.00, 23.05, 23.70, 1217
10/31/25, 25.00, 25.00, 24.50, 24.65, 1569
10/30/25, 25.30, 25.30, 24.60, 24.70, 2574
10/29/25, 23.00, 25.00, 23.00, 24.60, 587
10/28/25, 23.05, 23.05, 23.00, 23.00, 11100
10/27/25, 25.00, 25.00, 23.00, 23.05, 1630
10/24/25, 23.00, 25.00, 23.00, 23.00, 7064
10/23/25, 23.35, 25.60, 21.05, 22.85, 21344
10/22/25, 23.00, 25.00, 23.00, 23.35, 4674
10/21/25, 23.45, 23.45, 23.20, 23.40, 2483
10/16/25, 25.50, 25.50, 23.20, 23.45, 6714
10/15/25, 25.85, 26.00, 25.00, 25.75, 464
10/14/25, 25.55, 25.85, 22.95, 24.85, 1427
10/13/25, 25.50, 25.55, 24.00, 25.50, 172251
10/09/25, 28.25, 28.25, 23.15, 24.95, 16391
10/08/25, 25.25, 27.50, 25.00, 25.70, 9982
10/07/25, 24.50, 25.55, 23.45, 25.25, 65912
10/06/25, 23.50, 23.50, 23.00, 23.25, 2808
10/03/25, 23.90, 23.90, 22.00, 22.90, 3464
10/02/25, 23.90, 23.90, 23.90, 23.90, 560
10/01/25, 24.10, 24.10, 23.90, 24.00, 712
09/30/25, 24.90, 24.95, 24.00, 24.10, 3635
09/29/25, 25.00, 25.00, 23.00, 24.90, 10980
09/26/25, 23.50, 25.60, 23.50, 24.25, 16044
09/25/25, 21.50, 23.50, 21.50, 23.45, 4435
09/24/25, 21.50, 22.00, 20.00, 21.50, 14248
09/23/25, 23.40, 23.40, 19.40, 20.00, 1838
09/22/25, 22.20, 23.00, 20.95, 21.50, 8538
09/19/25, 23.40, 23.50, 22.00, 23.25, 6638
09/18/25, 23.40, 23.40, 22.00, 22.30, 2484
09/17/25, 22.05, 23.50, 22.05, 22.40, 1094
09/16/25, 22.10, 22.10, 22.00, 22.05, 1138
09/15/25, 21.00, 22.10, 21.00, 21.70, 648
09/12/25, 20.50, 22.10, 20.50, 21.80, 17483
09/11/25, 21.55, 21.60, 21.00, 21.40, 14502
09/10/25, 21.60, 21.60, 21.50, 21.55, 505
09/09/25, 20.60, 20.60, 20.00, 20.50, 2414
09/08/25, 20.20, 20.60, 20.00, 20.00, 2862
09/05/25, 20.60, 20.60, 20.20, 20.25, 9664
09/04/25, 20.60, 20.60, 20.60, 20.60, 2827
09/03/25, 20.60, 20.60, 19.00, 20.00, 3326
09/02/25, 20.60, 20.60, 19.55, 20.10, 221
09/01/25, 20.60, 20.60, 20.45, 20.60, 3032
08/29/25, 20.50, 20.50, 20.45, 20.50, 970
08/28/25, 20.50, 20.50, 19.05, 19.70, 2261
08/27/25, 20.50, 20.50, 20.00, 20.45, 1329
08/26/25, 20.50, 20.50, 19.10, 20.35, 911
08/25/25, 20.40, 20.50, 20.40, 20.50, 2539
08/22/25, 20.45, 20.50, 20.40, 20.50, 3184
08/21/25, 20.00, 20.00, 19.95, 20.00, 15840
08/20/25, 19.25, 20.00, 19.25, 19.95, 1083
08/19/25, 20.00, 20.00, 19.05, 19.25, 2796
08/18/25, 20.00, 20.00, 19.00, 19.95, 6948
08/15/25, 19.95, 19.95, 19.55, 19.75, 3007
08/14/25, 20.00, 20.00, 19.55, 19.65, 502
08/13/25, 20.00, 20.00, 19.65, 19.75, 602
08/12/25, 20.00, 20.00, 18.50, 19.65, 3100
08/11/25, 20.00, 20.00, 18.45, 19.55, 13132
08/08/25, 20.40, 20.40, 20.40, 20.40, 33
08/06/25, 20.40, 20.40, 20.40, 20.40, 5300
08/05/25, 20.00, 20.50, 20.00, 20.40, 1200
08/04/25, 19.40, 19.50, 19.40, 19.50, 500
08/01/25, 19.00, 19.50, 19.00, 19.40, 400
07/31/25, 20.00, 20.80, 20.00, 20.10, 1000
07/30/25, 20.00, 20.00, 20.00, 20.00, 200
07/29/25, 19.50, 19.55, 19.50, 19.55, 1700
07/28/25, 19.55, 19.55, 19.55, 19.55, 1400
07/25/25, 19.10, 19.50, 18.50, 19.25, 14400
07/24/25, 19.55, 19.55, 19.55, 19.55, 600
07/23/25, 19.55, 19.55, 19.55, 19.55, 800
07/22/25, 19.00, 19.55, 18.75, 18.95, 2300
07/21/25, 19.60, 19.60, 18.05, 19.55, 9100
07/18/25, 19.10, 20.00, 19.10, 19.55, 400
07/17/25, 21.00, 21.00, 19.00, 19.90, 12500
07/16/25, 19.10, 19.10, 19.10, 19.10, 500
07/15/25, 20.55, 21.90, 19.05, 20.85, 1500
07/14/25, 22.00, 22.00, 21.00, 21.00, 8300
07/11/25, 21.00, 21.90, 18.50, 20.50, 25300
07/10/25, 20.00, 22.00, 20.00, 20.10, 16600
07/09/25, 22.00, 22.00, 20.00, 20.15, 4000
07/08/25, 21.65, 21.75, 20.50, 20.80, 1900
07/07/25, 21.90, 21.90, 21.75, 21.80, 2600
07/04/25, 21.90, 21.90, 21.50, 21.65, 1200
07/03/25, 20.20, 22.00, 20.20, 21.05, 500
07/02/25, 20.50, 22.00, 20.20, 20.50, 1200
07/01/25, 20.40, 20.50, 20.10, 20.25, 2700
06/30/25, 20.40, 20.40, 20.40, 20.40, 1500
06/27/25, 20.40, 20.40, 20.40, 20.40, 500
06/26/25, 20.20, 20.20, 20.20, 20.20, 500
06/25/25, 20.20, 20.20, 20.20, 20.20, 900
06/24/25, 20.20, 20.20, 20.00, 20.00, 8800
06/23/25, 20.00, 20.65, 20.00, 20.10, 6200
06/20/25, 20.80, 20.80, 20.00, 20.05, 5200
06/19/25, 20.90, 20.90, 20.80, 20.80, 4600
06/17/25, 20.50, 20.80, 20.50, 20.65, 2200
06/16/25, 20.00, 20.00, 20.00, 20.00, 600
06/13/25, 21.95, 21.95, 21.95, 21.95, 300
06/12/25, 22.00, 22.00, 22.00, 22.00, 400
06/11/25, 22.00, 22.00, 21.90, 22.00, 1200
06/09/25, 22.00, 22.00, 22.00, 22.00, 800
06/05/25, 22.80, 22.80, 22.80, 22.80, 1000
06/04/25, 22.00, 23.95, 22.00, 22.85, 700
05/29/25, 22.00, 22.00, 22.00, 22.00, 500
05/28/25, 20.50, 22.00, 20.00, 20.05, 37400
05/26/25, 20.05, 20.05, 20.05, 20.05, 100
05/23/25, 21.20, 21.20, 21.20, 21.20, 3900
05/22/25, 21.20, 21.20, 21.20, 21.20, 600
05/21/25, 20.00, 20.00, 20.00, 20.00, 7500
05/20/25, 21.20, 21.20, 21.20, 21.20, 300
05/19/25, 21.20, 21.20, 21.20, 21.20, 400
05/16/25, 19.30, 19.30, 19.30, 19.30, 100
05/15/25, 19.05, 19.05, 19.05, 19.05, 300
05/12/25, 19.05, 19.05, 19.05, 19.05, 400
05/09/25, 21.15, 21.15, 21.15, 21.15, 600
05/08/25, 21.15, 21.15, 21.15, 21.15, 2500
05/07/25, 24.00, 24.00, 23.40, 23.50, 700
05/06/25, 23.45, 23.45, 23.40, 23.45, 800
05/02/25, 22.00, 23.00, 22.00, 22.40, 500
04/29/25, 21.00, 21.00, 21.00, 21.00, 1000
04/28/25, 22.00, 22.00, 19.80, 20.30, 2100
04/25/25, 22.00, 22.00, 22.00, 22.00, 300
04/24/25, 22.00, 22.00, 22.00, 22.00, 300
04/23/25, 21.70, 22.00, 21.70, 21.75, 500
04/22/25, 21.70, 21.70, 21.70, 21.70, 100
04/17/25, 22.00, 23.85, 21.70, 22.40, 400
04/15/25, 22.00, 25.00, 21.60, 21.70, 10000
04/14/25, 24.50, 24.50, 24.00, 24.00, 10300
04/11/25, 23.20, 23.20, 23.20, 23.20, 200
04/10/25, 24.25, 26.65, 24.25, 25.75, 600
04/09/25, 26.35, 26.35, 24.00, 24.25, 1600
04/08/25, 26.00, 26.00, 26.00, 26.00, 500
04/07/25, 27.00, 27.10, 27.00, 27.05, 1100
04/04/25, 27.10, 27.50, 27.10, 27.35, 2400
04/03/25, 26.40, 27.10, 26.40, 26.65, 4100
04/02/25, 26.40, 27.60, 25.00, 26.60, 1300
04/01/25, 25.10, 25.15, 25.10, 25.10, 2900
03/28/25, 25.10, 25.10, 25.10, 25.10, 200
03/27/25, 25.00, 27.40, 22.50, 25.15, 1500
03/26/25, 25.00, 25.00, 24.50, 24.95, 900
03/25/25, 23.00, 23.00, 22.50, 22.90, 400
03/24/25, 23.30, 25.00, 22.50, 23.95, 400
03/21/25, 25.20, 25.25, 22.50, 24.95, 1100
03/20/25, 22.50, 23.50, 22.50, 23.00, 200
03/19/25, 23.00, 23.00, 23.00, 23.00, 100
03/18/25, 23.70, 23.70, 23.70, 23.70, 100
03/17/25, 23.70, 23.70, 23.70, 23.70, 300
03/14/25, 23.00, 23.80, 22.50, 23.20, 1000
03/13/25, 23.80, 23.80, 23.80, 23.80, 100
