Date, Open, High, Low, Close, Volume
11/28/25, 155.00, 157.00, 155.00, 156.00, 1955
11/27/25, 157.00, 157.00, 155.50, 156.50, 3365
11/26/25, 159.75, 159.75, 157.00, 158.50, 1980
11/25/25, 162.50, 162.50, 158.00, 160.25, 9817
11/24/25, 163.00, 165.00, 161.00, 163.25, 2272
11/21/25, 163.75, 163.75, 163.00, 163.00, 3050
11/20/25, 163.25, 164.00, 163.00, 163.25, 2073
11/19/25, 163.00, 165.00, 163.00, 163.25, 3396
11/18/25, 164.00, 165.00, 162.00, 163.25, 8004
11/17/25, 175.00, 175.00, 158.00, 164.25, 14448
11/14/25, 170.00, 175.00, 160.00, 165.75, 11296
11/13/25, 175.00, 175.00, 165.50, 169.50, 8356
11/12/25, 168.00, 180.00, 168.00, 169.75, 10403
11/11/25, 168.00, 168.00, 160.00, 163.75, 8355
11/10/25, 160.00, 170.00, 160.00, 165.50, 4045
11/07/25, 170.00, 175.00, 160.00, 164.75, 53261
11/06/25, 180.00, 181.50, 167.00, 169.50, 26786
11/05/25, 204.00, 204.00, 181.50, 185.25, 21746
11/04/25, 209.00, 209.00, 195.00, 201.50, 5016
11/03/25, 210.00, 210.00, 192.50, 202.25, 3225
10/31/25, 193.50, 211.75, 193.00, 195.00, 10085
10/30/25, 193.50, 193.50, 186.00, 192.50, 3493
10/29/25, 193.50, 193.50, 193.00, 193.00, 3112
10/28/25, 193.50, 193.50, 190.00, 192.00, 4456
10/27/25, 193.75, 193.75, 190.00, 192.00, 2418
10/24/25, 196.00, 196.00, 190.00, 192.25, 2555
10/23/25, 196.75, 197.00, 190.00, 192.75, 3677
10/22/25, 191.25, 200.00, 191.25, 196.75, 1313
10/21/25, 193.25, 198.00, 174.00, 191.25, 18152
10/16/25, 193.25, 193.25, 193.25, 193.25, 4074
10/15/25, 238.00, 238.00, 214.25, 214.50, 1334
10/14/25, 290.75, 290.75, 225.00, 238.00, 689
10/13/25, 150.50, 152.50, 145.38, 151.00, 12564
10/09/25, 154.00, 154.00, 145.38, 150.50, 15306
10/08/25, 162.50, 162.50, 148.00, 154.00, 9488
10/07/25, 170.00, 170.00, 151.00, 164.38, 6216
10/06/25, 175.00, 175.00, 150.00, 167.25, 7164
10/03/25, 160.00, 175.00, 155.00, 162.88, 450772
10/02/25, 151.25, 166.38, 151.25, 162.13, 106072
10/01/25, 151.00, 151.25, 151.00, 151.25, 8722
09/30/25, 136.50, 145.38, 135.00, 137.50, 120538
09/29/25, 129.88, 135.88, 127.50, 132.25, 11844
09/26/25, 122.50, 130.00, 122.50, 124.13, 16114
09/25/25, 119.88, 122.75, 119.75, 120.38, 4126
09/24/25, 117.50, 120.00, 117.50, 120.00, 4152
09/23/25, 120.00, 120.00, 117.00, 119.13, 668
09/22/25, 120.50, 120.50, 117.50, 118.38, 1108
09/19/25, 122.00, 122.00, 120.25, 120.50, 974
09/18/25, 122.50, 122.50, 120.25, 122.25, 1006
09/17/25, 122.50, 122.50, 122.38, 122.50, 2436
09/16/25, 117.50, 123.00, 117.50, 120.25, 5522
09/15/25, 121.00, 122.50, 120.00, 120.88, 1006
09/12/25, 120.50, 120.50, 120.50, 120.00, 184
09/11/25, 122.50, 122.50, 120.00, 120.00, 10350
09/10/25, 123.00, 123.00, 122.50, 123.00, 3568
09/09/25, 122.50, 123.00, 122.50, 122.50, 4704
09/08/25, 123.00, 123.00, 122.50, 122.50, 5924
09/05/25, 122.50, 123.00, 122.50, 122.50, 2222
09/04/25, 123.50, 123.50, 120.50, 122.75, 4930
09/03/25, 122.50, 127.50, 117.50, 120.63, 4786
09/02/25, 122.63, 122.63, 122.50, 122.63, 104
09/01/25, 122.50, 127.50, 120.00, 122.63, 2390
08/29/25, 122.50, 127.50, 122.50, 125.25, 11258
08/28/25, 123.75, 126.00, 122.00, 122.50, 10494
08/27/25, 124.00, 126.00, 124.00, 125.00, 25940
08/26/25, 122.00, 126.50, 120.00, 121.25, 8660
08/25/25, 119.50, 122.50, 119.50, 120.13, 5988
08/22/25, 125.00, 125.00, 119.50, 120.00, 7200
08/21/25, 121.50, 125.00, 121.50, 121.63, 2828
08/20/25, 121.50, 121.50, 120.00, 120.13, 9236
08/19/25, 121.50, 121.50, 115.00, 120.38, 5898
08/18/25, 120.63, 125.00, 120.00, 120.75, 7942
